time,open,high,low,close,Volume
915162300,12.625,12.7250005,12.25,12.7250005,7500
915421500,12.925,12.95,12.6000005,12.6000005,7200
915507900,13.0,13.05,12.6499995,12.75,4200
915594300,12.95,13.0,12.75,12.75,5100
915680700,13.05,13.375,13.0,13.3500005,4400
915767100,13.1499995,13.25,13.1499995,13.25,1500
916026300,13.25,13.25,13.0,13.0,2100
916112700,13.0,13.125,12.875,13.0,11700
916199100,13.0,13.5,13.0,13.1499995,3200
916285500,13.1499995,13.1499995,12.5,12.5,54500
916371900,12.6499995,12.6499995,12.625,12.625,2400
916631100,12.625,12.6499995,12.325,12.375,34000
916717500,12.325,12.625,12.3,12.625,3000
916890300,12.625,12.625,11.625,11.875,25700
916976700,11.625,12.2250005,11.625,12.0,12800
917235900,11.05,12.375,11.05,12.375,27600
917408700,11.6499995,13.375,11.6499995,13.25,18900
917495100,13.325,13.325,12.8,12.8,8400
917581500,12.25,12.875,12.25,12.5,12000
917840700,12.5,12.5249995,11.9750005,12.0,5100
917927100,11.125,12.2250005,11.125,11.75,2500
918013500,12.1000005,12.3500005,12.0,12.0,7100
918099900,12.5,12.5,11.625,11.8,11800
918186300,12.125,12.175,11.625,11.625,4500
918445500,11.3,11.3,10.825,11.0,5600
918531900,11.0,11.5,11.0,11.0,11800
918618300,11.125,11.675,11.125,11.625,3000
918704700,11.75,11.95,11.625,11.625,3000
918791100,11.125,11.875,11.125,11.5,12500
919050300,11.875,11.875,11.5,11.5,2000
919136700,11.825,12.25,11.825,12.25,5800
919223100,12.25,12.6499995,12.25,12.6499995,7400
919309500,12.05,13.0,12.05,12.7749995,7900
919395900,12.75,13.375,12.5249995,13.0,7000
919655100,12.7250005,13.0,12.7250005,12.9750005,5300
919741500,13.0,13.0,12.75,13.0,12300
919827900,13.0,13.125,12.5,12.5,2500
919914300,11.7,12.875,11.7,12.3500005,4000
920000700,11.5,12.375,11.5,11.95,1300
920259900,12.75,12.9750005,11.5249995,12.9750005,6300
920432700,12.75,12.9750005,12.0,12.5249995,10300
920519100,12.5,12.9750005,12.1000005,12.7749995,26700
920605500,12.5,13.4750005,12.5,12.9750005,7600
920864700,12.2749995,13.0,12.2749995,13.0,9800
920951100,13.0,13.0249995,12.7,12.95,8800
921037500,13.0249995,13.75,12.875,13.0,5700
921123900,12.8,13.25,12.625,12.625,5500
921210300,12.8,13.0,12.8,13.0,5800
921469500,13.7749995,13.95,12.875,13.95,20800
921555900,14.25,15.075,14.25,15.075,40500
921642300,16.299999,16.299999,16.299999,16.299999,72100
921728700,17.625,17.625,17.625,17.625,29900
921815100,19.049999,19.049999,19.049999,19.049999,15500
922074300,19.1499995,22.2250005,18.950001,21.700001,177200
922160700,21.9750005,23.450001,20.2749995,21.25,135500
922247100,22.950001,22.950001,21.5,21.5,105900
922333500,23.1499995,23.1499995,21.6000005,22.0,62400
922419900,21.7250005,22.5,20.25,20.75,39000
922765500,21.125,21.4750005,19.1000005,19.6000005,51500
922851900,20.7250005,20.7250005,18.049999,18.6000005,23600
922938300,18.950001,20.1000005,18.200001,19.799999,66000
923283900,19.5,19.5,18.2250005,18.2250005,22200
923370300,16.7749995,17.700001,16.7749995,17.700001,23000
923456700,17.75,17.8999995,16.299999,16.625,16100
923543100,15.3,16.700001,15.3,15.75,12800
923629500,15.25,15.5,14.75,14.875,8900
923888700,14.05,16.049999,14.0,16.049999,9000
923975100,16.75,16.75,15.0249995,16.5,32900
924147900,15.75,16.200001,15.75,15.95,10700
924234300,16.0,17.2250005,16.0,17.2250005,15100
924493500,16.0,18.3999995,15.8999995,18.3999995,24700
924579900,17.75,18.825001,16.9750005,17.450001,24000
924666300,17.950001,18.325001,17.875,18.0,14700
924752700,18.25,18.25,17.450001,17.450001,8500
924839100,17.924999,17.924999,16.075001,16.075001,25200
925098300,16.0,16.25,15.0,15.075,19400
925271100,14.875,15.5,13.875,14.2250005,53700
925357500,14.5,14.6499995,14.2,14.3999995,11600
925443900,14.95,15.25,14.625,14.875,7900
925703100,15.0,15.0,14.25,14.325,8800
925789500,14.45,15.0,13.9750005,14.5,31000
925875900,14.95,15.325,14.375,14.5,31700
925962300,14.5,14.625,14.25,14.5,39600
926048700,14.5,15.0,13.9750005,14.25,108800
926307900,14.45,15.0,13.925,14.0,54900
926394300,14.5,15.1000005,13.75,14.5,89400
926480700,14.7250005,15.5,13.8,14.5,70500
926567100,14.75,15.325,14.5,15.325,71200
926653500,15.6499995,15.75,15.3,15.5,21800
926912700,15.5,15.5,14.825,15.5,22400
926999100,15.7,16.0,14.825,15.9750005,43800
927085500,16.25,17.2749995,15.45,17.2749995,26900
927171900,18.625,18.6499995,17.549999,17.8999995,46000
927258300,17.5,17.75,16.4750005,16.4750005,14500
927517500,16.5,16.5,15.675,16.1000005,9700
927603900,16.0,16.174999,15.5249995,15.6000005,27000
927690300,16.0,16.0,15.375,15.95,13900
927776700,15.5,16.25,15.5,15.5,12400
927863100,14.6000005,15.5,14.5,15.0,47500
928122300,15.05,15.7250005,15.0,15.0,15900
928208700,15.2250005,15.25,14.6499995,15.2250005,11700
928295100,15.1000005,15.375,15.1000005,15.3500005,2600
928381500,14.7,15.5,14.7,15.25,2800
928467900,15.5,15.5,15.05,15.125,3100
928727100,15.125,15.4750005,14.9750005,14.9750005,5800
928813500,14.9750005,15.2,14.9750005,15.2,14700
928899900,16.25,16.25,15.625,15.9750005,9500
928986300,16.0,16.125,15.6499995,15.8999995,6400
929072700,15.5,15.625,15.1000005,15.3,8000
929331900,15.25,16.5249995,14.8500005,16.5249995,17200
929418300,17.8500005,17.8500005,17.049999,17.799999,43400
929504700,18.5,19.2250005,18.5,19.2250005,53800
929591100,20.4750005,20.75,18.25,20.3500005,119600
929677500,19.5249995,19.5249995,18.7250005,18.7250005,30900
929936700,19.0,19.0,18.325001,18.5,25700
930023100,18.950001,20.0,18.549999,20.0,80400
930109500,21.5,21.6000005,20.299999,21.6000005,78200
930195900,21.6000005,22.450001,21.0,21.4750005,78200
930282300,21.5,23.200001,21.5,23.200001,102000
930541500,22.75,25.075001,22.200001,25.075001,76400
930627900,25.25,27.1000005,24.950001,27.1000005,215600
930714300,29.25,29.2749995,27.625,29.2749995,212900
930800700,30.25,31.625,28.200001,29.2250005,379300
930887100,28.5249995,29.424999,27.1499995,28.325001,150700
931146300,28.549999,29.25,27.6499995,28.625,129000
931232700,28.5,29.25,28.125,28.799999,187400
931319100,28.75,28.950001,26.825001,27.6499995,69000
931405500,28.5,28.5,26.3500005,26.4750005,55000
931491900,26.25,28.25,25.049999,27.75,123000
931751100,28.0,28.0,27.049999,27.075001,70700
931837500,26.9750005,26.9750005,25.0,25.2749995,49700
931923900,25.549999,26.0,24.125,24.674999,46300
932010300,25.950001,26.25,24.325001,24.700001,53400
932096700,24.75,24.8500005,24.2749995,24.4750005,34400
932355900,24.5,25.924999,24.0,25.0,58900
932442300,24.875,25.450001,24.450001,24.6000005,46900
932528700,25.0,26.575001,24.950001,26.575001,28100
932615100,27.950001,28.700001,27.674999,28.700001,69500
932701500,30.0,31.0,27.1499995,28.4750005,82300
932960700,29.799999,30.7749995,27.5,30.7749995,135200
933047100,31.0,33.25,30.5,33.25,195600
933133500,34.950001,35.924999,34.700001,35.924999,419100
933219900,37.7249985,38.799999,37.7249985,38.799999,214300
933306300,41.4749985,41.625,36.25,37.799999,273200
933565500,36.5,39.125,34.7750015,37.575001,186200
933651900,36.0250015,37.375,35.25,36.174999,160700
933738300,37.049999,39.0,37.049999,37.6500015,127000
933824700,37.0250015,37.5,36.049999,36.174999,25600
933911100,36.5,36.5,34.5999985,35.325001,42300
934170300,35.9000015,38.1500015,34.875,37.700001,113000
934256700,37.7249985,39.0,36.1500015,38.549999,146700
934343100,38.5,38.700001,36.75,37.5,44800
934429500,37.5,40.5,37.125,40.5,123800
934515900,40.75,43.75,40.75,43.75,186300
934775100,46.5,47.25,42.5,46.825001,236700
934861500,47.25,48.0,43.0999985,44.0250015,265300
934947900,47.549999,47.549999,45.5,47.0250015,116200
935034300,47.5,48.049999,43.5,43.799999,111900
935120700,43.0,47.1500015,43.0,45.700001,102600
935379900,46.5,47.5,45.0250015,45.5999985,84400
935466300,47.25,48.0,45.0,45.549999,49100
935552700,46.5,47.0,44.2750015,44.4749985,90200
935639100,45.5,46.25,44.5,44.9000015,61700
935725500,44.950001,45.0,43.625,44.0,21600
935984700,44.0,47.5250015,41.049999,46.5250015,104700
936071100,48.700001,50.25,47.0,48.9000015,248700
936157500,50.0,51.55,46.825001,47.5250015,134300
936243900,46.75,47.0,44.049999,44.375,64800
936330300,44.0,47.5,43.5,46.450001,58100
936589500,48.0,49.0,43.9749985,44.0999985,38500
936675900,43.0,44.0,41.0,42.0250015,137000
936762300,43.5,45.4000015,43.1500015,43.424999,47600
936848700,42.549999,43.25,42.049999,42.9000015,21200
936935100,41.7750015,43.674999,41.7750015,43.3499985,47400
937280700,45.0,46.0,41.5,42.125,71400
937367100,42.9749985,42.9749985,41.549999,41.9000015,18700
937453500,42.5,42.5,39.0250015,39.375,24400
937539900,38.5,42.5250015,38.375,42.5,73100
937799100,43.25,45.0,41.6500015,42.0,37900
937885500,41.5,42.0,40.075001,40.825001,36000
937971900,42.825001,43.75,41.7750015,42.5250015,46300
938058300,41.7750015,42.950001,41.549999,41.825001,21500
938144700,39.0999985,42.450001,39.0999985,41.924999,11300
938403900,40.5,42.200001,40.5,42.0250015,21200
938490300,41.0,41.625,38.950001,39.1500015,134300
938576700,39.9000015,40.8499985,39.25,40.0250015,24900
938663100,40.950001,41.950001,39.299999,39.825001,36000
938749500,39.950001,40.5,39.1500015,40.174999,21400
939008700,40.049999,40.4749985,38.049999,38.5250015,19500
939095100,38.549999,39.950001,37.5,38.875,38600
939181500,40.0,40.0,37.5,37.700001,55300
939267900,39.0999985,40.7249985,37.875,40.7249985,31900
939354300,42.5,44.0,42.0,44.0,33300
939613500,45.5,47.5250015,45.0,47.5250015,25100
939699900,51.0,51.325,49.049999,51.325,99700
939786300,52.5,55.45,51.5,55.45,69000
939872700,59.75,59.9,59.75,59.9,117400
939959100,64.5,64.699995,60.0,64.25,317300
940218300,67.5,69.4,66.025,69.225,189600
940391100,69.5,74.775,69.5,74.775,66400
940477500,80.775,80.775,77.625,79.324995,328800
940563900,78.949995,78.949995,73.0,73.0,127500
940823100,79.75,79.75,69.75,69.824995,145000
940909500,67.5,69.0,64.25,66.775,167700
940995900,68.75,68.75,61.45,61.65,125200
941082300,57.55,66.6,57.55,61.975,187800
941168700,64.0,64.0,57.05,59.275,162300
941427900,59.45,59.45,54.55,54.55,90900
941514300,51.75,58.925,50.775,58.925,159500
941600700,61.5,63.625,59.0,60.8,136100
941687100,61.425,61.425,59.125,59.525,27800
941773500,57.5,59.875,56.075,56.55,35900
942119100,59.5,64.824995,58.575,64.824995,111100
942205500,70.0,70.025,67.5,70.025,58900
942291900,71.875,72.949995,66.175005,66.875,124100
942378300,66.0,68.949995,65.5,66.449995,60100
942637500,67.4,67.425005,64.0,64.550005,24700
942723900,63.45,69.375,62.1,67.175005,91300
942810300,69.6,69.6,64.0,64.35,63800
942896700,65.0,65.0,61.5,63.625,38200
942983100,64.475,65.5,63.25,64.324995,53800
943242300,64.199995,64.525,61.85,62.575,67000
943415100,62.875,64.5,61.725,62.325,27600
943501500,63.5,63.95,62.0,62.3,28800
943587900,61.5,62.5,59.0,60.0,26700
943847100,61.0,63.0,59.0,59.775,33100
943933500,59.0,60.0,56.025,58.725,54300
944019900,62.45,63.425,62.0,63.425,17600
944106300,67.5,68.5,67.449995,68.5,21700
944192700,74.0,74.0,74.0,74.0,14000
944451900,79.925005,79.925005,79.925005,79.925005,20400
944538300,86.324995,86.324995,75.050005,86.324995,303100
944624700,92.5,93.25,82.5,87.25,342000
944711100,87.75,87.75,83.5,84.925005,106800
944797500,84.75,91.725,84.75,91.725,239200
945056700,96.5,99.0,90.5,94.425005,228600
945143100,93.75,97.5,90.75,95.625,181700
945229500,99.5,99.5,90.5,93.425005,155100
945315900,99.0,100.9,95.050005,100.9,187100
945402300,106.949995,108.975,104.25,108.975,122800
945661500,115.0,117.699995,111.025,117.699995,162600
945747900,124.975,127.1,108.5,110.199995,225700
945834300,112.449995,119.0,112.449995,116.1,161600
945920700,112.5,115.5,112.5,113.074995,27500
946007100,109.0,114.5,105.0,111.925005,77500
946266300,108.1,108.1,102.975,102.975,35200
946352700,97.0,102.0,94.75,97.449995,122900
946439100,99.5,101.0,96.0,96.550005,23600
946525500,96.625,100.0,95.199995,97.25,47500
946871100,104.0,105.050005,104.0,105.050005,5400
946957500,113.449995,113.475,113.449995,113.475,24500
947043900,122.5,122.574995,113.5,121.775,120100
947130300,122.5,131.524995,122.5,131.524995,72000
947216700,142.050005,142.050005,142.050005,142.050005,189200
947475900,153.425005,153.425005,153.425005,153.425005,136100
947562300,165.625,165.625,141.149995,141.600005,267000
947648700,141.5,152.949995,141.5,151.5,231000
947735100,149.0,151.75,142.524995,149.149995,104100
947821500,148.449995,152.5,144.300005,147.425005,221600
948080700,150.0,150.0,146.050005,146.600005,82100
948167100,145.0,147.0,142.5,144.475005,85400
948253500,147.399995,147.399995,144.199995,144.524995,37200
948339900,146.0,156.100005,146.0,156.100005,53300
948426300,160.0,168.600005,160.0,168.600005,442900
948685500,177.5,182.100005,175.0,182.100005,110800
948771900,188.699995,196.5,170.0,174.100005,124200
948944700,178.0,188.050005,177.5,188.0,144100
949031100,189.449995,203.050005,182.5,202.725005,334300
949290300,190.0,214.925005,186.524995,207.600005,221100
949376700,210.0,224.225005,202.5,223.774995,264900
949463100,239.925005,241.675005,236.125,241.675005,343100
949549500,250.0,260.0,222.350005,250.675005,507400
949635900,242.5,251.0,230.625,233.399995,172500
949895100,220.0,230.975005,214.75,214.899995,227800
949981500,210.0,214.75,197.725005,197.725005,107400
950067900,200.0,213.550005,187.5,213.449995,276700
950154300,215.0,225.0,202.5,204.725005,105600
950240700,215.0,215.0,196.050005,198.149995,74700
950499900,198.5,204.975005,182.300005,202.574995,142500
950586300,198.5,204.899995,193.0,201.449995,239600
950672700,213.0,217.574995,213.0,217.574995,32100
950759100,222.5,235.0,220.0,235.0,202200
950845500,244.0,250.0,237.5,245.800005,148300
951104700,250.0,252.5,226.149995,226.25,106600
951191100,222.75,225.0,208.149995,208.149995,114700
951277500,220.550005,224.5,200.0,208.550005,101500
951363900,210.0,214.5,193.0,199.75,57900
951450300,195.024995,204.375,195.0,199.800005,41000
951709500,195.0,200.0,190.25,198.300005,82400
951795900,193.0,200.0,182.5,182.675005,92900
951882300,168.5,197.25,168.5,197.175005,84200
951968700,199.949995,212.0,181.399995,186.774995,130000
952055100,190.0,190.0,176.5,179.824995,64000
952314300,187.0,187.5,175.0,179.399995,69900
952400700,177.5,177.5,165.050005,167.0,110600
952487100,170.0,180.375,155.0,173.300005,104900
952573500,177.0,187.175005,166.0,184.774995,302200
952659900,180.0,190.0,180.0,182.899995,28400
952919100,169.0,182.5,169.0,176.375,72400
953005500,173.0,177.5,163.074995,170.800005,143000
953091900,172.0,173.75,157.699995,163.625,18700
953178300,157.5,158.0,150.574995,152.5,30000
953610300,150.0,150.0,140.300005,141.574995,57300
953696700,145.449995,152.899995,142.5,151.925005,27600
953783100,160.0,164.100005,158.0,163.574995,29300
953869500,167.0,176.625,167.0,174.375,38100
954128700,167.5,178.949995,160.5,162.0,25600
954215100,157.5,172.5,156.25,163.225005,74700
954301500,164.5,171.875,162.0,168.699995,18300
954387900,167.5,167.5,158.5,162.800005,86400
954474300,153.0,160.949995,150.0,156.399995,104800
954733500,151.25,158.5,151.25,154.899995,74600
954819900,150.0,152.5,142.524995,149.725005,146100
954906300,149.5,155.0,145.5,149.5,31600
954992700,147.5,147.5,137.550005,137.574995,12200
955079100,139.25,148.600005,139.25,148.600005,5500
955338300,152.550005,160.5,152.550005,160.5,19800
955424700,166.0,173.0,155.0,164.475005,52400
955511100,167.5,168.925005,163.0,165.050005,18900
955597500,155.5,166.5,151.850005,161.475005,44100
955943100,148.574995,152.5,148.574995,151.475005,61200
956029500,154.449995,155.0,150.25,152.125,22400
956115900,155.0,161.449995,151.5,154.649995,48800
956202300,150.050005,156.0,146.0,154.149995,23800
956547900,152.125,153.5,148.0,150.475005,20900
956634300,141.050005,146.0,138.449995,143.175005,104300
956720700,147.5,154.0,147.0,148.600005,43100
956807100,147.5,147.5,136.774995,138.850005,10900
956893500,135.75,136.0,127.75,127.75,54000
957239100,120.5,120.5,112.425005,112.625,160400
