time,open,high,low,close,Volume
915162300,6.6,6.6,6.4599998,6.5900002,655000
915421500,6.5949997,7.1,6.5949997,6.9599998,3181500
915507900,6.9199997,7.15,6.8300003,7.15,1679000
915594300,7.4,7.5699997,7.2599998,7.4,3010000
915680700,7.5,7.5449997,7.2,7.2650002,1111500
915767100,7.4,7.575,7.3150002,7.5449997,2128500
916026300,7.6800003,7.85,7.55,7.55,3180000
916112700,7.55,7.575,7.2599998,7.3550003,1317000
916199100,7.4599998,7.5349998,7.2,7.2599998,862500
916285500,7.1400002,7.1449997,6.95,7.0449997,659500
916371900,7.1400002,7.1400002,6.55,6.6,663500
916631100,6.675,6.7400002,6.5,6.6199997,452000
916717500,6.625,6.6449997,6.3650002,6.4,892500
916890300,6.4800003,6.875,6.4650002,6.8199997,764500
916976700,6.9,6.9,6.5650002,6.6,663000
917235900,6.65,6.65,6.4099998,6.5849998,712000
917408700,6.75,6.8650002,6.6,6.725,1182000
917495100,6.8,6.8199997,6.2,6.2,635500
917581500,5.85,6.1450001,5.8049999,6.1400002,1343000
917840700,5.75,6.1,5.75,5.8599998,523500
917927100,5.8700001,5.8700001,5.6549999,5.7150002,913000
918013500,5.8,6.175,5.75,5.85,664000
918099900,5.8099998,5.9,5.7049999,5.7049999,350000
918186300,5.7900002,5.7900002,5.5,5.5099998,473000
918445500,5.425,5.5,5.3150002,5.3150002,273500
918531900,5.0150002,5.35,5.0150002,5.3400002,573000
918618300,5.4849998,5.4849998,5.3049999,5.4,365500
918704700,5.5,5.525,5.3099998,5.3099998,365000
918791100,5.3,5.3650002,5.2,5.2,536000
919050300,5.2,5.3799999,5.0,5.175,382500
919136700,5.1099998,5.175,5.0,5.05,628000
919223100,4.9,5.2349998,4.9,5.15,360500
919309500,5.1900002,5.4,5.1349998,5.2099998,518000
919395900,5.3,5.375,5.0,5.0950001,706000
919655100,5.1299999,5.2650002,5.025,5.0650002,531500
919741500,4.9700001,5.1700001,4.9700001,5.0099998,519000
919827900,5.2150002,5.2400002,4.875,4.9900002,715500
919914300,4.9150002,5.1849998,4.9150002,5.05,464000
920000700,5.0,5.0700001,5.0,5.0349998,298000
920259900,5.0150002,5.0700001,4.825,4.8599998,564500
920432700,4.95,5.25,4.95,5.2299999,1041500
920519100,5.2299999,5.2549999,5.05,5.1150002,296500
920605500,5.1049999,5.1049999,4.9799999,5.05,288000
920864700,5.0200001,5.0900002,4.925,4.9799999,386000
920951100,5.0450001,5.0450001,4.7599998,4.8650002,703500
921037500,4.9849998,5.0,4.8799999,4.8849998,198000
921123900,4.8099998,4.8849998,4.7700001,4.7950001,248500
921210300,4.7200001,4.7849998,4.6,4.675,319000
921469500,4.6099998,4.6650002,4.4,4.45,276500
921555900,4.4049999,4.4450001,4.3049999,4.3099998,447000
921642300,4.35,4.6549999,4.35,4.6549999,698500
921728700,4.9,5.0299999,4.8,5.0299999,190500
921815100,5.4299999,5.4349998,5.1,5.1799999,1492000
922074300,5.0049999,5.1400002,4.725,5.025,799000
922160700,5.075,5.1,4.8,4.8549999,689000
922247100,5.05,5.2450001,5.05,5.2450001,587500
922333500,5.6599998,5.6650002,5.6599998,5.6650002,472500
922419900,5.7450001,5.9599998,5.25,5.3,1073000
922765500,5.2450001,5.3400002,4.9,5.0099998,924000
922851900,5.1799999,5.2450001,5.1200001,5.1450001,369000
922938300,5.1900002,5.1900002,4.9900002,5.0450001,273000
923283900,4.925,4.9299999,4.6450001,4.6450001,313000
923370300,4.375,4.6900002,4.375,4.675,389000
923456700,4.65,4.7599998,4.65,4.7200001,177000
923543100,4.7,4.7,4.5049999,4.5549999,179500
923629500,4.5549999,4.5549999,4.4,4.4,252000
923888700,4.2049999,4.475,4.15,4.3900002,207000
923975100,4.425,4.425,4.2299999,4.325,343500
924147900,4.2,4.3849998,4.2,4.3,195500
924234300,4.3599998,4.6450001,4.1900002,4.6450001,616000
924493500,4.1299999,4.5,4.1299999,4.4200001,191500
924579900,4.3450001,4.4,4.2900002,4.2900002,388000
924666300,4.3099998,4.3900002,4.2900002,4.3,267500
924752700,4.3400002,4.3900002,4.25,4.2799999,160500
924839100,4.3400002,4.3400002,4.1,4.1849998,309000
925098300,4.0299999,4.0599998,3.8700001,3.8700001,465500
925271100,3.8700001,4.1,3.8700001,4.0900002,247000
925357500,4.0849998,4.1,4.0099998,4.0400002,193500
925443900,4.0599998,4.075,3.9650002,4.0,269000
925703100,4.025,4.0299999,3.9349998,3.9450001,187500
925789500,3.9,4.05,3.9,3.9950001,259500
925875900,4.0900002,4.2799999,4.0049999,4.2349998,526000
925962300,4.3,4.325,4.1900002,4.2650002,361000
926048700,4.2700001,4.4900002,4.2,4.2,566500
926307900,4.1200001,4.5400002,4.1200001,4.5400002,556000
926394300,4.8,4.9049999,4.7,4.9049999,1087500
926480700,5.3,5.3,4.55,4.7200001,1929000
926567100,4.9799999,5.1,4.8650002,5.1,1735000
926653500,5.3700001,5.5099998,5.2099998,5.5099998,3131000
926912700,5.3650002,5.8099998,5.3650002,5.7,3131000
926999100,5.7450001,5.8,5.5349998,5.7099998,1702500
927085500,5.8099998,6.1700001,5.6150002,6.1700001,2898000
927171900,6.1950001,6.4400002,5.8,5.8599998,1687500
927258300,5.875,5.925,5.4,5.4049999,1105500
927517500,5.3900002,5.3900002,5.1150002,5.25,645500
927603900,5.1299999,5.3900002,5.1299999,5.275,1396500
927690300,5.375,5.45,4.8549999,4.8900002,1476000
927776700,4.7799999,5.0950001,4.7599998,4.8,604000
927863100,4.5799999,4.7400002,4.425,4.5049999,1265500
928122300,4.75,4.8650002,4.6849998,4.8650002,657500
928208700,4.9849998,5.0200001,4.7349998,4.7900002,1183000
928295100,4.4700001,4.7,4.4599998,4.6650002,896500
928381500,4.6900002,4.8400002,4.6900002,4.7849998,555000
928467900,5.1650002,5.1700001,4.95,5.1700001,2083000
928727100,5.1950001,5.5349998,5.1299999,5.2950001,2083000
928813500,5.25,5.3450001,5.1,5.2700001,1072000
928899900,5.4400002,5.55,5.3599998,5.3950001,961000
928986300,5.35,5.45,5.2599998,5.3,550500
