time,open,high,low,close,Volume
915162300,2.2200001,2.26499995,2.18500005,2.2625,4240000
915421500,2.3450001,2.35,2.27749995,2.27749995,8322000
915507900,2.2674999,2.30249995,2.1875,2.25,11386000
915594300,2.325,2.325,2.175,2.2325001,8649000
915680700,2.2375,2.2625,2.1549999,2.2,4855000
915767100,2.1825001,2.37749995,2.175,2.37749995,7739000
916026300,2.44750005,2.44750005,2.27749995,2.27749995,11289000
916112700,2.2325001,2.2700001,2.125,2.1700001,7978000
916199100,2.2,2.225,2.1,2.10249995,5525000
916285500,2.025,2.27250005,2.01000005,2.27250005,11467000
916371900,2.3450001,2.3450001,2.1625,2.2125,7043000
916631100,2.1799999,2.2125,2.0950001,2.1625,2691000
916717500,2.1625,2.2125,2.06499995,2.06499995,6413000
916890300,2.11499995,2.225,2.0700001,2.225,5282000
916976700,2.22749995,2.2450001,2.10249995,2.1125,2902000
917235900,2.1200001,2.1200001,2.0174999,2.05,3670000
917408700,2.1,2.2,2.0450001,2.1575001,4970000
917495100,2.1299999,2.175,2.0549999,2.0625,2169000
917581500,2.0674999,2.08500005,2.0075001,2.0450001,1782000
917840700,1.9799999,2.0125,1.8825001,1.8825001,2149000
917927100,1.85,1.85249995,1.7325001,1.7375,3295000
918013500,1.8,1.85,1.775,1.85,1523000
918099900,1.8424999,1.8549999,1.80249995,1.80249995,1314000
918186300,1.8,1.94750005,1.7875,1.94750005,4720000
918445500,2.0375,2.075,1.86499995,1.90249995,7621000
918531900,1.9049999,2.0549999,1.86499995,2.0549999,3512000
918618300,2.1375,2.2200001,2.1,2.2200001,8098000
918704700,2.325,2.325,2.1549999,2.2049999,7941000
918791100,2.25,2.26000005,2.15,2.2,2657000
919050300,2.2,2.2450001,2.11499995,2.11499995,5084000
919136700,2.125,2.1625,2.1049999,2.16000005,3954000
919223100,2.2049999,2.33500005,2.2049999,2.33500005,8325000
919309500,2.52250005,2.52250005,2.4125,2.46499995,9380000
919395900,2.4549999,2.4549999,2.3325001,2.4450001,3710000
919655100,2.4825001,2.525,2.3,2.3049999,5078000
919741500,2.275,2.3,2.21000005,2.25,6271000
919827900,2.275,2.3,2.15,2.25,2021000
919914300,2.25,2.3674999,2.2125,2.2549999,3129000
920000700,2.2575001,2.2700001,2.175,2.2075001,2023000
920259900,2.15,2.15,2.00249995,2.05,6296000
920432700,2.025,2.21499995,1.9049999,2.1,7532000
920519100,2.15,2.2,2.06000005,2.0875,2698000
920605500,2.09750005,2.1450001,1.975,1.99750005,2354000
920864700,2.0,2.0700001,1.925,1.9450001,2935000
920951100,1.925,1.98500005,1.8549999,1.875,3813000
921037500,1.925,2.025,1.90249995,2.025,3807000
921123900,2.05,2.17250005,2.0049999,2.0049999,4196000
921210300,1.975,2.025,1.9549999,1.9700001,1581000
921469500,1.975,2.0,1.90249995,1.90249995,2304000
921555900,1.9049999,1.925,1.86000005,1.8700001,3603000
921642300,1.95,1.99750005,1.9,1.91000005,1660000
921728700,1.90249995,1.975,1.9,1.9674999,1192000
921815100,1.9950001,1.9950001,1.8549999,1.925,1550000
922074300,1.9,1.975,1.87749995,1.9625,1591000
922160700,1.97250005,2.1200001,1.9325001,2.1200001,3582000
922247100,2.19750005,2.28999995,2.1,2.125,23466000
922333500,2.11000005,2.225,2.11000005,2.175,3552000
922419900,2.175,2.1924999,2.0049999,2.06499995,2577000
922765500,2.01499995,2.075,1.925,2.03500005,5040000
922851900,2.08500005,2.1924999,1.9825001,2.12749995,4664000
922938300,2.15,2.29750005,2.03999995,2.29750005,6129000
923283900,2.11499995,2.2450001,2.11499995,2.11499995,6029000
923370300,2.00249995,2.0549999,1.975,2.0,3529000
923456700,2.07250005,2.11000005,2.0174999,2.02749995,3173000
923543100,1.97749995,2.03999995,1.9450001,1.9450001,1023000
923629500,1.975,1.98999995,1.78999995,1.78999995,1859000
923888700,1.6549999,1.8,1.6549999,1.73999995,1430000
923975100,1.73500005,1.7450001,1.6825001,1.7049999,1451000
924147900,1.6049999,1.7,1.6049999,1.675,1144000
924234300,1.69750005,1.81000005,1.6549999,1.81000005,3100000
924493500,1.58999995,1.7924999,1.58999995,1.7450001,2342000
924579900,1.7450001,1.7450001,1.6950001,1.7075001,1088000
924666300,1.7450001,1.74750005,1.7075001,1.7200001,415000
924752700,1.7174999,1.7375,1.6375,1.6549999,447000
924839100,1.67250005,1.67250005,1.56499995,1.6,588000
925098300,1.505,1.51000005,1.47250005,1.47250005,691000
925271100,1.45,1.5,1.375,1.43,971000
925357500,1.45,1.545,1.425,1.545,815000
925443900,1.57250005,1.5875,1.55,1.57,736000
925703100,1.50249995,1.58500005,1.48,1.52250005,608000
925789500,1.5,1.6450001,1.48999995,1.6450001,1272000
925875900,1.67250005,1.7450001,1.58999995,1.71000005,1532000
925962300,1.7,1.8450001,1.675,1.825,2291000
926048700,1.8450001,1.9,1.76000005,1.83500005,3530000
926307900,1.825,1.85,1.76499995,1.7924999,1439000
926394300,1.75,1.85,1.75,1.80249995,1952000
926480700,1.875,1.9,1.7,1.775,2515000
926567100,1.76000005,1.9174999,1.76000005,1.9174999,3079000
926653500,2.05,2.07250005,1.9799999,2.07250005,2660000
926912700,2.15,2.23999995,2.125,2.2200001,8595000
926999100,2.2549999,2.39750005,2.2549999,2.39750005,3825000
927085500,2.5875,2.58999995,2.475,2.58999995,11295000
927171900,2.5125,2.625,2.45,2.46000005,6430000
927258300,2.45,2.625,2.4049999,2.4875,7635000
927517500,2.54750005,2.6875,2.45,2.6875,5405000
927603900,2.90249995,2.90249995,2.90249995,2.90249995,3666000
927690300,2.7075001,3.0950001,2.6875,2.7625,21468000
927776700,2.78999995,2.98500005,2.78999995,2.8,6944000
927863100,2.7125,3.02250005,2.6174999,3.0,6894000
928122300,3.1,3.24000015,3.025,3.24000015,6736000
928208700,3.24000015,3.3450001,3.10249995,3.15,6441000
928295100,3.15,3.2,3.06000005,3.18999995,4426000
928381500,3.2125,3.3200001,3.1700001,3.24000015,4046000
928467900,3.26500015,3.425,3.2,3.35,6286000
928727100,3.375,3.3875,3.225,3.225,2621000
928813500,3.1950001,3.325,3.15249995,3.2549999,3657000
928899900,3.3424999,3.375,3.2375,3.2700001,2405000
928986300,3.2950001,3.3,3.15,3.1799999,914000
929072700,3.15,3.2,3.1125,3.15,1553000
929331900,3.0200001,3.15,2.96499995,3.1200001,1738000
929418300,3.175,3.3700001,3.175,3.3700001,3656000
929504700,3.4450001,3.625,3.33499985,3.5825001,6266000
929591100,3.60999985,3.60999985,3.48499985,3.5049999,2721000
929677500,3.55,3.55,3.4549999,3.4799999,1943000
929936700,3.5450001,3.75999985,3.5049999,3.7450001,5159000
930023100,3.825,3.9950001,3.7375,3.92249985,8662000
930109500,3.98499985,3.99749985,3.725,3.74749985,4484000
930195900,3.7,3.7875,3.6549999,3.6950001,2954000
930282300,3.7200001,3.9924999,3.6299999,3.975,7288000
930541500,4.025,4.24749985,3.975,4.1375,5257000
930627900,4.125,4.2,4.025,4.12750015,3214000
930714300,4.1,4.1,3.9049999,3.9575001,2365000
930800700,4.0,4.0799999,3.925,3.95250015,3273000
930887100,3.9549999,4.14749985,3.95,4.0200001,4107000
931146300,4.1,4.3424999,4.0549999,4.3424999,4949000
931232700,4.5,4.69000015,4.5,4.69000015,4337000
931319100,4.8200001,5.065,4.75,5.015,9753000
931405500,5.05,5.13,4.85250015,5.0175,14031000
931491900,5.0,5.145,4.8575001,5.005,9277000
931751100,5.1,5.4,5.1,5.38,10921000
931837500,5.525,5.6,4.95,4.95,5990000
931923900,4.95,5.095,4.5549999,4.9575001,8965000
932010300,5.225,5.225,4.85,4.9200001,7293000
932096700,5.05,5.0975,4.85,4.9125,5706000
932355900,4.95,5.2375,4.9049999,5.03,7004000
932442300,5.05,5.3875,4.9125,5.28,12091000
932528700,5.545,5.545,4.8575001,4.89749985,15230000
932615100,4.85,5.15,4.8375,4.91500015,5475000
932701500,4.9924999,5.225,4.91500015,5.075,10305000
932960700,5.05,5.4825,4.85999985,5.325,12351000
933047100,5.495,5.7525,5.4075,5.7525,27290000
933133500,5.9,6.16,5.7875,5.8725,15674000
933219900,5.825,5.925,5.625,5.72,11581000
933306300,5.6625,5.725,5.5125,5.6175,6494000
933565500,5.65,5.65,5.17,5.22,8292000
933651900,5.05,5.6375,5.0,5.6375,11722000
933738300,5.795,6.09,5.795,6.0425,22671000
933824700,6.1425,6.5275,6.025,6.475,34713000
933911100,6.6,6.9949995,6.6,6.9949995,32685000
934170300,7.3949995,7.55,6.865,7.04,39035000
934256700,6.8675005,7.4675005,6.5550005,7.3225,33188000
934343100,7.0,7.4,6.7550005,7.1699995,26360000
934429500,7.1300005,7.3225,6.9,6.9425005,11176000
934515900,6.9,7.1225,6.8050005,7.0475,14288000
934775100,7.2,7.45,7.0800005,7.3199995,14956000
934861500,7.325,7.9074995,7.1050005,7.8775,37042000
934947900,7.9,8.05,7.465,7.6375,22221000
935034300,7.5125,7.55,7.15,7.21,12529000
935120700,7.235,7.275,6.975,7.1225,7982000
935379900,7.2,7.375,7.125,7.1975,14083000
935466300,7.2449995,7.5975,7.0275,7.465,28831000
935552700,7.7,7.9,6.8699995,7.0925005,5662000
935639100,7.2449995,7.3875,7.15,7.3425005,2176000
935725500,7.35,7.35,7.2,7.2800005,1877000
935984700,7.1625,7.3,7.0175005,7.1050005,1689000
936071100,6.95,7.0025,6.585,6.7525,3836000
936157500,6.85,7.0,6.37,6.54,4166000
936243900,6.425,6.6,6.275,6.385,3055000
