time,open,high,low,close,Volume
915162300,0.22222156,0.22626195,0.22222156,0.22222156,207900.6212486
915421500,0.22222156,0.23131244,0.22222156,0.2257569,168300.50291554
915507900,0.21212058,0.22727205,0.21212058,0.22626195,247500.73958167
915594300,0.23939323,0.24242352,0.23232254,0.24242352,326700.97624781
915680700,0.24999925,0.26161538,0.24949421,0.26161538,376201.12416414
915767100,0.26262548,0.26767597,0.2525245,0.2525245,544501.62707968
916026300,0.2525245,0.26262548,0.24747401,0.24747401,811802.42582788
916112700,0.24747401,0.24747401,0.23030233,0.23333264,336601.00583107
916199100,0.24242352,0.24242352,0.22222156,0.22222156,742502.21874501
916285500,0.2247468,0.22525184,0.21414078,0.21717107,396001.18333067
916371900,0.21313068,0.21313068,0.20707009,0.20707009,673202.01166214
916631100,0.21060543,0.21060543,0.19999939,0.2020196,752402.24832828
916717500,0.20959533,0.20959533,0.1949489,0.19696911,475201.41999681
916890300,0.20707009,0.20707009,0.18181764,0.18535298,1395904.17124062
916976700,0.19393882,0.19595901,0.18282774,0.18434288,1415704.23040716
917235900,0.18232268,0.18838328,0.17979743,0.18181764,2465107.36623344
917408700,0.19191862,0.21111048,0.19191862,0.20454484,3593710.73872586
917495100,0.21212058,0.21717107,0.19949435,0.20151456,1069203.19499282
917581500,0.21111048,0.21111048,0.19343377,0.19696911,3692711.03455852
917840700,0.19191862,0.2020196,0.18535298,0.18686813,435601.30166374
917927100,0.18181764,0.18939337,0.17777725,0.1813126,999902.98790995
918013500,0.18939337,0.19696911,0.18181764,0.18686813,4940114.76205014
918099900,0.19141358,0.19444386,0.18383784,0.18383784,999902.98790995
918186300,0.19040347,0.19191862,0.18232268,0.18232268,3583810.70914259
918445500,0.18181764,0.18787823,0.18181764,0.18181764,485101.44958007
918531900,0.18181764,0.18282774,0.1813126,0.18232268,3544210.59080952
918618300,0.19191862,0.19191862,0.18232268,0.18636309,3623410.82747566
918704700,0.18888833,0.23333264,0.18888833,0.21717107,27650782.62606423
918791100,0.21666603,0.23484778,0.21666603,0.23484778,71042612.28952272
919050300,0.25403964,0.25403964,0.24444372,0.25403964,45569836.17177718
919136700,0.26919111,0.27474666,0.25808003,0.26262548,50222850.07591258
919223100,0.27171636,0.28383754,0.26565576,0.28383754,31452393.98603869
919309500,0.30656474,0.30656474,0.28535268,0.29292842,40223820.19681309
919395900,0.31616066,0.31616066,0.26969617,0.27070625,34392702.77226894
919655100,0.28181734,0.28282744,0.24949421,0.2515144,15919247.56989305
919741500,0.23686799,0.26666587,0.23686799,0.26262548,19017956.82945556
919827900,0.27272646,0.27272646,0.24898915,0.25656489,18265554.58112728
919914300,0.25959519,0.27727191,0.25403964,0.27727191,19720858.92986751
920000700,0.29747387,0.29949405,0.28787793,0.29949405,44718433.62761623
920259900,0.33232226,0.34999897,0.32474652,0.34999897,62290986.13791484
920432700,0.36868577,0.37828171,0.35454437,0.37828171,48935846.23008789
920519100,0.38383724,0.38888773,0.34797877,0.36009995,24858974.28358298
920605500,0.35201913,0.35858479,0.34343332,0.34747373,11672134.87867158
920864700,0.35252422,0.35252422,0.31969601,0.32272632,15493546.29781258
920951100,0.32272632,0.34898885,0.29696881,0.33131213,28927886.44230565
921037500,0.33232226,0.34343332,0.3050496,0.31262534,20681161.79944439
921123900,0.32121115,0.32121115,0.29545366,0.29545366,8147724.3470286
921210300,0.28737289,0.30757485,0.28737289,0.29797891,8870426.50660707
921469500,0.30454454,0.32222126,0.29797891,0.32222126,17582452.53988187
921555900,0.3328273,0.33838283,0.31363542,0.31363542,17899253.48654641
921642300,0.33232226,0.33888787,0.32474652,0.33030205,18918956.53362289
921728700,0.3328273,0.34343332,0.32626164,0.34141311,10375231.00326363
921815100,0.34242324,0.34343332,0.32121115,0.32828185,10088130.14534889
922074300,0.31313038,0.32828185,0.31313038,0.32121115,10117830.23409869
922160700,0.31515058,0.32474652,0.3040395,0.30807989,11949335.70700305
922247100,0.32020107,0.3328273,0.31414048,0.32525156,13919441.59407315
922333500,0.33181717,0.33333234,0.31818087,0.31919097,5138115.35371548
922419900,0.32323136,0.32323136,0.29393852,0.29696881,5672716.95121189
922765500,0.29797891,0.29797891,0.2732315,0.27777695,9018926.95035608
922851900,0.28686783,0.29999911,0.28080723,0.29999911,8415025.1457768
922938300,0.3030294,0.30706979,0.27828199,0.28585772,6613219.76162224
923283900,0.26313052,0.27777695,0.26313052,0.26313052,3415510.20622705
923370300,0.24747401,0.26111033,0.24242352,0.25504974,7761623.19328119
923456700,0.2525245,0.26262548,0.24747401,0.2515144,4068912.15872266
923543100,0.26515072,0.27171636,0.26111033,0.26262548,6345918.96287403
923629500,0.26515072,0.26515072,0.24494876,0.2454538,2920508.72706371
923888700,0.22979729,0.23989827,0.22626195,0.22626195,3593710.73872586
923975100,0.21565592,0.23030233,0.21212058,0.22828215,5702417.03996169
924147900,0.21212058,0.24696897,0.21111048,0.23737303,6682519.96870511
924234300,0.24444372,0.25656489,0.23434274,0.24444372,28640785.58439091
924493500,0.22222156,0.24242352,0.22222156,0.22222156,9850529.43535049
924579900,0.22222156,0.22373671,0.20454484,0.20454484,17117151.14946833
924666300,0.21161554,0.21767611,0.20454484,0.20707009,12493837.33408273
924752700,0.20605999,0.20757513,0.19444386,0.19848426,4405513.16455374
924839100,0.19696911,0.2010095,0.19040347,0.19191862,7702223.01578158
925098300,0.18636309,0.18636309,0.16414092,0.18030249,8999126.89118954
925271100,0.17272676,0.21010037,0.17272676,0.2010095,2910608.69748045
925357500,0.20858524,0.20858524,0.19696911,0.20353475,2930408.75664698
925443900,0.20454484,0.20555494,0.19797921,0.19949435,2890808.63831391
925703100,0.18686813,0.19696911,0.17929239,0.18181764,3979811.89247326
925789500,0.17929239,0.19191862,0.17929239,0.19191862,9642628.81410188
925875900,0.19191862,0.19696911,0.19090852,0.19191862,3247209.70331152
925962300,0.18989841,0.19444386,0.18787823,0.19191862,1277103.81624142
926048700,0.2020196,0.21111048,0.18181764,0.18434288,5662816.92162862
