time,open,high,low,close,Volume
915162300,20.4399992,20.5600008,19.6,19.8399992,18625.0
915421500,20.4,20.92,20.0,20.48,17375.0
915507900,20.4,20.4,19.3600008,19.68,29125.0
915594300,20.4399992,21.12,19.92,20.1600008,14000.0
915680700,20.0,20.92,20.0,20.5600008,16625.0
915767100,20.4399992,21.1600008,20.4399992,20.9600008,15875.0
916026300,20.8,22.32,20.4399992,21.6399992,34125.0
916112700,21.6,21.6,20.32,20.32,19125.0
916199100,20.8,21.6,20.4,20.6,9375.0
916285500,20.28,20.3600008,20.0,20.2399992,2375.0
916371900,20.4,20.4,18.72,18.8,8250.0
916631100,18.52,19.2,18.4,19.2,8000.0
916717500,19.2,19.2,18.1600008,18.1600008,7875.0
916890300,18.8,19.6399992,18.4,19.6399992,13500.0
916976700,19.9600008,19.9600008,18.8,18.8,8500.0
917235900,19.2,19.2,18.4,18.4,8250.0
917408700,18.8,19.4,17.6399992,17.6399992,11250.0
917495100,18.0399992,19.0,16.4,16.8,36875.0
917581500,16.8,17.1600008,16.0,16.6399992,32125.0
917840700,16.12,16.12,15.32,15.6,30500.0
917927100,15.6,15.6,14.6399992,15.2,18750.0
918013500,15.68,16.7600008,15.48,16.0,16750.0
918099900,16.0399992,16.4,15.2,15.2,11000.0
918186300,15.08,15.6,14.8,14.8,9625.0
918445500,15.52,15.5600008,14.88,14.92,6625.0
918531900,15.12,15.12,14.08,14.8,11000.0
918618300,15.6,18.48,15.0,15.92,26500.0
918704700,16.0,16.7600008,15.2399992,15.68,124625.0
918791100,15.8,16.7600008,15.6,16.4,173875.0
919050300,16.6399992,16.7600008,15.6,16.0,253125.0
919136700,16.0,17.28,15.72,17.28,386750.0
919223100,18.6,18.68,18.0399992,18.68,182250.0
919309500,19.2,20.2,18.8399992,20.2,109125.0
919395900,20.28,20.5600008,18.92,19.6,64625.0
919655100,20.68,20.68,18.0399992,18.0399992,45250.0
919741500,16.92,17.48,16.6399992,17.0399992,57500.0
919827900,17.2,18.2,16.5600008,16.8,40875.0
919914300,16.8399992,17.6,16.6,17.4,25125.0
920000700,16.92,18.1600008,16.88,17.6,54875.0
920259900,17.72,18.4,16.72,17.0,50000.0
920432700,17.5600008,18.12,17.0,17.8,32500.0
920519100,17.8,17.8399992,16.4,16.4,43500.0
920605500,16.2399992,17.72,16.2399992,17.72,45375.0
920864700,18.6,18.6,16.32,16.32,88875.0
920951100,16.0399992,16.72,15.0399992,15.2,118875.0
921037500,15.48,16.2,13.6,14.48,157125.0
921123900,14.6,15.2,13.6399992,14.2399992,72500.0
921210300,13.7600008,14.8,13.7600008,14.2399992,42125.0
921469500,14.8,17.4399992,14.8,15.9600008,202875.0
921555900,17.0,18.08,16.0,17.6,332250.0
921642300,18.2399992,19.0399992,17.7600008,19.0399992,205375.0
921728700,19.88,20.5600008,19.0399992,20.5600008,159500.0
921815100,21.6,21.6,19.08,19.6399992,122000.0
922074300,18.5600008,19.8399992,18.5600008,19.4,116375.0
922160700,19.2,19.92,19.2,19.2,156750.0
922247100,20.4,20.7600008,19.68,20.12,111875.0
922333500,20.0,20.8,19.6399992,19.8399992,51500.0
922419900,19.68,20.08,18.28,19.12,85250.0
922765500,18.8,19.6,17.8399992,18.4,84750.0
922851900,19.0,19.6399992,18.8,18.8,45375.0
922938300,18.5600008,18.7600008,17.68,18.0,25750.0
923283900,17.6,17.6,16.6,16.6,40125.0
923370300,15.3600008,16.08,15.3600008,16.0,46500.0
923456700,17.0399992,17.28,16.8,17.28,42250.0
923543100,17.2399992,17.3600008,16.4399992,16.48,19125.0
923629500,16.12,16.6399992,16.0399992,16.08,14625.0
923888700,15.9600008,15.9600008,14.8,15.2,42000.0
923975100,15.4399992,15.52,14.8,15.28,49250.0
924147900,15.3600008,15.5600008,14.72,15.0,18875.0
924234300,15.3600008,17.88,14.9600008,17.4399992,82750.0
924493500,15.4,15.6,14.8,15.6,20750.0
924579900,15.2,15.52,14.48,14.6,55375.0
924666300,15.1600008,15.28,14.8,15.12,40000.0
924752700,15.12,15.2,14.6399992,14.72,15625.0
924839100,14.48,15.08,14.48,14.68,12250.0
925098300,15.2,15.2,13.8399992,14.4,67375.0
925271100,14.4399992,15.0,14.28,14.9600008,24625.0
925357500,14.9600008,15.1600008,14.4,14.4,27000.0
925443900,14.72,14.88,14.4,14.88,16250.0
925703100,14.72,14.72,14.4,14.4,11750.0
925789500,14.3600008,14.72,14.2,14.68,19000.0
925875900,14.8,15.0,14.6,14.68,19625.0
925962300,14.48,14.88,14.4,14.72,28750.0
926048700,14.6,14.88,14.6,14.8,17500.0
926307900,14.68,15.5600008,14.6399992,15.28,42125.0
926394300,15.3600008,15.92,15.32,15.6,30125.0
926480700,15.92,16.0,15.2,15.2,33625.0
926567100,15.0399992,15.32,14.4,14.72,64500.0
926653500,14.8,15.0,14.3600008,14.5600008,85250.0
926912700,14.72,14.7600008,14.2399992,14.48,33875.0
926999100,14.4,14.6,14.2399992,14.28,49000.0
927085500,14.72,17.12,14.72,16.8,124500.0
927171900,17.2,18.1600008,17.1600008,18.1600008,142500.0
927258300,18.9600008,18.9600008,17.2,17.2,74125.0
927517500,17.3600008,17.4,16.4,16.4399992,23875.0
927603900,16.6,16.8,16.2399992,16.8,40500.0
927690300,16.8,17.4399992,16.1600008,16.4,26125.0
927776700,16.08,16.08,15.4,15.4,21250.0
927863100,15.2,15.4,14.4,15.0,40375.0
928122300,15.0,15.8,15.0,15.8,17125.0
928208700,15.88,15.88,15.0399992,15.32,14875.0
928295100,15.52,15.6,15.2,15.6,13875.0
928381500,15.6,15.7600008,15.4399992,15.68,10125.0
928467900,15.6399992,15.8,15.48,15.7600008,17750.0
928727100,15.48,16.1600008,15.48,15.6399992,11250.0
928813500,15.6,16.4,15.52,16.32,24250.0
928899900,16.4,16.8,16.1600008,16.68,21500.0
928986300,17.52,18.0399992,17.52,18.0399992,54875.0
929072700,19.48,19.48,18.6,18.9600008,262125.0
929331900,20.1600008,20.2,17.4399992,17.9600008,83250.0
929418300,18.08,18.28,17.48,17.72,102250.0
929504700,18.2,18.32,17.4399992,17.88,34750.0
929591100,18.2,18.68,17.8399992,18.32,28125.0
929677500,18.0399992,18.2399992,17.52,17.6,19375.0
929936700,18.0,18.0,17.4399992,17.6,16250.0
930023100,17.6,18.0,17.28,17.4,39625.0
930109500,17.7600008,18.0,17.6,17.7600008,16750.0
930195900,18.0,18.0,17.2,17.48,9500.0
930282300,17.4,17.8,17.2,17.5600008,18000.0
930541500,17.6,17.7600008,17.1600008,17.2,11500.0
930627900,17.0,17.48,17.0,17.2,27250.0
930714300,17.4,17.6,17.28,17.52,29625.0
930800700,18.0,18.92,18.0,18.92,37875.0
930887100,20.32,20.4399992,18.88,20.4399992,135375.0
931146300,21.52,22.08,21.32,22.08,114750.0
931232700,23.8399992,23.88,23.8399992,23.88,79125.0
931319100,25.8,25.8,23.6399992,25.8,354250.0
931405500,26.8799984,27.8799984,26.0,27.8799984,328125.0
931491900,29.2,30.1200016,28.8,30.1200016,140250.0
931751100,31.9200016,32.5600008,31.8799984,32.5600008,104625.0
931837500,35.2,35.2,30.0,32.4399992,458250.0
931923900,33.6,34.3600008,30.4,31.6,199500.0
932010300,32.0399992,32.0399992,29.0799984,29.0799984,87250.0
932096700,28.0,30.3600008,26.7600008,29.2,141500.0
932355900,31.1200016,31.1600008,27.8799984,29.3200016,88625.0
932442300,30.3200016,30.4,27.0,27.1200016,157500.0
932528700,27.2,28.6,25.6,27.9200016,77625.0
932615100,29.7600008,30.0,27.6,27.6399992,58875.0
932701500,27.6,28.2399992,26.4,27.8,44500.0
932960700,27.5200016,28.2399992,26.4,27.9200016,101125.0
933047100,28.7200016,30.1600008,28.0,30.1600008,70625.0
933133500,32.6,32.6,30.8,32.2799984,167375.0
933219900,32.8,33.6,30.4,30.9600008,100750.0
933306300,30.5600008,31.2,29.3200016,29.6799984,34250.0
933565500,28.8,28.8,27.3200016,28.0,99125.0
933651900,28.0,28.6399992,27.6799984,27.8399992,148625.0
933738300,28.0,28.8,27.0799984,27.7600008,75500.0
933824700,27.2,28.0,26.4799984,26.7600008,25125.0
933911100,26.1200016,27.5600008,25.6399992,27.1200016,40375.0
934170300,28.4799984,28.7200016,26.0,26.5200016,38625.0
934256700,26.4399992,26.8,24.88,25.1600008,65500.0
934343100,26.3200016,26.9200016,25.6399992,26.7600008,70875.0
934429500,27.0,27.2,25.7200016,25.8399992,58125.0
934515900,26.3200016,26.3200016,25.28,25.6,36250.0
934775100,26.3200016,26.8,25.2399992,25.52,37000.0
934861500,25.0,25.5600008,24.4,25.28,91000.0
934947900,27.2,27.3200016,26.8,27.3200016,20000.0
935034300,29.5200016,29.5200016,26.8399992,27.1200016,143250.0
935120700,27.6,28.4,26.1200016,27.8399992,71750.0
935379900,28.0,28.6,26.8,27.5200016,93375.0
935466300,28.4,28.4,26.7200016,27.0,170750.0
935552700,29.1600008,29.1600008,29.1600008,29.1600008,1875.0
935639100,31.5200016,31.5200016,30.0,31.0799984,153875.0
935725500,31.6,33.5600008,29.6,30.2399992,68375.0
935984700,29.6,30.6,28.6399992,29.1200016,46125.0
936071100,28.5200016,29.6,28.0,29.2,21000.0
936157500,28.4,28.8,28.0399992,28.4399992,22250.0
936243900,28.8,28.8,27.6399992,27.8799984,21125.0
936330300,27.6799984,28.4,27.6,28.1200016,19375.0
936589500,28.0,28.3600008,27.6,28.0799984,15750.0
936675900,27.6799984,28.4,27.6,28.0399992,12625.0
936762300,28.2,28.2,27.4,27.5200016,9750.0
936848700,27.3600008,27.3600008,26.5200016,27.1600008,14250.0
936935100,26.4,27.2,26.4,26.9200016,4750.0
937280700,26.6399992,27.0,26.4,26.4799984,19125.0
937367100,25.8399992,26.3600008,25.52,25.6,36125.0
937453500,25.2399992,25.5600008,24.72,24.7600008,30750.0
937539900,23.6,25.9200016,23.3600008,25.32,21250.0
937799100,24.48,25.2,23.6,23.6399992,25375.0
937885500,23.32,23.52,21.7600008,22.0399992,90000.0
937971900,22.48,22.88,21.4,22.4399992,37875.0
938058300,22.6399992,22.6399992,21.6,21.8,12250.0
938144700,21.68,21.68,20.88,21.52,11500.0
938403900,22.5600008,22.5600008,20.8,21.0,6750.0
938490300,20.2399992,22.6,19.7600008,21.8,37875.0
938576700,22.0,22.72,21.52,22.4,25500.0
938663100,23.12,23.12,21.6,21.9600008,26125.0
938749500,22.2,22.2,20.8,21.52,15375.0
939008700,22.0,22.0,20.8,20.9600008,7500.0
939095100,20.2399992,21.2,20.08,21.0,68375.0
939181500,22.32,22.32,21.2,21.8,22375.0
939267900,21.2,23.5600008,21.2,23.5600008,25875.0
939354300,25.4399992,25.48,24.32,25.48,28875.0
939613500,26.7600008,26.8,25.6799984,25.9200016,79500.0
939699900,26.0799984,28.0,25.2399992,28.0,65750.0
939786300,29.4399992,29.6,27.2399992,28.8799984,62750.0
939872700,26.8,29.5600008,26.8,28.3200016,44750.0
939959100,28.5200016,28.5200016,26.0799984,26.2799984,23625.0
940218300,27.6,27.6,24.9600008,25.3600008,44875.0
940391100,26.4,27.4,26.4,27.4,12625.0
940477500,29.6,29.6,26.2,26.5200016,45375.0
940563900,26.3600008,26.8,25.28,26.2799984,25375.0
940823100,25.6799984,26.5200016,25.52,25.7600008,18875.0
940909500,24.9600008,26.8,24.9600008,25.9200016,39000.0
940995900,28.0,28.0,24.8,25.4,21750.0
941082300,26.0799984,27.4399992,25.2399992,26.2799984,116375.0
941168700,26.0,26.2,24.2,25.0399992,39875.0
941427900,24.4,25.4,23.0399992,23.0399992,39000.0
941514300,21.2,24.0,21.2,23.8,63000.0
941600700,24.12,25.5600008,23.6,24.4399992,39125.0
941687100,24.7600008,24.7600008,23.68,24.0399992,10875.0
941773500,24.48,25.2,23.6,23.92,15875.0
942119100,23.48,24.0,23.2,23.6,18125.0
942205500,23.48,24.8,23.2,24.4,18250.0
942291900,24.32,24.8,24.28,24.32,12750.0
942378300,24.12,24.4,23.6399992,24.32,4250.0
942637500,23.6,26.2399992,23.6,24.08,13625.0
942723900,24.0,26.0399992,23.9600008,26.0399992,28750.0
942810300,26.8,28.1200016,26.4,28.0399992,131125.0
942896700,27.0399992,27.7600008,25.8,26.4,58875.0
942983100,26.0,26.9600008,26.0,26.8,31500.0
943242300,26.2399992,26.7600008,24.68,24.72,79500.0
943415100,26.0,26.0,25.2,25.8399992,29250.0
943501500,25.6399992,25.8399992,25.0,25.2399992,9500.0
943587900,24.2399992,25.3600008,24.2399992,24.52,25625.0
943847100,24.48,24.5600008,23.4,23.9600008,16250.0
943933500,23.92,24.2,23.4,23.92,41000.0
944019900,23.6,23.6,23.32,23.6,48750.0
944106300,23.4,23.6,23.2,23.28,32375.0
944192700,23.6,23.6,22.6399992,23.1600008,31000.0
944451900,22.68,23.4,22.4,22.48,15500.0
944538300,22.52,23.0,22.0,22.3600008,41625.0
944624700,23.6,23.8399992,22.88,23.2,47625.0
944711100,22.4399992,23.1600008,22.2,22.8,9000.0
944797500,22.4,22.6,22.0,22.2399992,17375.0
945056700,22.1600008,22.8,21.6399992,21.8399992,9625.0
945143100,21.6399992,22.08,21.0399992,21.48,17500.0
945229500,22.28,22.32,20.4,21.4399992,11625.0
945315900,22.0,23.1600008,21.8,23.1600008,77000.0
945402300,24.8,25.0399992,23.4,25.0399992,60000.0
945661500,26.9600008,27.0399992,26.0,27.0399992,42750.0
945747900,29.2,29.2,27.1200016,29.2,81625.0
945834300,31.5600008,31.5600008,29.2,30.6799984,211375.0
