time,open,high,low,close,Volume
800509500,0.83195,0.83195,0.83195,0.83195,10637.60491
801459900,0.89541,0.89541,0.89541,0.89541,10637.60491
801719100,0.91186,0.91186,0.91186,0.91186,10637.60491
801805500,0.90246,0.90246,0.90246,0.90246,10637.60491
801978300,0.84606,0.84606,0.84606,0.84606,10637.60491
802323900,0.84606,0.88366,0.84606,0.88366,74463.23439
802410300,0.94006,1.01527,0.94006,1.01527,127651.25895
802496700,1.01527,1.05287,0.98706,1.01621,191476.88843
802583100,1.01527,1.01527,1.00587,1.00587,21275.20983
802669500,1.02467,1.02467,1.00587,1.00587,63825.62948
802928700,1.043,1.043,0.94993,0.94993,42550.41965
803274300,0.89306,0.89306,0.89306,0.89306,10637.60491
803706300,0.94006,0.94006,0.94006,0.94006,10637.60491
803792700,0.91656,0.94006,0.91656,0.94006,31912.81474
803879100,0.95886,0.95886,0.95886,0.95886,21275.20983
804138300,0.94006,0.94006,0.94006,0.94006,31912.81474
804224700,0.9222,0.94006,0.9222,0.94006,31912.81474
805002300,0.86486,0.86486,0.86486,0.86486,31912.81474
805088700,0.79952,0.79952,0.79952,0.79952,10637.60491
805347900,0.86909,0.86956,0.86909,0.86956,21275.20983
805434300,0.85546,0.86439,0.85546,0.86439,21275.20983
805520700,0.86486,0.86486,0.86486,0.86486,10637.60491
805607100,0.86486,0.86486,0.86486,0.86486,95738.44421
807335100,0.94053,0.94053,0.94006,0.94006,21275.20983
807421500,0.94006,0.94006,0.94006,0.94006,21275.20983
807507900,0.95886,0.95886,0.95886,0.95886,21275.20983
807767100,0.89306,0.89306,0.89306,0.89306,10637.60491
807853500,0.90293,0.90293,0.88366,0.88366,53188.02456
808371900,0.94006,0.94006,0.94006,0.94006,10637.60491
808544700,0.94006,0.94006,0.94006,0.94006,10637.60491
808976700,0.84606,0.84606,0.84606,0.84606,10637.60491
809235900,0.93066,0.93066,0.93066,0.93066,10637.60491
809322300,0.93066,0.94006,0.93066,0.94006,53188.02456
809581500,0.93066,0.94006,0.93066,0.94006,21275.20983
809754300,0.94006,0.94006,0.94006,0.94006,10637.60491
809840700,0.94006,0.94006,0.93066,0.93066,138288.86386
809927100,0.93066,0.98706,0.93066,0.98706,127651.25895
810186300,0.94006,0.98706,0.94006,0.98706,31912.81474
810272700,0.98706,0.98706,0.97766,0.98001,31912.81474
810359100,0.88601,0.93536,0.88601,0.93536,21275.20983
810445500,0.96826,0.96826,0.96826,0.96826,10637.60491
811050300,0.94006,0.94476,0.94006,0.94006,63825.62948
811136700,0.94006,0.94946,0.94006,0.94946,74463.23439
