time,open,high,low,close,Volume
915162300,7.0400002,7.0400002,6.8,6.8050003,60000
915421500,6.95,7.05,6.8,6.8,55000
915507900,6.825,6.825,6.55,6.6,127500
915594300,6.975,7.1300003,6.8599998,7.1300003,108500
915680700,7.3900002,7.6449997,7.0,7.2,123500
915767100,7.4900002,7.7800003,7.475,7.7800003,202500
916026300,8.3449997,8.4050003,8.0,8.4050003,179500
916112700,8.0099998,8.2,8.0,8.0,389500
916199100,8.15,8.5,8.1,8.1050003,131000
916285500,7.9,7.9,7.4900002,7.4900002,60500
916371900,7.55,7.9699997,7.0,7.0,58500
916631100,7.1,7.2949997,6.8,7.1900002,40000
916717500,6.8,7.4,6.8,6.9,126000
916890300,7.1,7.15,6.7,7.05,47500
916976700,7.1,7.35,6.9150002,6.9150002,45500
917235900,6.5,7.4699997,6.5,7.4699997,47500
917408700,7.975,8.0599998,7.6900002,7.7050003,176500
917495100,7.75,7.8,7.3,7.3800003,68000
917581500,7.3,7.3,6.9,6.9,205000
917840700,7.25,7.3,6.8099998,6.8099998,84500
917927100,6.8,6.8,6.275,6.3900002,160500
918013500,6.8,6.8,6.3950001,6.5,109500
918099900,6.5,6.85,6.5,6.5,162000
918186300,6.5099998,6.55,6.45,6.45,24500
918445500,6.7,6.7099998,6.4099998,6.5,131000
918531900,6.1049999,6.4800003,6.1049999,6.4,131500
918618300,6.7,6.9,6.5949997,6.5949997,120500
918704700,6.7,7.125,6.4199997,7.0800003,1072500
918791100,7.1,7.65,7.1,7.5849998,1100000
919050300,7.8099998,8.0949997,7.2050003,7.2050003,1415500
919136700,7.2,7.7849998,7.1,7.7849998,876000
919223100,8.3949997,8.3949997,7.6,8.0550003,948500
919309500,8.1349998,8.3900002,7.6599998,7.6599998,947000
919395900,7.7800003,7.8,7.45,7.525,1083500
919655100,7.6,7.6099998,7.1099998,7.1099998,476000
919741500,6.9099998,7.2300003,6.9099998,7.075,811000
919827900,7.15,7.3,6.7,7.2400002,748000
919914300,7.0,7.2199997,6.9699997,6.9699997,96500
920000700,6.85,6.9800003,6.8099998,6.8449997,229000
920259900,7.2849998,7.2849998,6.9599998,7.1,447000
920432700,7.3900002,7.45,7.05,7.2,267500
920519100,7.375,7.4349998,7.15,7.15,232500
920605500,7.2,7.25,7.15,7.175,128000
920864700,7.175,7.7400002,7.15,7.7,454500
920951100,7.65,7.95,7.5099998,7.7650002,269500
921037500,8.0,8.3900002,7.7300003,8.3900002,486500
921123900,8.6050003,8.75,7.85,7.9949997,400500
921210300,8.1449997,8.1449997,7.7,7.7,194500
921469500,7.65,8.3199997,7.65,8.3199997,251000
921555900,8.6400002,8.8,8.15,8.4050003,541500
921642300,8.8,9.075,8.3,8.4,243500
921728700,7.95,8.4900002,7.95,8.4900002,107500
921815100,8.5050003,8.6449997,8.0650002,8.0650002,87000
922074300,8.0150002,8.3900002,7.9949997,8.3900002,158500
922160700,8.35,8.4,8.1099998,8.2099998,238000
922247100,8.7,8.7,7.925,8.0,152500
922333500,8.2449997,8.2449997,7.9349998,8.0150002,23500
922419900,8.1050003,8.1050003,7.7,7.95,107000
922765500,7.9,7.925,7.325,7.8,124500
922851900,8.1699997,8.2,7.8050003,7.8050003,189000
922938300,7.8099998,8.0599998,7.7,7.9,88000
923283900,7.2699997,7.7900002,7.2699997,7.45,71000
923370300,7.4,7.4,7.0099998,7.2599998,150000
923456700,7.4800003,7.7099998,7.4800003,7.65,90500
923543100,7.6949997,7.75,7.6,7.7349998,45500
923629500,7.6,7.6550003,7.1199997,7.1199997,90000
923888700,6.85,7.35,6.85,7.2,34500
923975100,7.0,7.0800003,6.9849998,7.0,39000
924147900,6.825,6.925,6.65,6.675,26500
924234300,6.3650002,7.2099998,6.3650002,7.2099998,27500
924493500,6.7550003,7.5599998,6.7150002,7.5,35000
924579900,7.5900002,7.5900002,7.2,7.4,39500
924666300,7.225,7.45,7.2,7.2,10000
924752700,7.1300003,7.1300003,6.8099998,6.8099998,5000
924839100,6.9,6.9,6.55,6.6949997,13500
