time,open,high,low,close,Volume
915162300,87.559998,87.625,87.2,87.35,28000
915421500,87.5,88.5,87.225,87.445001,54000
915507900,87.2,88.495001,86.7,87.304999,80000
915594300,88.2,89.0,87.4,87.4,87000
915680700,87.509998,89.790002,87.5,88.2,104000
915767100,90.0,95.259998,90.0,95.259998,207000
916026300,98.770001,102.885,98.0,102.885,325000
916112700,100.095,102.0,97.1,98.375,133000
916199100,98.109998,98.9,96.5,96.5,85000
916285500,96.195001,96.9,94.3,95.0,67000
916371900,91.5,95.85,91.5,94.295001,60000
916631100,94.5,98.5,92.3,98.15,733000
916717500,98.5,98.6,95.809998,97.0,90000
916890300,97.5,104.76,97.5,104.76,449000
916976700,106.7,112.5,106.5,110.3,212000
917235900,106.5,117.0,106.5,113.5,234000
917408700,115.9,115.9,111.61,112.5,129000
917495100,108.515,113.5,108.515,110.485,77000
917581500,109.1,110.3,108.8,109.6,138000
917840700,109.0,114.25,109.0,111.0,117000
917927100,112.0,112.49,109.6,112.45,65000
918013500,112.5,114.0,111.81,112.05,92000
918099900,113.65,113.65,111.0,111.5,58000
918186300,111.9,111.9,110.0,110.8,27000
918445500,112.4,114.0,111.3,112.55,36000
918531900,113.475,113.9,112.1,112.1,85000
918618300,114.395,118.6,113.9,118.2,298000
918704700,120.7,123.185,117.605,120.2,259000
918791100,121.3,121.5,120.6,120.75,47000
919050300,120.5,120.5,116.22,118.5,97000
919136700,118.48,119.1,117.615,117.8,88000
919223100,118.0,118.0,116.1,116.1,33000
919309500,115.5,117.29,115.0,115.0,52000
919395900,115.0,116.0,113.03,115.0,26000
919655100,114.0,114.5,113.1,113.1,34000
919741500,112.5,113.895,109.0,113.895,65000
919827900,112.05,113.5,111.5,113.0,28000
919914300,112.5,112.5,111.275,111.275,2000
920000700,110.0,111.6,110.0,110.0,13000
920259900,119.11,124.0,118.5,121.1,75000
920432700,127.5,128.495,123.5,124.2,163000
920519100,123.01,123.6,119.8,120.38,32000
920605500,119.5,120.79,118.0,119.0,36000
920864700,123.0,124.8,116.8,117.6,53000
920951100,115.6,118.4,115.0,118.4,98000
921037500,119.5,119.5,117.4,117.78,53000
921123900,118.5,123.6,117.5,117.9,215000
921210300,117.1,118.39,115.6,115.7,34000
921469500,116.11,117.885,115.2,115.2,42000
921555900,108.1,117.5,108.1,117.5,144000
921642300,117.75,126.9,117.21,126.74,175000
921728700,127.0,135.4,127.0,134.2,194000
921815100,134.49,134.6,125.0,127.2,107000
922074300,127.9,128.0,118.535,125.9,64000
922160700,127.5,129.6,125.0,128.5,155000
922247100,130.35,132.5,126.5,127.95,78000
922333500,126.0,130.0,125.2,129.0,55000
922419900,128.65,128.65,125.8,126.025,48000
922765500,127.0,135.8,126.0,135.105,92000
922851900,143.87,145.915,140.0,145.915,340000
922938300,146.205,153.8,140.6,149.6,214000
923283900,147.5,150.005,141.1,144.805,96000
923370300,144.5,145.495,142.4,144.025,90000
923456700,145.875,148.0,141.5,141.6,75000
923543100,141.6,141.6,130.53,131.0,171000
923629500,129.0,136.1,128.5,135.0,245000
923888700,137.0,143.49,131.255,140.525,121000
923975100,135.2,144.5,135.2,144.5,162000
924147900,134.6,143.0,133.2,142.3,216000
924234300,140.925,153.65,140.005,153.65,160000
924493500,141.0,150.795,141.0,149.9,51000
924579900,150.5,154.5,149.8,154.0,74000
924666300,153.5,165.0,153.4,159.2,334000
924752700,160.0,161.585,153.01,156.0,242000
924839100,153.2,158.8,153.0,154.4,124000
925098300,144.0,148.8,142.05,142.05,156000
925271100,137.5,143.0,134.0,143.0,290000
925357500,143.2,146.6,142.1,145.3,139000
925443900,149.47,150.7,147.0,149.7,65000
925703100,149.1,151.4,148.0,149.325,158000
925789500,150.0,157.8,150.0,155.75,203000
925875900,155.0,155.0,153.0,153.0,123000
925962300,152.03,152.9,141.1,144.0,317000
926048700,146.5,148.0,142.01,143.0,130000
926307900,144.0,144.4,141.5,143.6,61000
926394300,142.5,142.5,136.31,136.32,73000
926480700,140.0,143.5,137.5,138.525,115000
926567100,140.0,144.0,139.8,141.0,181000
926653500,142.1,142.87,138.8,139.0,349000
926912700,137.5,138.2,131.16,134.5,67000
926999100,135.5,135.5,132.1,133.5,118000
927085500,135.0,135.0,131.0,133.59,449000
927171900,134.8,144.28,134.5,140.5,416000
927258300,143.9,151.74,140.3,144.1,447000
927517500,145.9,145.9,135.5,141.5,260000
927603900,141.5,141.5,136.0,136.0,257000
927690300,145.0,145.0,130.0,133.0,503870
927776700,132.0,134.5,127.5,131.5,287070
927863100,130.6,134.0,128.0,132.78,253820
928122300,133.0,136.5,133.0,134.5,138360
928208700,134.5,135.0,128.73,129.2,180510
928295100,130.6,131.8,128.0,130.5,83720
