time,open,high,low,close,Volume
943415100,6.72901422,6.72901422,6.72901422,6.72901422,7259.60718994
943501500,7.26761057,7.26761057,7.26761057,7.26761057,32668.2323547
943587900,7.84890925,7.84890925,7.61886925,7.84890925,1038123.82816052
943847100,8.45775789,8.47704296,8.16848604,8.47704296,4029081.99041322
943933500,8.91783816,9.15614306,8.59826164,9.15614306,1622522.2069502
944019900,9.88896508,9.88896508,9.34623572,9.88896508,2976438.94787284
944106300,10.19338899,10.33113749,9.24292434,9.32557344,2283146.46123416
944192700,9.53219619,9.69749439,9.09140099,9.55974589,1343027.33013774
944451900,9.25669919,9.63963975,8.79524172,8.882023,1883868.0657878
944538300,8.65060579,9.56663332,8.26490999,8.97431477,3560837.3266625
944624700,9.36689799,9.69336221,8.82967884,9.34348047,3379347.14691416
944711100,9.06660653,10.09145483,9.06660653,10.09145483,2018170.79880158
944797500,10.74438299,10.89866159,10.27603809,10.89866159,2290406.0684241
945056700,11.65352309,11.77060932,10.79948239,11.47582725,4090788.65152766
945143100,11.18517819,11.46067519,10.55842251,10.67137656,3121631.0916715
945229500,10.60663449,10.60663449,9.81871279,9.89309754,1713267.29682436
945315900,9.72504409,10.68515141,9.6988716,10.68515141,1430142.61641694
945402300,10.93034347,11.29537699,10.74438299,10.8835087,1531777.11707602
945661500,10.82703209,10.96478059,10.01293873,10.22369394,1782233.56512874
945747900,10.11073989,10.15895187,9.50464649,9.69198418,2058098.63834622
945834300,10.33113749,10.46750878,10.30358779,10.46750878,1150647.7396045
945920700,10.4702632,11.30501966,10.46888599,11.30501966,1502738.68831628
946007100,11.04742969,11.35047639,10.40689917,10.51572076,1019974.8101857
946266300,9.94544169,10.46888599,9.67545491,9.67958736,762258.75494304
946352700,9.72228885,10.18787878,9.39444769,9.93028963,1513628.09910118
946439100,10.30221058,10.72509793,10.11073989,10.72509793,1303099.4905931
946525500,11.57087399,11.58327163,11.17140334,11.58327163,853003.84481722
946871100,12.39736499,12.51031904,12.39736499,12.51031904,417427.4134212
946957500,13.49935299,13.5007302,11.87392069,13.37813458,2577160.55242648
947043900,12.42491469,13.88504879,12.34226559,12.71969675,3212376.18154568
947130300,13.60955179,13.60955179,11.70862249,12.18936503,1970983.352067
947216700,11.43312549,11.98411949,11.2141051,11.2141051,569879.1644098
947475900,11.98411949,11.98411949,10.32838225,10.38623689,1578964.56381058
947562300,10.71683329,10.74438299,9.55699065,9.60244765,1535406.92067098
947648700,9.91789199,10.27603809,9.27185125,9.63826281,969157.55985616
947735100,9.86141538,9.91789199,9.31179859,9.45230234,537210.9320551
947821500,9.39444769,9.39444769,8.98120219,9.22639425,362980.35949668
948080700,9.36689799,9.72504409,9.16165245,9.35450035,798556.79089272
948167100,9.2580764,9.2580764,8.62305609,9.05283169,834854.82684238
948253500,9.14650039,9.77738825,9.09140099,9.77738825,337571.73433192
948339900,10.30358779,10.55979973,9.72779934,9.8738122,903821.09514676
948426300,9.91651478,10.44133629,9.78014349,10.28843573,860263.45200714
948685500,10.30358779,10.33113749,9.46607719,9.46607719,802186.59448768
948771900,8.76080459,9.3503679,8.76080459,9.24843456,1027234.41737562
948944700,9.69749439,9.97299139,9.55974589,9.69473915,1698748.0824445
949031100,9.66994469,9.97299139,9.36689799,9.8641698,689662.6830437
949290300,9.66994469,9.66994469,9.07624893,9.07624893,533581.12846012
949376700,9.09140099,9.25669919,8.78835429,9.08175832,1074421.8641102
949463100,9.72504409,9.80769319,9.27322928,9.47709679,976417.16704608
949549500,9.50464649,9.50740174,8.95365249,9.13961297,689662.6830437
949635900,9.29251352,9.75259379,9.22914949,9.49362689,1074421.8641102
949895100,9.36689799,9.50051431,8.95365249,9.28838107,1143388.13241456
949981500,9.25669919,9.36689799,8.70570519,8.85034112,1197835.18633906
950067900,9.20159979,9.43439503,9.0376788,9.19884454,1241392.82947866
950154300,9.09140099,9.14650039,9.03630159,9.0748709,235937.23367284
950240700,9.09140099,9.11619545,8.651983,8.93436743,410167.80623126
950499900,8.70570519,8.81590399,8.2208302,8.2208302,471874.4673457
950586300,7.98941299,8.18226089,7.56514789,7.60233999,1103460.29286992
950672700,7.71391599,8.2111878,7.71391599,8.2111878,965527.75626118
950759100,8.67677828,8.86824815,8.29245969,8.86824815,435576.43139602
950845500,9.57765292,9.57765292,9.09140099,9.34210353,1012715.20299576
951104700,9.49087164,9.49087164,8.59550639,8.64509558,871152.86279204
951191100,8.48393038,8.48393038,7.96186329,8.03349279,1872978.6550029
951277500,8.26490999,8.67677828,8.05415506,8.1877711,1520887.70629112
951363900,8.36133394,8.74702974,7.86130716,8.34480384,925599.91671656
951450300,8.26490999,8.26490999,7.74697591,7.84890925,283124.68040742
951709500,7.98941299,7.98941299,7.22490882,7.40535907,540840.73565006
951795900,6.8323256,7.71391599,6.8323256,7.04996795,1117979.5072498
951882300,7.2180214,7.61473679,7.1078226,7.61473679,457355.25296582
951968700,8.20981059,8.22496265,7.85166449,8.22496265,1016345.00659072
952055100,8.32000939,8.32000939,7.57616749,7.57616749,460985.0565608
952314300,7.68636629,7.96186329,6.9700741,7.17945209,562619.55721986
952400700,7.3282202,7.3282202,6.60504057,7.09955796,1150647.7396045
952487100,7.19047169,7.66570402,7.19047169,7.59958502,776777.96932292
952573500,8.09961179,8.09961179,7.03894834,7.14914715,362980.35949668
952659900,6.887425,6.98384894,6.8047759,6.87365014,250456.44805272
952919100,6.48106692,6.50999411,6.32403363,6.32403363,239567.03726782
953005500,5.92594074,6.1435831,5.81849664,5.97690741,983676.77423602
953091900,5.84742382,6.4466298,5.49892039,6.41770261,722330.9153984
953178300,6.1160334,6.1986825,5.90527847,5.90527847,2787689.16093456
953610300,5.92043025,5.92043025,5.43280084,5.44933066,689662.6830437
953696700,5.75513205,5.88461619,5.6752382,5.81023145,373869.77028158
953783100,5.99756969,6.00307935,5.3721915,5.51269524,1070792.06051522
953869500,5.3997412,5.55815197,5.3721915,5.5374897,137932.53660874
954128700,5.3721915,5.4823903,5.2068933,5.39836371,656994.450689
954215100,5.70003265,5.70003265,5.19311845,5.45759584,399278.39544636
954301500,5.5374897,5.7303376,5.51269524,5.6476885,315792.91276212
954387900,5.5374897,5.60636394,5.2702576,5.34877398,250456.44805272
954474300,5.1242442,5.4548406,5.08291965,5.33224443,294014.09119232
954733500,5.4272909,5.4272909,4.90797878,4.95205857,177860.37615338
954819900,4.65452181,4.65452181,4.5567201,4.5567201,119783.5186339
954906300,4.2977532,4.40519675,4.19306434,4.20270673,508172.50329536
954992700,4.1049053,4.43550169,3.86660066,4.28948829,635215.6291192
955079100,4.53192565,4.63385954,4.53192565,4.63385954,341201.53792688
955338300,4.9424159,5.00578049,4.9424159,5.00578049,431946.62780106
955424700,4.76609809,5.09256232,4.6558993,4.94654863,722330.9153984
955511100,4.79640304,4.79640304,4.55809786,4.60906481,446465.84218092
955597500,4.2977532,4.59391247,4.2977532,4.59391247,134302.73301378
955943100,4.22750146,4.22750146,4.22750146,4.22750146,119783.5186339
956029500,3.89001763,3.96715679,3.89001763,3.89001763,620696.41473934
956115900,3.7192095,3.7467592,3.57870575,3.57870575,250456.44805272
956202300,3.29356663,3.29356663,3.29356663,3.29356663,10889.4107849
956547900,3.03046699,3.03046699,3.03046699,3.03046699,21778.8215698
956634300,2.78802964,2.78802964,2.78802964,2.78802964,68966.26830438
956720700,2.78251969,3.0111822,2.5896718,2.74946014,1764084.5471539
956807100,2.61722149,2.75497,2.53043989,2.53043989,533581.12846012
956893500,2.56074453,2.56074453,2.32794965,2.32794965,442836.03858596
957239100,2.1488766,2.1488766,2.14198918,2.14198918,141562.3402037
957325500,1.97118112,2.00010817,1.97118112,1.97531341,696922.29023364
957411900,1.9009293,2.13372418,1.8733796,2.13372418,1259541.8474535
957498300,2.25632048,2.30453246,2.25494289,2.30453246,94374.89346914
957757500,2.47671809,2.48911534,2.3692742,2.46569815,751369.34415814
957843900,2.4243736,2.479473,2.27698276,2.45605581,791297.18370278
957930300,2.55798959,2.65303619,2.46018829,2.48773799,671513.66506888
958016700,2.31692972,2.3968239,2.29626744,2.35687692,261345.85883762
958103100,2.43814845,2.54559234,2.43814845,2.54559234,424687.02061112
958362300,2.6723209,2.6723209,2.34723436,2.479473,377499.57387656
958448700,2.46569815,2.58829423,2.46569815,2.54145982,359350.55590172
