time,open,high,low,close,Volume
915162300,2.97,2.98,2.97,2.98,1500
915421500,2.99,3.0,2.99,2.99,4500
915507900,3.0,3.0,2.97,2.98,14500
915594300,3.05,3.07,3.0,3.0,13000
915680700,3.01,3.02,2.98,3.02,28000
915767100,3.35,3.35,3.04,3.06,11500
916026300,3.3900002,3.3900002,3.07,3.11,15500
916112700,3.08,3.08,3.04,3.04,6500
916199100,3.0,3.1,3.0,3.06,3000
916285500,3.05,3.1,3.01,3.1,4500
916371900,3.0,3.06,3.0,3.06,13000
916631100,3.06,3.1,3.06,3.06,2000
916717500,3.06,3.06,3.03,3.03,1500
916890300,3.0,3.02,3.0,3.02,3500
916976700,3.04,3.07,3.04,3.04,7000
917235900,2.95,2.99,2.94,2.94,16000
917408700,2.96,3.05,2.96,3.05,6500
917495100,2.88,3.12,2.88,3.09,11000
917581500,2.88,3.04,2.88,3.04,9000
917840700,2.96,3.1,2.96,2.97,21000
917927100,3.0,3.05,3.0,3.05,10500
918013500,3.05,3.08,3.03,3.08,5500
918099900,3.3,3.3,3.06,3.06,1500
918186300,3.1,3.1,3.05,3.08,6500
918445500,3.03,3.03,3.0,3.0,1500
918531900,3.0,3.03,2.96,3.03,18000
918618300,3.0,3.03,2.96,2.96,13000
918704700,3.03,3.03,3.0,3.0,31500
918791100,3.07,3.07,3.0,3.0,97000
919050300,3.06,3.06,2.8,2.93,60000
919136700,2.9,2.9,2.8,2.8,129500
919223100,2.9,2.97,2.75,2.97,26500
919309500,3.2,3.2,2.7,2.71,133500
919395900,2.8,2.85,2.7,2.7,139500
919655100,2.9,2.91,2.6,2.6,256500
919741500,2.65,2.67,2.6,2.64,283000
919827900,2.8,2.8,2.69,2.69,10500
919914300,2.7,2.71,2.58,2.6,194500
920000700,2.62,2.62,2.58,2.6,302000
920259900,3.8,3.85,3.25,3.5,906500
920432700,3.78,4.38,3.65,4.23,880500
920519100,4.28,4.28,3.9,3.9,308000
920605500,3.73,3.8,3.3,3.35,363000
920864700,3.48,3.52,3.0,3.1,345500
920951100,3.01,3.2,2.75,2.86,834500
921037500,2.95,3.06,2.9,2.99,63000
921123900,3.2,3.2,2.8,2.84,218500
921210300,2.75,2.8,2.55,2.6,932500
921469500,2.79,2.85,2.68,2.75,256000
921555900,2.8,2.8,2.55,2.62,1031500
921642300,2.7,2.77,2.66,2.77,151500
921728700,2.63,2.8,2.63,2.78,72500
921815100,2.82,2.84,2.75,2.8,78000
922074300,2.89,2.9,2.76,2.89,221500
922160700,2.74,2.82,2.73,2.82,443500
922247100,2.84,2.92,2.76,2.86,169000
922333500,2.8,2.9,2.8,2.9,64000
922419900,2.93,2.95,2.8,2.92,76000
922765500,2.81,2.9,2.81,2.85,128000
922851900,2.91,2.96,2.9,2.92,59000
922938300,3.18,3.18,2.88,2.95,45000
923283900,2.88,2.94,2.83,2.83,78000
923370300,2.8,2.9,2.76,2.85,71500
