time,open,high,low,close,Volume
783834300,126.99204,126.99204,126.99204,126.99204,330.6
784352700,111.11804,111.11804,111.11804,111.11804,109.9245
784525500,108.85032,113.38575,108.85032,113.38575,109.9245
784784700,113.38575,113.38575,113.38575,113.38575,54.549
785562300,110.66449,110.66449,110.66449,110.66449,54.549
786167100,102.50072,102.50072,102.50072,102.50072,54.549
786253500,110.66449,110.66449,110.66449,110.66449,54.549
786339900,109.75741,109.75741,108.85032,108.85032,219.849
786858300,102.50072,102.50072,97.51175,97.51175,109.9245
787290300,95.24403,95.24403,95.24403,95.24403,109.9245
787463100,95.24403,95.24403,95.24403,95.24403,219.849
787549500,92.88561,93.42986,92.88561,93.20309,1433.151
787808700,94.79049,94.79049,94.79049,94.79049,219.849
787895100,97.51175,97.51175,97.51175,97.51175,219.849
787981500,103.4078,104.31489,103.4078,104.31489,165.3
788067900,104.26954,104.26954,104.26954,104.26954,109.9245
788154300,104.31489,104.31489,104.31489,104.31489,54.549
788759100,104.31489,104.31489,104.31489,104.31489,54.549
789018300,104.31489,104.31489,104.31489,104.31489,54.549
789104700,98.87237,98.87237,97.96529,97.96529,109.9245
789191100,98.87237,98.87237,98.87237,98.87237,109.9245
789709500,90.61789,90.61789,90.61789,90.61789,109.9245
789795900,80.73065,80.73065,80.73065,80.73065,54.549
789968700,89.80151,89.80151,89.80151,89.80151,771.1245
790227900,91.61569,91.61569,91.61569,91.61569,109.9245
790314300,95.24403,95.24403,94.33694,94.33694,2645.6265
790400700,90.7086,95.24403,90.7086,95.24403,165.3
790487100,91.61569,91.61569,91.61569,91.61569,54.549
790573500,95.24403,95.24403,94.33694,94.33694,385.149
790832700,92.97632,92.97632,92.97632,92.97632,385.149
790919100,93.8834,97.96529,93.8834,97.96529,771.1245
791005500,95.01726,95.24403,94.11017,95.24403,219.849
791178300,106.12906,106.12906,106.12906,106.12906,881.8755
791523900,99.77946,106.12906,99.77946,106.12906,275.2245
791610300,106.12906,108.85032,106.12906,108.17001,881.8755
791696700,107.48969,107.48969,107.48969,107.48969,27560.469
791783100,107.48969,107.94323,107.48969,107.94323,11023.857
792042300,106.12906,106.12906,99.77946,104.76843,330.6
792128700,103.18103,103.18103,103.18103,103.18103,54.549
792215100,103.4078,104.76843,102.04718,103.4078,5842.5285
792647100,106.12906,106.12906,106.12906,106.12906,109.9245
792906300,96.15112,96.15112,96.15112,96.15112,109.9245
792992700,87.08026,87.08026,87.08026,87.08026,54.549
793251900,87.12561,87.12561,82.81695,82.81695,605.8245
793424700,81.63774,81.63774,81.63774,81.63774,109.9245
793511100,85.26608,88.89443,85.03931,88.89443,826.5
793597500,89.34797,91.61569,89.34797,91.61569,275.2245
793943100,104.31489,104.31489,101.59363,101.59363,165.3
794029500,104.31489,104.31489,102.04718,102.04718,495.9
794115900,99.77946,99.77946,99.77946,99.77946,1101.7245
794202300,94.33694,94.33694,92.97632,92.97632,1377.7755
794461500,93.42986,93.42986,93.42986,93.42986,109.9245
794547900,93.42986,93.42986,92.52277,93.42986,881.8755
794634300,93.42986,93.42986,93.42986,93.42986,165.3
794807100,97.0582,97.0582,97.0582,97.0582,109.9245
795066300,89.80151,90.7086,89.80151,90.7086,330.6
795152700,90.7086,90.7086,90.7086,90.7086,54.549
795239100,95.24403,95.4708,95.24403,95.4708,11133.7815
795757500,90.7086,90.7086,90.7086,90.7086,54.549
796016700,86.17317,90.7086,85.26608,87.98734,716.5755
796275900,87.08026,87.17096,87.08026,87.12561,219.849
796362300,89.80151,89.80151,83.45191,83.45191,550.449
796535100,87.08026,87.08026,87.08026,87.08026,109.9245
796621500,88.89443,90.25506,88.89443,89.34797,550.449
796880700,85.26608,85.26608,85.26608,85.26608,385.149
796967100,88.89443,88.89443,87.98734,87.98734,109.9245
797053500,89.80151,90.7086,88.89443,89.80151,5566.4775
797139900,92.52277,92.52277,92.52277,92.52277,330.6
797226300,92.52277,92.52277,86.17317,86.17317,1212.4755
797485500,90.7086,90.7086,86.21852,86.39994,495.9
797571900,87.98734,87.98734,85.26608,86.17317,605.8245
797658300,84.81254,84.81254,83.49727,84.81254,495.9
798090300,79.82357,82.09128,79.82357,81.63774,1929.051
798176700,82.54483,83.45191,79.37003,80.45853,2094.351
798263100,82.54483,82.54483,77.10231,81.63774,1763.751
798349500,78.91648,78.91648,77.10231,77.10231,1487.7
798435900,78.0094,78.0094,77.10231,77.10231,2700.1755
798695100,79.37003,79.37003,74.8346,74.8346,936.4245
798781500,75.06137,75.06137,72.61223,72.61223,1598.451
798867900,73.47397,73.47397,71.65979,72.56688,9149.355
798954300,72.56688,72.56688,71.65979,71.65979,4299.453
799040700,73.47397,73.47397,67.94074,68.03145,6173.1285
799386300,68.03145,68.03145,63.49602,63.49602,5346.6285
799472700,63.49602,63.49602,59.86768,60.86547,9370.0305
799559100,62.58893,66.67082,60.00374,66.67082,13834.7835
799645500,68.93854,69.84562,68.03145,68.66641,2590.251
799904700,62.58893,70.75271,61.22831,70.75271,771.1245
799991100,72.56688,74.8346,72.56688,74.60782,1433.151
800077500,72.79365,74.60782,72.79365,73.47397,661.2
800250300,72.56688,74.38105,72.56688,73.47397,2534.8755
800509500,72.56688,73.47397,72.56688,73.47397,716.5755
800595900,73.02042,77.10231,72.56688,77.10231,1322.4
800682300,75.28814,75.28814,74.38105,74.60782,991.8
800768700,76.19522,77.0116,73.47397,73.65538,12181.7835
800855100,73.51932,74.15428,73.51932,74.15428,219.849
801114300,74.38105,74.38105,74.38105,74.38105,109.9245
801200700,72.56688,72.56688,71.65979,71.88657,5842.5285
801287100,72.34011,72.34011,70.97948,71.43302,3582.8775
801373500,72.34011,74.38105,72.34011,73.38326,2590.251
801459900,73.70074,77.10231,73.70074,76.14987,605.8245
801719100,72.56688,72.56688,70.75271,72.56688,330.6
801805500,74.38105,74.38105,72.56688,73.47397,881.8755
801891900,76.19522,76.19522,76.19522,76.19522,219.849
801978300,74.38105,75.28814,74.38105,74.38105,550.449
802064700,72.56688,72.56688,72.56688,72.56688,109.9245
802323900,74.38105,74.38105,73.47397,73.47397,330.6
802410300,76.19522,76.19522,72.56688,72.56688,330.6
802496700,70.29917,70.29917,70.29917,70.29917,109.9245
802583100,68.03145,69.84562,68.03145,68.03145,3968.0265
802669500,68.62106,68.62106,67.12436,67.12436,3362.202
802928700,67.57791,67.57791,67.57791,67.57791,3306.8265
803015100,68.03145,68.93854,67.12436,67.12436,219.849
803101500,68.93854,68.93854,68.93854,68.93854,219.849
803187900,65.31019,68.03145,65.31019,68.03145,440.5245
803274300,66.26263,67.57791,66.26263,67.57791,330.6
803533500,67.94074,68.03145,67.94074,68.03145,219.849
803619900,67.12436,68.48499,65.31019,68.48499,881.8755
803706300,65.76374,67.39649,65.31019,67.35114,385.149
803792700,66.67082,66.67082,66.67082,66.67082,54.549
803879100,67.12436,67.12436,66.62547,66.67082,1322.4
804138300,67.57791,67.57791,67.57791,67.57791,165.3
804224700,66.21728,66.21728,66.21728,66.21728,165.3
