time,open,high,low,close,Volume
915162300,1.00927664,1.0212919,1.00326917,1.0212919,21639.25898392
915421500,0.99726151,1.0272995,0.99726151,1.00026531,28297.49251743
915507900,1.00927664,1.00927664,0.96421965,0.96421965,59924.10180161
915594300,0.96722351,0.99125391,0.96722351,0.98524631,4993.67515013
915680700,1.00326917,1.0573375,1.00326917,1.0513299,68246.8937185
915767100,1.0513299,1.0813679,1.03931464,1.0813679,76569.68563539
916026300,1.0813679,1.09338316,1.0573375,1.0573375,59924.10180161
916112700,1.03330716,1.0723565,1.0303033,1.0723565,39949.40120107
916199100,1.0813679,1.1053983,1.0212919,1.0212919,9987.35030027
916285500,1.0212919,1.0813679,1.0212919,1.0513299,29962.05090081
916371900,1.0212919,1.0212919,1.0152843,1.0152843,11651.90868365
916631100,1.0423185,1.0513299,1.0212919,1.02429564,18310.14221716
916717500,1.0272995,1.0272995,0.97923865,1.0152843,63253.21856837
916890300,1.0212919,1.0363109,0.98224251,1.00627291,19974.70060054
916976700,0.98524631,1.0212919,0.98224251,0.99425765,33291.16766756
917235900,0.99125391,0.99125391,0.94619691,0.94619691,63253.21856837
917408700,1.0152843,1.0152843,0.96121591,1.0152843,29962.05090081
917495100,0.99125391,0.99125391,0.99125391,0.99125391,11651.90868365
917581500,1.0122805,1.0122805,0.99125391,0.99125391,31626.60928418
917840700,0.99125391,0.99125391,0.96121591,0.96121591,51601.30988472
917927100,1.0212919,1.0212919,0.96121591,0.98524631,58259.54341823
918013500,0.94619691,1.00026531,0.94619691,0.99726151,9987.35030027
918099900,0.99125391,1.0152843,0.99125391,1.0152843,3329.11676676
918186300,0.99125391,0.99125391,0.96421965,0.96421965,24968.37575067
918445500,0.96722351,0.96722351,0.91916271,0.96121591,11651.90868365
918531900,0.96121591,0.96121591,0.90113991,0.91916271,209734.35630564
918618300,0.96121591,0.96121591,0.95520831,0.96121591,29962.05090081
918704700,0.98224251,0.98524631,0.94619691,0.96121591,18310.14221716
918791100,0.96121591,0.96121591,0.95821211,0.95821211,18310.14221716
919050300,0.96121591,1.00627291,0.96121591,0.97022731,24968.37575067
919136700,0.93718551,0.99125391,0.87110192,0.93718551,154803.92965416
919223100,0.79300313,0.94619691,0.79300313,0.94619691,19974.70060054
919309500,0.96121591,0.99125391,0.96121591,0.96121591,26632.93413405
919395900,0.94619691,0.94619691,0.94619691,0.94619691,16645.58383378
919655100,0.99125391,0.99125391,0.95520831,0.95520831,18310.14221716
919741500,0.90113991,0.93117791,0.90113991,0.91916271,33291.16766756
919827900,0.90414371,0.94319311,0.90414371,0.94319311,3329.11676676
919914300,0.93718551,0.94319311,0.93117791,0.94319311,16645.58383378
920000700,0.90113991,0.94319311,0.90113991,0.93117791,18310.14221716
920259900,0.93117791,0.93117791,0.88612092,0.88612092,71576.01048526
920432700,0.95520831,1.0813679,0.95520831,1.03931464,419468.71261128
920519100,1.0963869,1.0963869,0.96121591,1.03330716,61588.66018499
920605500,1.0753603,1.0753603,1.00627291,1.04832616,73240.56886864
920864700,1.04832616,1.0513299,0.97923865,1.01828816,69911.45210188
920951100,1.0873755,1.0873755,0.98524631,1.06334516,236367.29043969
921037500,1.01828816,1.0513299,1.01828816,1.0212919,31626.60928418
921123900,1.0363109,1.0813679,1.0212919,1.0813679,79898.80240215
921210300,1.0753603,1.0813679,1.0663489,1.0813679,156468.48803754
921469500,1.0212919,1.0813679,1.0212919,1.0212919,181436.86378821
921555900,1.00026531,1.0813679,1.00026531,1.0663489,251348.31589009
921642300,1.07836416,1.0813679,1.0272995,1.0272995,36620.28443432
921728700,1.0212919,1.0212919,0.96421965,1.0212919,81563.36078553
921815100,1.00627291,1.0212919,0.99125391,1.0212919,18310.14221716
922074300,1.0212919,1.0513299,0.99425765,0.99425765,89886.15270242
922160700,0.99125391,1.0303033,0.93718551,0.93718551,128170.99552011
922247100,1.0212919,1.0212919,0.96722351,0.97323117,8322.79191689
922333500,1.01828816,1.01828816,0.93117791,0.98524631,46607.63473459
922419900,0.98825017,0.99125391,0.93718551,0.98524631,13316.46706702
922765500,1.00627291,1.00627291,0.90414371,0.91015131,49936.75150134
922851900,0.93117791,1.00026531,0.93117791,0.94920071,23303.81736729
922938300,0.96121591,0.98524631,0.96121591,0.96121591,9987.35030027
923283900,0.96121591,0.96121591,0.93718551,0.93718551,4993.67515013
923370300,0.94619691,0.96121591,0.90414371,0.96121591,39949.40120107
923456700,0.94619691,0.94619691,0.91615891,0.91615891,9987.35030027
923543100,0.96121591,0.96121591,0.93117791,0.95520831,29962.05090081
923629500,0.93117791,0.94619691,0.93117791,0.94619691,13316.46706702
923888700,0.94018931,0.94018931,0.90714751,0.90714751,13316.46706702
923975100,0.91315511,0.91315511,0.87110192,0.90113991,48272.19311797
924147900,0.90113991,0.90113991,0.90113991,0.90113991,1664.55838338
924234300,0.93117791,0.93117791,0.92817411,0.93117791,48272.19311797
924493500,0.88912472,0.88912472,0.88912472,0.88912472,1664.55838338
924579900,0.87110192,0.87710952,0.84707152,0.87410572,13316.46706702
924666300,0.90113991,0.91615891,0.90113991,0.91615891,9987.35030027
924752700,0.91615891,0.91615891,0.90113991,0.90714751,19974.70060054
924839100,0.92817411,0.92817411,0.90113991,0.90414371,19974.70060054
925098300,0.85608292,0.85608292,0.84106392,0.84106392,78234.24401877
925271100,0.87110192,0.87110192,0.84707152,0.87110192,28297.49251743
925357500,0.88612092,0.88612092,0.88311712,0.88311712,3329.11676676
925443900,0.90113991,0.90113991,0.90113991,0.90113991,18310.14221716
925703100,0.93718551,0.93718551,0.93718551,0.93718551,6658.23353351
925789500,0.85908672,0.89813612,0.84106392,0.88311712,73240.56886864
925875900,0.88612092,0.88612092,0.85608292,0.86809812,24968.37575067
925962300,0.93117791,0.93117791,0.93117791,0.93117791,1664.55838338
926048700,0.93418171,0.93418171,0.92517031,0.92517031,3329.11676676
926307900,0.85908672,0.89212852,0.85908672,0.89212852,14981.0254504
926394300,0.91615891,0.91615891,0.91315511,0.91615891,13316.46706702
926480700,0.93117791,0.93117791,0.93117791,0.93117791,1664.55838338
926567100,0.93117791,0.96121591,0.91615891,0.91615891,26632.93413405
926653500,0.90113991,0.93418171,0.90113991,0.93418171,16645.58383378
926912700,0.92817411,0.92817411,0.91615891,0.91615891,6658.23353351
926999100,0.93117791,0.93718551,0.93117791,0.93117791,49936.75150134
927085500,0.95821211,1.00627291,0.91916271,1.00627291,113189.97006971
927171900,1.0122805,1.0212919,0.94018931,0.94018931,99873.50300269
927258300,0.96121591,0.96121591,0.96121591,0.96121591,4993.67515013
927517500,0.88011332,0.92817411,0.88011332,0.88612092,31626.60928418
927603900,1.00627291,1.00627291,0.91615891,0.91615891,39949.40120107
927690300,1.00326917,1.00326917,1.00326917,1.00326917,1664.55838338
927776700,0.93117791,0.93117791,0.93117791,0.93117791,3329.11676676
927863100,0.90414371,0.90414371,0.90414371,0.90414371,1664.55838338
928208700,0.93117791,0.94619691,0.91615891,0.91916271,19974.70060054
