time,open,high,low,close,Volume
1285731900,18.489999,18.489999,17.62,17.73,23140
1285818300,17.414999,18.3,17.414999,17.960001,10580
1285904700,17.614999,18.0,17.614999,17.805,2360
1286163900,19.0,19.9,17.889999,17.985001,4800
1286250300,19.0,19.0,17.15,18.045,10350
1286336700,18.6,18.6,17.855,18.32,12480
1286423100,18.32,18.475,17.95,17.955,2370
1286768700,18.4,18.475,18.110001,18.475,4220
1286855100,18.2,18.2,18.2,18.2,250
1286941500,18.3,18.4,18.3,18.4,70
1287027900,18.025,18.575,18.014999,18.014999,1500
1287114300,18.3,19.2,18.014999,19.085001,40670
1287373500,18.695,19.275,18.695,19.155,23660
1287459900,18.4,19.2,18.4,18.755,16790
1287632700,19.0,19.1,18.760001,18.810001,6000
1287719100,18.5,19.195,18.5,19.03,1200
1287978300,18.8,19.93,18.8,19.075,4670
1288151100,19.1,19.6,19.005,19.595,2260
1288237500,19.7,19.7,19.205,19.264999,3020
1288323900,19.110001,19.35,19.110001,19.25,3030
1288583100,19.2,19.495,18.725,19.15,167470
1288669500,18.995,19.2,18.7,19.15,97820
1288755900,18.85,19.5,18.72,19.495,38650
1288842300,19.2,19.5,19.160001,19.195,6270
1289187900,19.2,19.9,19.2,19.614999,15630
1289274300,19.7,19.7,19.2,19.37,4010
1289360700,19.8,20.3,19.28,19.88,10890
1289447100,19.9,20.2,19.8,19.810001,4180
1289533500,19.88,20.035001,19.660001,19.75,4980
1289792700,19.2,19.8,19.2,19.585001,6580
1289879100,19.25,19.5,18.5,19.4,54350
1290138300,19.005,19.5,19.005,19.23,2040
1290397500,19.2,19.4,19.2,19.210001,7690
1290483900,19.1,19.1,18.9,18.9,910
1290570300,19.395,19.395,18.9,19.025,10090
1290656700,19.5,19.5,17.605,18.85,4660
1290743100,18.7,19.0,18.7,18.814999,16760
1291002300,18.85,22.0,18.8,19.455,14160
1291261500,19.495,19.789999,19.4,19.405,4940
1291607100,19.5,19.5,19.5,19.5,3010
1291693500,19.5,19.5,19.4,19.45,12690
1291779900,19.405,19.405,19.4,19.4,600
1291866300,19.5,19.7,19.4,19.4,5650
1291952700,19.2,19.4,19.2,19.4,6680
1292211900,19.4,20.2,19.4,19.535001,6780
1292298300,19.23,19.3,19.23,19.264999,40
1292471100,19.2,19.9,19.2,19.325,19950
1292816700,19.4,19.405,19.4,19.4,4070
1292903100,19.3,19.789999,19.3,19.595,6540
1292989500,19.35,20.0,19.35,19.839999,34200
1293075900,19.5,19.9,19.5,19.514999,22280
1293162300,20.0,20.0,19.439999,19.510001,3120
1293421500,19.55,19.55,19.5,19.5,7500
1293507900,20.0,20.0,19.5,19.5,200
1293594300,19.610001,19.610001,19.5,19.5,4350
1293680700,19.5,19.5,19.5,19.5,250
1293767100,19.5,19.5,19.5,19.5,1200
1294112700,19.55,19.995,19.5,19.760001,3750
1294285500,19.5,19.5,19.5,19.5,9450
1294371900,19.5,19.52,19.5,19.505,13860
1294631100,19.5,19.505,19.5,19.5,15380
1294717500,19.505,19.505,19.505,19.505,10010
1294803900,19.525,19.9,19.5,19.889999,15590
1294890300,19.55,19.8,19.55,19.764999,12000
1294976700,19.505,20.189999,19.505,20.03,1450
1295235900,22.4,23.9,19.5,19.7,14850
1295322300,19.6,19.9,19.6,19.714999,12800
1295495100,19.55,19.55,19.55,19.55,50
1295581500,19.505,19.9,19.5,19.514999,9430
1295840700,19.510001,20.1,19.5,19.5,120
1295927100,19.505,20.1,19.505,19.93,13010
1296099900,19.505,20.0,19.5,19.989999,17320
1296186300,19.505,19.8,19.505,19.739999,17820
1296445500,19.0,20.48,19.0,19.614999,15850
1296531900,19.505,19.555,19.505,19.55,1010
1296618300,19.505,19.505,19.505,19.505,330
1296704700,19.7,19.7,19.5,19.5,5160
1297050300,19.6,19.6,19.4,19.5,20170
1297136700,19.5,19.5,19.5,19.5,1020
1297309500,19.5,19.5,19.4,19.5,23480
1297395900,19.314999,19.6,19.314999,19.6,5800
1297741500,19.5,20.5,19.5,19.735001,18000
1297914300,19.6,20.0,19.5,19.55,8400
1298000700,19.685001,20.5,19.55,19.55,8440
1298519100,19.5,19.5,19.5,19.5,10000
1298605500,19.5,19.505,19.5,19.5,27800
1298864700,19.5,19.575,19.4,19.4,62000
1298951100,18.610001,19.55,18.1,18.460001,52780
1299469500,19.0,19.0,19.0,19.0,500
1299642300,18.205,18.405,18.2,18.4,1850
1300074300,18.0,18.0,17.514999,18.0,2450
1300765500,18.5,18.5,18.5,18.5,149670
1300851900,17.5,17.5,17.5,17.5,500
1301024700,17.614999,17.614999,17.614999,17.614999,33670
1301283900,16.25,18.489999,16.22,17.45,17000
1301370300,17.510001,19.639999,17.510001,17.625,65110
1301543100,17.660001,17.660001,17.660001,17.660001,250
1301629500,19.1,19.1,17.6,18.8,250
1301888700,18.0,18.9,18.0,18.5,47880
1301975100,18.510001,18.510001,18.5,18.5,33900
1302061500,20.4,20.4,18.1,18.310001,700
1302147900,19.0,19.0,19.0,19.0,1000
1302234300,18.5,19.595,18.5,19.595,630
1302666300,18.5,19.77,18.5,18.57,51920
1303098300,17.339999,19.439999,17.325,18.5,39590
1303184700,18.4,19.885001,17.995,18.995,122350
1303357500,17.75,18.88,17.75,18.395,2520
1303703100,19.475,19.9,18.505,18.789999,23720
1303789500,18.15,18.75,18.0,18.489999,44350
1303875900,18.1,19.0,18.1,18.589999,4010
1303962300,18.5,19.0,18.5,18.5,2530
1304048700,18.0,18.9,18.0,18.360001,2500
1304307900,17.5,18.9,17.5,18.4,18800
1304394300,18.760001,18.8,17.72,17.72,4020
1304480700,17.810001,17.810001,17.810001,17.810001,20
1304653500,17.88,18.5,17.88,18.47,1980
1304912700,18.8,19.095,18.705,18.705,2690
1304999100,18.405,18.7,18.405,18.7,420
1305085500,19.98,19.98,18.6,18.945,9470
1305171900,18.3,18.3,18.3,18.3,70
1305258300,19.7,19.7,19.5,19.5,20
1305517500,19.5,19.8,18.8,18.9,1230
1305603900,18.9,19.45,18.8,18.8,3510
1305776700,19.889999,19.889999,18.4,18.5,1330
1305863100,17.67,19.939999,17.67,18.595,4390
1306122300,19.0,19.0,18.175,18.42,4880
1306381500,17.875,18.5,17.6,18.5,5170
1306467900,18.98,18.98,18.2,18.2,4130
1306727100,18.9,18.9,18.1,18.6,3500
1306813500,18.03,18.05,18.0,18.05,6210
1306899900,18.5,18.7,18.5,18.7,3520
1306986300,18.6,18.6,18.6,18.6,60
1307072700,18.014999,18.785001,17.760001,18.785001,6450
1307331900,17.910001,18.2,17.8,18.089999,1800
1307418300,18.545,18.545,17.905,18.0,2640
1307504700,18.389999,18.389999,18.389999,18.389999,50
1307591100,18.0,18.0,17.8,17.8,6000
1308023100,17.939999,17.939999,17.939999,17.939999,250
1308109500,17.6,17.6,17.6,17.6,1000
1308195900,17.42,17.5,17.42,17.489999,570
1308282300,18.489999,18.489999,16.82,17.075,48270
1308541500,16.8,17.689999,16.1,17.42,7930
1308627900,17.789999,17.789999,17.4,17.495,6600
1308714300,17.995,17.995,17.5,17.625,9900
1308800700,17.2,17.5,17.010001,17.295,20850
1308887100,17.589999,17.589999,17.0,17.47,50270
1309146300,17.2,17.995,17.2,17.505,4350
1309232700,17.6,17.6,17.2,17.2,1260
1309319100,17.88,18.6,17.5,18.495,15980
1309405500,18.5,18.8,17.6,18.5,4740
1309751100,18.505,18.7,18.505,18.7,300
1309837500,18.0,18.064999,18.0,18.064999,900
1309923900,18.395,18.6,18.395,18.6,300
1310010300,18.6,18.6,18.6,18.6,400
1310096700,18.010001,18.5,18.005,18.5,7120
1310442300,18.6,18.6,18.45,18.525,1500
1310528700,18.689999,18.9,18.689999,18.805,2750
