time,open,high,low,close,Volume
915162300,1.22,1.22,1.22,1.22,1000
915421500,1.23,1.285,1.21,1.24,29000
915507900,1.26,1.275,1.2,1.2,118000
915594300,1.22,1.265,1.22,1.265,18000
915680700,1.26,1.31,1.26,1.31,33000
915767100,1.235,1.3,1.235,1.3,34000
916026300,1.26,1.375,1.26,1.3,19000
916112700,1.3,1.3,1.27,1.27,2000
916199100,1.3,1.3,1.21,1.245,40000
916285500,1.21,1.25,1.21,1.21,7000
916371900,1.19,1.2,1.17,1.2,7000
916631100,1.23,1.235,1.205,1.205,19000
916717500,1.21,1.215,1.205,1.205,40000
916890300,1.2,1.225,1.2,1.2,58000
916976700,1.225,1.225,1.195,1.215,36000
917235900,1.125,1.2,1.125,1.2,58000
917408700,1.25,1.5,1.25,1.4,216000
917495100,1.44,1.57,1.31,1.35,133000
917581500,1.37,1.375,1.295,1.305,40000
917840700,1.23,1.285,1.21,1.25,32000
917927100,1.0,1.27,1.0,1.25,55000
918013500,1.24,1.29,1.2,1.2,35000
918099900,1.2,1.2,1.1,1.1,237000
918186300,1.26,1.27,1.19,1.2,74000
918445500,1.2,1.2,1.1,1.1,119000
918531900,1.1,1.155,1.1,1.13,45000
918618300,1.015,1.195,1.015,1.175,38000
918704700,1.105,1.2,1.1,1.19,224000
918791100,1.15,1.175,1.1,1.12,180000
919050300,1.19,1.3,1.12,1.19,87000
919136700,1.2,1.21,1.175,1.2,94000
919223100,1.16,1.26,1.16,1.225,33000
919309500,1.23,1.275,1.2,1.205,24000
919395900,1.2,1.2,1.2,1.2,21000
919655100,1.175,1.2,1.175,1.2,53000
919741500,1.18,1.215,1.18,1.2,83000
919827900,1.2,1.24,1.2,1.2,74000
919914300,1.18,1.225,1.18,1.225,12000
920000700,1.25,1.4,1.25,1.4,77000
920259900,1.325,1.37,1.27,1.37,104000
920432700,1.3,1.39,1.3,1.35,48000
920519100,1.25,1.25,1.135,1.24,29000
920605500,1.2,1.275,1.2,1.235,21000
920864700,1.215,1.22,1.21,1.215,28000
920951100,1.17,1.5,1.165,1.5,135000
921037500,1.5,1.555,1.355,1.375,255000
921123900,1.4,1.4,1.375,1.385,58000
921210300,1.355,1.36,1.31,1.34,20000
921469500,1.31,1.34,1.26,1.275,27000
921555900,1.275,1.34,1.175,1.34,32000
921642300,1.2,1.25,1.2,1.225,23000
921728700,1.225,1.275,1.225,1.25,41000
921815100,1.55,1.55,1.275,1.32,54000
922074300,1.3,1.3,1.215,1.215,49000
922160700,1.25,1.385,1.25,1.385,69000
922247100,1.45,1.5,1.285,1.285,183000
922333500,1.34,1.34,1.275,1.3,159000
922419900,1.3,1.3,1.25,1.27,40000
922765500,1.295,1.31,1.2,1.255,159000
922851900,1.325,1.33,1.23,1.23,204000
922938300,1.495,1.495,1.235,1.235,68000
923283900,1.225,1.275,1.16,1.2,222000
923370300,1.18,1.225,1.18,1.225,115000
923456700,1.115,1.275,1.115,1.225,36000
923543100,1.16,1.26,1.16,1.26,32000
923629500,1.21,1.265,1.21,1.255,75000
923888700,1.22,1.35,1.22,1.35,20000
923975100,1.275,1.275,1.26,1.275,138000
924147900,1.395,1.4,1.21,1.37,58000
924234300,1.35,1.55,1.34,1.55,148000
924493500,1.33,1.5,1.33,1.5,90000
924579900,1.4,1.86,1.4,1.86,307000
924666300,2.1,2.1799999,1.81,1.825,595000
924752700,1.775,1.85,1.7,1.75,220000
924839100,1.6549999,1.75,1.6549999,1.725,88000
925098300,1.51,1.555,1.41,1.41,159000
925271100,1.3,1.5,1.3,1.5,48000
925357500,1.575,1.65,1.525,1.57,45000
925443900,1.555,1.7,1.555,1.7,74000
925703100,1.74,1.74,1.65,1.65,39000
925789500,1.7,1.7,1.64,1.675,146000
925875900,1.6950001,1.7799999,1.6799999,1.7,50000
925962300,1.7,1.7,1.64,1.7,100000
926048700,1.6950001,1.7,1.61,1.61,92000
926307900,1.685,1.7,1.56,1.575,33000
926394300,1.6,1.6,1.495,1.52,134000
926480700,1.515,1.6,1.505,1.565,91000
926567100,1.525,1.61,1.525,1.585,80000
926653500,1.555,1.625,1.555,1.6,109000
926912700,1.625,1.6450001,1.595,1.6450001,139000
926999100,1.6,1.675,1.585,1.6299999,184000
927085500,1.555,1.735,1.555,1.735,216000
927171900,1.6950001,1.75,1.65,1.66,70000
