time,open,high,low,close,Volume
915162300,73.0,73.900002,73.0,73.599998,3500
915421500,77.5,79.5,77.5,79.5,29950
915507900,82.099998,83.0,79.0,81.599998,37900
915594300,83.900002,86.900002,79.699997,80.699997,65950
915680700,81.5,83.0,80.0,81.400002,53600
915767100,83.0,84.900002,80.0,82.5,100500
916026300,84.0,84.900002,82.0,82.0,61800
916112700,82.900002,82.900002,76.050003,77.25,58750
916199100,82.650002,82.650002,78.0,78.5,19000
916285500,76.050003,78.199997,75.650002,76.650002,6600
916371900,76.0,76.0,74.0,74.5,17100
916631100,74.0,74.449997,73.0,74.0,8600
916717500,74.449997,74.449997,70.050003,72.050003,21250
916890300,72.0,74.5,71.5,74.5,15650
916976700,74.0,75.849998,73.5,74.25,13250
917235900,73.199997,74.150002,72.5,74.0,18950
917408700,75.0,76.599998,74.5,75.0,18750
917495100,74.949997,75.5,74.550003,74.75,16850
917581500,73.800003,74.900002,73.75,74.449997,16300
917840700,74.099998,74.25,72.0,72.0,10650
917927100,72.0,72.0,70.0,70.5,16750
918013500,71.0,72.550003,71.0,71.550003,20050
918099900,71.5,72.0,71.25,71.599998,11700
918186300,71.25,71.900002,71.25,71.650002,15000
918445500,71.050003,71.099998,70.0,71.0,7400
918531900,71.0,71.0,69.5,70.5,16300
918618300,70.0,70.5,68.5,69.5,6000
918704700,70.0,70.0,66.0,69.0,7000
918791100,68.0,69.0,67.800003,68.5,9300
919050300,68.5,68.75,67.0,68.449997,16750
919136700,67.25,68.150002,67.150002,68.150002,15550
919223100,66.0,69.25,66.0,68.5,10550
919309500,68.0,71.0,68.0,69.050003,10850
919395900,70.699997,70.75,69.0,69.0,10200
919655100,68.050003,69.900002,68.0,69.0,11600
919741500,68.050003,69.0,67.0,67.300003,20350
919827900,68.0,69.0,67.0,69.0,11900
919914300,68.949997,69.300003,68.25,69.199997,6550
920000700,69.5,69.5,66.199997,67.75,6400
920259900,66.0,67.0,63.0,64.0,12750
920432700,65.0,68.0,63.25,66.949997,18350
920519100,66.0,66.699997,65.0,65.300003,8300
920605500,65.5,66.400002,64.650002,65.0,9900
920864700,64.5,65.0,62.0,62.450001,18250
920951100,62.0,62.0,59.549999,60.099998,28100
921037500,61.5,63.0,61.0,61.599998,9600
921123900,61.0,62.0,61.0,61.799999,4500
921210300,61.049999,62.0,60.0,60.900002,6850
921469500,60.0,61.0,59.0,59.650002,6800
921555900,59.5,59.950001,56.150002,58.700001,13050
921642300,55.099998,60.0,55.099998,58.5,11800
921728700,59.900002,61.0,58.400002,60.5,20250
921815100,61.5,65.0,61.0,61.5,19100
922074300,61.0,62.799999,60.0,60.75,14600
922160700,61.900002,63.799999,60.0,62.200001,27200
922247100,66.900002,67.199997,65.5,67.199997,32850
922333500,67.0,68.5,65.0,65.099998,24000
922419900,64.650002,66.0,62.099998,62.5,15950
922765500,58.0,62.400002,58.0,61.099998,32250
922851900,64.400002,65.300003,62.0,62.099998,9050
922938300,62.5,62.5,60.849998,61.400002,6050
923283900,62.400002,62.400002,58.0,59.049999,9650
923370300,58.5,58.549999,57.099998,58.150002,20600
923456700,58.900002,59.849998,58.5,59.25,8400
923543100,58.900002,58.950001,58.299999,58.799999,6350
923629500,58.0,58.049999,56.049999,56.049999,6950
923888700,56.0,56.849998,54.75,56.849998,7650
923975100,55.5,56.450001,54.799999,55.700001,9950
924147900,54.25,55.5,54.099998,54.5,13100
924234300,54.900002,58.900002,54.900002,58.900002,16300
924493500,52.150002,57.0,52.150002,56.75,5650
924579900,58.0,58.0,55.0,57.799999,9550
924666300,57.0,57.5,56.549999,57.25,2750
924752700,57.5,57.799999,56.299999,57.150002,6400
924839100,57.0,57.0,56.0,56.049999,7800
925098300,56.400002,56.599998,52.099998,52.299999,19100
925271100,51.0,54.299999,51.0,52.599998,6750
925357500,52.75,54.299999,52.75,54.0,4950
925443900,58.25,58.25,54.200001,54.25,5350
925703100,54.75,54.75,52.0,52.75,4600
925789500,52.900002,53.299999,50.5,53.150002,7400
925875900,54.0,55.25,54.0,55.0,12100
925962300,54.299999,55.5,54.299999,55.349998,7050
926048700,55.5,57.0,55.5,56.049999,9350
926307900,56.900002,60.0,54.5,58.299999,23250
926394300,57.099998,61.900002,57.099998,61.0,32400
926480700,63.0,65.0,58.5,58.599998,52600
926567100,59.950001,61.049999,59.150002,60.0,13700
926653500,60.950001,64.800003,59.0,64.0,89750
926912700,61.700001,64.300003,59.5,60.950001,35650
926999100,62.0,62.0,60.0,61.099998,49750
927085500,62.5,64.25,61.0,63.5,41150
927171900,63.200001,65.0,61.0,63.0,56650
927258300,61.049999,62.0,58.5,59.349998,24350
927517500,57.0,58.75,57.0,58.049999,30550
927603900,58.0,59.200001,57.0,58.200001,73850
927690300,62.900002,62.900002,62.049999,62.900002,41271
927776700,62.549999,64.400002,62.0,62.0,23469
927863100,60.150002,61.950001,59.099998,61.5,18781
928122300,61.900002,63.450001,61.549999,63.049999,13622
928208700,63.0,64.5,61.599998,63.700001,20721
928295100,63.700001,63.700001,62.349998,62.950001,6554
928381500,63.650002,63.799999,62.549999,63.150002,8600
928467900,64.150002,68.199997,63.75,68.199997,51716
928727100,69.0,72.900002,67.5,72.5,54032
928813500,71.5,74.849998,70.0,73.5,32261
928899900,76.099998,76.099998,72.5,73.199997,73590
928986300,73.050003,73.900002,70.900002,71.949997,28789
929072700,72.25,72.25,70.0,70.550003,49283
929331900,67.050003,69.900002,65.5,67.400002,56261
929418300,68.0,72.599998,68.0,71.25,95860
929504700,68.5,68.5,65.650002,67.400002,57008
929591100,67.900002,68.400002,67.150002,67.449997,41455
929677500,67.099998,67.849998,65.900002,66.050003,25000
929936700,66.0,67.800003,66.0,67.449997,41672
930023100,67.0,72.849998,66.5,68.949997,132237
930109500,70.699997,71.75,69.300003,69.949997,69424
930195900,69.25,69.900002,68.599998,69.050003,18931
930282300,67.0,72.5,67.0,70.300003,93297
930541500,71.0,72.5,70.550003,71.800003,32644
930627900,72.0,74.5,72.0,73.75,75172
930714300,73.75,74.25,72.0,72.449997,49985
930800700,72.099998,72.949997,69.550003,70.099998,26925
930887100,69.25,71.0,69.050003,70.650002,23936
931146300,72.0,73.75,71.0,73.099998,52860
931232700,73.099998,74.5,72.900002,73.849998,81690
931319100,74.0,79.800003,73.900002,79.800003,67030
931405500,81.0,84.300003,78.300003,82.900002,89060
931491900,82.0,89.550003,81.849998,89.550003,175548
931751100,94.900002,94.900002,91.5,94.150002,142814
931837500,96.699997,96.75,88.099998,89.050003,87398
931923900,93.0,96.199997,92.5,96.199997,177298
932010300,103.0,103.0,94.050003,95.199997,155165
932096700,98.0,99.0,93.0,95.099998,70323
932355900,95.0,97.949997,95.0,96.550003,88733
932442300,97.0,97.0,92.0,93.0,125299
932528700,94.5,96.199997,94.0,95.599998,57574
932615100,97.5,99.0,93.5,94.099998,66932
932701500,96.75,100.0,94.5,95.349998,129000
932960700,97.900002,103.0,97.0,103.0,163739
933047100,108.0,111.25,105.15,111.25,303388
933133500,120.0,120.0,109.6,111.45,357729
933219900,112.0,113.95,106.1,107.25,96363
933306300,107.0,115.85,104.1,114.1,527337
933565500,115.0,115.0,108.0,109.8,183927
933651900,110.0,110.5,104.5,105.45,245604
933738300,108.1,112.4,107.0,109.1,136702
933824700,110.0,114.0,108.1,109.85,114661
933911100,110.0,118.65,109.2,118.65,406916
934170300,121.4,128.14999,119.9,128.14999,319430
934256700,128.25,128.25,121.0,124.1,270859
934343100,120.75,126.4,120.0,121.75,178240
934429500,120.0,124.4,117.35,118.2,96322
934515900,122.0,122.0,112.15,113.2,126111
934775100,114.9,118.1,114.1,116.85,146530
934861500,115.95,117.75,114.65,116.75,174886
934947900,122.0,125.0,120.0,122.5,206962
935034300,124.0,132.3,119.0,123.7,470345
935120700,125.0,133.60001,121.5,133.5,428028
935379900,136.0,144.2,133.0,143.8,538415
935466300,146.0,146.0,136.0,142.35001,329414
935552700,148.0,153.75,140.25,152.0,547634
935639100,158.0,164.2,158.0,164.2,37868
935725500,174.89999,177.35001,172.05,177.35001,73982
935984700,183.0,191.5,168.5,171.55,218704
936071100,168.10001,181.0,164.55,178.14999,164395
936157500,182.0,182.0,169.0,172.64999,157931
936243900,168.10001,169.89999,163.25,164.89999,85905
936330300,163.5,174.39999,163.0,171.64999,156192
936589500,174.75,185.39999,174.39999,185.39999,175087
936675900,190.0,200.25,188.2,200.25,311263
936762300,213.7,215.0,197.0,202.64999,473249
936848700,205.0,208.0,201.0,203.55,109939
936935100,200.60001,203.0,200.0,201.89999,84968
937280700,203.14999,208.0,200.2,201.5,278859
937367100,203.0,205.0,187.2,191.7,137401
937453500,196.0,197.60001,180.8,182.45,127046
937539900,180.0,197.05,180.0,197.05,148590
937799100,201.0,205.0,188.0,192.35001,147061
937885500,190.0,193.0,182.60001,186.60001,148875
937971900,190.0,194.0,184.0,190.3,71814
938058300,192.89999,200.0,187.0,188.05,82254
938144700,189.60001,203.10001,188.10001,203.10001,74074
938403900,205.0,219.35001,205.0,219.35001,270318
938490300,226.7,236.89999,222.0,236.89999,204025
938576700,245.0,255.85001,241.35001,248.55,396973
938663100,242.60001,255.25,228.7,230.85001,178211
938749500,240.0,248.0,220.0,227.64999,136674
939008700,226.89999,229.0,213.3,215.2,103441
939095100,216.89999,232.45,216.89999,229.05,211973
939181500,229.0,232.0,220.7,224.85001,122687
939267900,223.0,234.0,223.0,226.85001,95085
939354300,226.0,229.0,223.0,224.39999,79948
939613500,222.5,226.0,215.0,219.0,50313
939699900,216.10001,220.0,211.0,212.85001,109037
939786300,215.8,222.95,213.0,215.39999,67197
939872700,216.5,232.0,214.0,219.3,62062
939959100,222.0,223.89999,201.8,203.75,54325
940218300,196.10001,203.0,192.5,194.75,74526
940391100,203.55,210.35001,201.25,203.89999,123244
940477500,209.89999,209.89999,198.5,200.25,51096
940563900,201.0,201.0,196.0,199.10001,58913
940823100,196.05,196.05,184.55,184.55,28930
940909500,173.0,176.0,169.8,170.39999,81590
940995900,176.0,176.0,166.5,169.25,34135
941082300,162.0,166.0,159.0,160.55,31581
941168700,157.0,158.0,148.0,150.95,74991
941427900,147.75,147.75,138.89999,139.64999,41021
941514300,133.05,150.85001,133.05,150.85001,42011
941600700,153.0,162.95,153.0,162.55,83851
941687100,161.0,164.89999,156.0,162.05,40537
941773500,156.25,162.3,156.25,158.14999,31529
942119100,158.0,159.0,153.10001,157.14999,43797
942205500,156.75,161.85001,156.5,161.55,25546
942291900,161.0,161.7,158.25,159.3,19353
942378300,157.05,160.89999,156.05,158.3,22751
942637500,161.89999,171.0,161.89999,171.0,30410
942723900,174.0,184.7,171.0,178.35001,114731
942810300,182.0,192.0,176.0,177.5,224923
942896700,176.0,177.0,167.55,174.35001,100759
942983100,175.89999,177.0,167.0,167.89999,46429
943242300,168.10001,169.0,159.0,162.14999,103877
943415100,165.85001,166.0,162.2,165.2,40655
943501500,166.45,167.89999,163.05,163.89999,28146
943587900,164.39999,164.39999,158.0,159.0,31187
943847100,160.0,161.95,157.0,158.35001,22621
943933500,156.0,158.5,153.0,154.14999,47372
944019900,156.25,159.75,155.10001,156.7,29909
944106300,157.0,169.25,157.0,169.25,51674
944192700,167.8,175.0,161.10001,162.60001,90066
944451900,164.0,164.95,160.0,161.60001,42615
944538300,162.0,170.0,161.14999,166.39999,85847
944624700,170.0,179.75,169.0,177.0,152403
944711100,174.0,178.5,165.0,166.75,50418
944797500,167.0,170.5,159.0,159.85001,50535
945056700,157.0,160.0,155.0,155.3,23757
945143100,155.0,155.0,142.89999,143.8,97834
945229500,144.55,149.5,144.55,146.95,48268
945315900,145.0,150.0,145.0,147.7,27548
945402300,149.0,149.0,140.0,141.3,45223
945661500,144.89999,144.89999,140.0,141.55,37028
945747900,140.0,146.0,138.0,140.25,72911
945834300,148.5,149.7,144.5,147.85001,71217
945920700,148.0,148.5,141.10001,142.25,18223
946007100,140.10001,143.39999,130.89999,131.35001,80367
946266300,127.0,130.0,124.65,125.15,55434
946352700,124.0,126.0,120.0,123.1,72937
946439100,124.9,127.0,121.1,123.35,69558
946525500,125.9,126.4,122.05,122.55,20070
946871100,126.3,132.35001,126.1,132.3,67760
946957500,140.5,142.89999,133.5,142.89999,171523
947043900,146.0,154.35001,133.0,141.5,185382
947130300,147.0,152.85001,146.0,152.85001,149262
947216700,158.0,162.89999,145.05,150.35001,128331
947475900,158.0,162.39999,155.14999,162.39999,244927
