time,open,high,low,close,Volume
789018300,4.03861996,4.03861996,4.03861996,4.03861996,4450.62302375
789277500,4.12836996,4.12836996,4.12836996,4.12836996,2220.12430555
789795900,4.37516996,4.37516996,4.37516996,4.37516996,2220.12430555
790227900,4.17323996,4.17323996,4.17323996,4.17323996,2220.12430555
790487100,4.21810996,4.21810996,4.21810996,4.21810996,4450.62302375
790573500,4.03861996,4.03861996,4.03861996,4.03861996,22284.23835667
790919100,4.03861996,4.03861996,4.03861996,4.03861996,2220.12430555
791523900,3.90399996,3.90399996,3.90399996,3.90399996,11142.11917834
792042300,3.90399996,3.92642996,3.90399996,3.90399996,46788.6010189
792128700,3.76937997,3.88155996,3.76937997,3.82546997,4450.62302375
792215100,3.81424997,4.02515996,3.81424997,4.01842996,15592.74220209
792733500,3.90399996,3.90399996,3.90399996,3.90399996,22284.23835667
792906300,3.81424997,3.81424997,3.81424997,3.81424997,22284.23835667
793511100,3.58987997,3.58987997,3.58987997,3.58987997,11142.11917834
793597500,3.58987997,3.58987997,3.58987997,3.58987997,11142.11917834
794461500,3.36999997,3.36999997,3.36999997,3.36999997,2220.12430555
794547900,3.36551997,3.41038997,3.34307997,3.35429997,42337.97799515
794634300,3.36775997,3.36775997,3.14114997,3.14114997,28965.36009862
795066300,3.14338997,3.14338997,3.14114997,3.14338997,4450.62302375
795152700,3.25332997,3.25332997,3.18601997,3.18601997,11142.11917834
795239100,3.32063997,3.36551997,3.32063997,3.32063997,20053.73963848
795843900,2.96613997,2.96613997,2.96613997,2.96613997,2220.12430555
796275900,3.35653997,3.35653997,3.35653997,3.35653997,2220.12430555
796362300,3.32063997,3.32063997,3.32063997,3.32063997,11142.11917834
796448700,3.32288997,3.32288997,3.32063997,3.32063997,4450.62302375
796967100,3.23088997,3.23088997,3.23088997,3.23088997,4450.62302375
797053500,3.32063997,3.32063997,3.32063997,3.32063997,28965.36009862
797226300,3.27576997,3.27576997,3.27576997,3.27576997,4450.62302375
797485500,2.96389997,3.14338997,2.96389997,3.14338997,4450.62302375
798090300,3.27576997,3.28473997,3.27576997,3.28473997,13362.24348389
798176700,3.23088997,3.32063997,3.23088997,3.32063997,6681.12174194
798263100,3.14114997,3.14114997,3.14114997,3.14114997,4450.62302375
798435900,3.19050997,3.19050997,3.19050997,3.19050997,4450.62302375
798695100,3.05139997,3.05139997,3.01998997,3.01998997,8911.62046014
799472700,2.96164997,2.96164997,2.96164997,2.96164997,2220.12430555
799559100,2.96164997,2.96164997,2.96164997,2.96164997,4450.62302375
799645500,2.79337997,2.79337997,2.79337997,2.79337997,4450.62302375
799904700,2.80459997,2.80459997,2.80459997,2.80459997,2220.12430555
800595900,2.91677997,2.91677997,2.91677997,2.91677997,8911.62046014
801719100,2.91677997,2.91677997,2.91677997,2.91677997,4450.62302375
801805500,2.64753998,2.69240998,2.64753998,2.69240998,8911.62046014
801891900,2.96164997,2.96164997,2.96164997,2.96164997,2220.12430555
801978300,2.78439997,2.78439997,2.78215997,2.78215997,15592.74220209
802064700,2.78215997,2.82702997,2.78215997,2.78439997,8911.62046014
802323900,2.91677997,2.91677997,2.87190997,2.87190997,8911.62046014
802410300,3.14114997,3.23088997,3.14114997,3.23088997,4450.62302375
802496700,3.36551997,3.58987997,3.36551997,3.58987997,31195.85881681
802583100,3.63475997,3.63475997,3.39692997,3.39692997,6681.12174194
802669500,3.50013997,3.50013997,3.50013997,3.50013997,2220.12430555
802928700,3.50013997,3.54724997,3.50013997,3.54500997,6681.12174194
803015100,3.51808997,3.51808997,3.43282997,3.43282997,11142.11917834
803187900,3.38794997,3.38794997,3.36551997,3.36551997,6681.12174194
803274300,3.32288997,3.32288997,3.32063997,3.32063997,4450.62302375
803533500,3.27576997,3.27576997,3.27576997,3.27576997,2220.12430555
803619900,3.23088997,3.23088997,3.23088997,3.23088997,11142.11917834
804397500,3.14114997,3.14114997,3.14114997,3.14114997,2220.12430555
804483900,3.14114997,3.14114997,3.14114997,3.14114997,2220.12430555
805434300,2.91677997,2.91677997,2.91677997,2.91677997,4450.62302375
805520700,3.05139997,3.05139997,3.05139997,3.05139997,4450.62302375
805693500,3.00652997,3.00652997,3.00652997,3.00652997,2220.12430555
806557500,3.75142997,3.75142997,3.75142997,3.75142997,2220.12430555
806643900,3.90399996,3.90399996,3.90399996,3.90399996,2220.12430555
806816700,3.72449997,3.72449997,3.72449997,3.72449997,2220.12430555
806903100,3.63475997,3.63475997,3.63475997,3.63475997,2220.12430555
807162300,3.32063997,3.32063997,3.32063997,3.32063997,11142.11917834
807248700,3.54500997,3.54500997,3.54500997,3.54500997,2220.12430555
807507900,3.54500997,3.54500997,3.54500997,3.54500997,2220.12430555
807767100,3.54500997,3.54500997,3.54500997,3.54500997,2220.12430555
808717500,3.27576997,3.27576997,3.27576997,3.27576997,6681.12174194
808976700,3.45974997,3.45974997,3.45974997,3.45974997,2220.12430555
809235900,3.58987997,3.58987997,3.58987997,3.58987997,2220.12430555
809840700,3.23088997,3.23088997,3.23088997,3.23088997,11142.11917834
810186300,3.23088997,3.32063997,3.23088997,3.32063997,24504.36266223
810272700,3.25332997,3.29819997,3.25332997,3.29819997,22284.23835667
810963900,3.18601997,3.18601997,3.18601997,3.18601997,2220.12430555
811050300,3.23088997,3.23088997,3.23088997,3.23088997,2220.12430555
811482300,3.09626997,3.09626997,3.09626997,3.09626997,2220.12430555
811655100,3.00652997,3.00652997,3.00652997,3.00652997,6681.12174194
812951100,2.81667997,3.26264997,2.76972997,3.26264997,21298.66915561
813296700,3.28611997,3.38000997,3.28611997,3.28611997,19161.5401512
813383100,3.38000997,3.46920997,3.38000997,3.46920997,6380.2637753
813469500,3.42695997,3.42695997,3.42695997,3.42695997,2126.75459177
813555900,3.37531997,3.45042997,3.37531997,3.45042997,23425.42374738
813815100,3.51145997,3.52084997,3.51145997,3.51145997,10644.14737148
813901500,3.51145997,3.51145997,3.47389997,3.51145997,8517.39277972
813987900,3.38000997,3.38000997,3.38000997,3.38000997,2126.75459177
814074300,3.38000997,3.38000997,3.28611997,3.28611997,6380.2637753
814160700,3.28611997,3.37766997,3.28611997,3.37766997,4253.50918354
814419900,3.42695997,3.47389997,3.42695997,3.42695997,10644.14737148
814506300,3.37531997,3.37531997,3.37531997,3.37531997,2126.75459177
814592700,3.28611997,3.28611997,3.28611997,3.28611997,4253.50918354
815111100,3.05139997,3.05139997,3.05139997,3.05139997,2126.75459177
815283900,3.05139997,3.05139997,3.05139997,3.05139997,2126.75459177
815370300,3.09834997,3.09834997,3.09834997,3.09834997,2126.75459177
815629500,3.09834997,3.09834997,3.05139997,3.09834997,6380.2637753
815715900,3.07486997,3.07486997,2.93872997,3.05139997,63896.00746683
815802300,2.95750997,2.95750997,2.93638997,2.93638997,29816.06193533
815975100,2.81667997,2.81667997,2.81667997,2.81667997,12770.90196325
816234300,2.81667997,2.81667997,2.67818998,2.67818998,4253.50918354
816407100,2.62889998,2.62889998,2.62889998,2.62889998,21298.66915561
816493500,2.62889998,2.67114998,2.53500998,2.53500998,4253.50918354
816579900,2.51153998,2.51153998,2.44815998,2.51153998,8517.39277972
816839100,2.48806998,2.48806998,2.39886998,2.48806998,25552.17833915
816925500,2.47632998,2.47632998,2.34722998,2.34722998,21298.66915561
817011900,2.34722998,2.37069998,2.34722998,2.34722998,14908.03096766
817098300,2.34722998,2.37069998,2.21108998,2.34722998,8517.39277972
817184700,2.34722998,2.44111998,2.34722998,2.44111998,4253.50918354
817443900,2.44111998,2.53500998,2.37069998,2.53500998,6380.2637753
817530300,2.34722998,2.48806998,2.34722998,2.48806998,6380.2637753
817789500,2.48806998,2.48806998,2.39417998,2.48806998,6380.2637753
818048700,2.39417998,2.39417998,2.39417998,2.39417998,19161.5401512
818135100,2.39417998,2.39417998,2.37069998,2.39417998,46861.2219074
818221500,2.44111998,2.44111998,2.44111998,2.44111998,10644.14737148
818307900,2.44111998,2.58195998,2.39417998,2.58195998,59642.49828329
818394300,2.53500998,2.53500998,2.53500998,2.53500998,6380.2637753
818653500,2.53500998,2.58195998,2.53500998,2.53500998,8517.39277972
819431100,2.53500998,2.53500998,2.39417998,2.39417998,12770.90196325
819517500,2.44111998,2.44111998,2.44111998,2.44111998,2126.75459177
819603900,2.48806998,2.48806998,2.48806998,2.48806998,10644.14737148
819949500,2.57960998,2.57960998,2.49040998,2.49040998,19161.5401512
820035900,2.51153998,2.51153998,2.51153998,2.51153998,2126.75459177
820122300,2.48806998,2.48806998,2.46458998,2.46458998,42597.33831122
820208700,2.48806998,2.51153998,2.40590998,2.40590998,10644.14737148
820554300,2.53500998,2.53500998,2.53500998,2.53500998,2126.75459177
