time,open,high,low,close,Volume
786167100,6.51322,6.53726,6.48919,6.48919,158109.15122
786253500,6.48919,6.51322,6.48919,6.51322,62411.50706
786339900,6.48919,6.60936,6.48919,6.60936,208038.35687
786599100,6.65743,6.65743,6.48919,6.53726,66572.2742
786685500,6.51322,6.60936,6.48919,6.4952,20803.83569
786771900,6.36902,6.36902,6.36902,6.36902,4160.76714
786858300,6.36902,6.36902,6.34498,6.34498,79054.57561
786944700,6.34498,6.34498,6.27288,6.27288,8321.53427
787203900,6.41709,6.41709,6.12868,6.12868,8321.53427
787290300,6.00851,6.00851,5.76817,5.98447,54089.97279
787376700,5.97246,6.08061,5.97246,6.06859,66572.2742
787463100,6.12868,6.17675,6.12868,6.17675,120662.24698
787549500,6.36902,6.44112,6.36902,6.36902,216359.89114
787808700,6.30893,6.32095,6.24885,6.24885,58250.73992
787895100,6.36902,6.36902,6.24885,6.24885,54089.97279
787981500,6.44112,6.44112,6.36902,6.43511,665722.74198
788067900,6.36902,6.39305,6.36902,6.36902,45768.43851
788154300,6.39305,6.39305,6.39305,6.39305,4160.76714
788413500,6.27889,6.27889,6.27288,6.27288,20803.83569
788499900,6.05658,6.24885,6.05658,6.24885,8321.53427
788586300,6.30893,6.30893,6.30893,6.30893,4160.76714
788672700,6.36902,6.36902,6.36902,6.36902,4160.76714
788759100,6.36301,6.39305,6.36301,6.37382,41607.67137
789018300,6.18876,6.48919,6.18876,6.34498,45768.43851
789104700,6.36902,6.45915,6.36902,6.36902,49929.20565
789191100,6.44112,6.48919,6.34498,6.48919,178912.98691
789277500,6.44112,6.48919,6.37503,6.48919,12482.30141
789363900,6.48919,6.48919,6.34619,6.36902,58250.73992
789623100,6.39305,6.39305,6.30893,6.37022,104019.17843
789709500,6.27889,6.33297,6.27288,6.33297,45768.43851
789795900,6.22481,6.23082,6.16473,6.17074,74893.80847
789882300,6.24885,6.24885,6.17675,6.20679,29125.36996
789968700,6.12868,6.24885,6.12868,6.24885,87376.10988
790227900,6.12868,6.2849,6.12868,6.2849,24964.60282
790314300,6.12868,6.36301,6.12868,6.33297,54089.97279
790400700,6.36902,6.36902,6.34498,6.34498,37446.90424
790487100,6.36902,6.36902,6.36902,6.36902,29125.36996
790573500,6.36902,6.44112,6.32215,6.43271,62411.50706
790832700,6.24885,6.32095,6.24885,6.29692,70733.04134
790919100,6.12868,6.20078,6.00851,6.12868,91536.87702
791005500,6.12868,6.15271,6.10464,6.12868,58250.73992
791178300,6.12988,6.24885,6.12988,6.24885,29125.36996
791437500,6.17675,6.36902,6.17675,6.36301,41607.67137
791523900,6.30893,6.41709,6.24885,6.41709,237163.72683
791610300,6.41709,6.41709,6.29692,6.29692,228842.19256
791696700,6.29692,6.34498,6.24885,6.34018,324539.83672
791783100,6.32095,6.41709,6.32095,6.41709,33286.1371
792042300,6.34498,6.41709,6.32095,6.39065,183073.75404
792128700,6.36902,6.38103,6.30893,6.36902,307896.76817
792215100,6.34498,6.53726,6.30893,6.45915,578346.63209
792301500,6.34498,6.41709,6.34498,6.41709,41607.67137
792387900,6.41709,6.48919,6.41709,6.48919,203877.58973
792647100,6.48919,6.48919,6.40387,6.40627,49929.20565
792733500,6.4291,6.45915,6.4291,6.45073,87376.10988
792819900,6.44112,6.44112,6.4291,6.4291,120662.24698
792906300,6.36902,6.36902,6.24885,6.27288,137305.31553
792992700,6.14069,6.34498,6.14069,6.20078,70733.04134
793251900,6.22481,6.22481,5.88834,5.92439,49929.20565
793338300,6.00851,6.24885,6.00851,6.24885,403594.41233
793424700,6.17675,6.29692,6.15271,6.23563,819671.12606
793511100,6.22602,6.48919,6.22602,6.4291,191395.28832
793597500,6.48919,6.60936,6.48919,6.55288,141466.08267
793943100,6.60936,6.60936,6.47116,6.59253,1402178.52529
794029500,6.60936,6.87373,6.60936,6.85811,449362.85084
794115900,6.8497,7.11407,6.8497,7.05399,257967.56252
794202300,7.09004,7.69089,7.09004,7.52265,507613.59076
794461500,7.45055,7.64282,7.39046,7.47098,445202.0837
794547900,7.45055,7.45656,7.27029,7.27029,1360570.85392
794634300,7.28231,7.28231,7.09004,7.09965,45768.43851
794720700,7.12008,7.15012,7.10206,7.10206,58250.73992
794807100,7.16214,7.21021,7.09004,7.18617,312057.5353
795066300,6.96987,6.9939,6.8497,6.85811,807188.82465
795152700,6.9218,6.94583,6.89777,6.90377,79054.57561
795239100,7.13811,7.13811,6.9218,6.9218,54089.97279
795325500,6.7776,6.7776,6.70549,6.72953,66572.2742
795671100,6.72953,6.75356,6.72953,6.73434,37446.90424
795757500,6.6394,6.65743,6.58532,6.58532,45768.43851
795843900,6.53726,6.70549,6.53726,6.63339,66572.2742
795930300,6.66944,6.75356,6.66944,6.74155,49929.20565
796016700,6.61056,6.61056,6.60936,6.60936,20803.83569
796275900,6.48919,6.68146,6.48919,6.61056,62411.50706
796362300,6.60936,6.8497,6.60936,6.7776,245485.26111
796448700,6.8497,6.90377,6.8497,6.89897,424398.24801
796535100,6.96386,6.96987,6.89777,6.9218,120662.24698
796621500,6.93382,6.93382,6.8497,6.86292,49929.20565
796880700,6.87373,6.87373,6.80163,6.83167,20803.83569
796967100,6.82566,6.82566,6.7776,6.82566,70733.04134
797053500,6.89777,7.01794,6.89777,6.94583,58250.73992
797139900,6.96987,6.96987,6.94583,6.96987,37446.90424
797226300,6.98189,7.04197,6.97107,6.97107,108179.94557
797485500,6.96987,6.96987,6.96987,6.96987,16643.06855
797571900,6.90377,6.90377,6.80163,6.87373,83215.34275
797658300,6.8497,6.89777,6.8497,6.87373,24964.60282
798090300,6.96386,6.96386,6.72953,6.91699,278771.3982
798176700,6.89777,6.94583,6.80163,6.80163,520095.89217
798263100,6.78961,6.90978,6.72953,6.85451,653240.44057
798349500,6.72953,6.75356,6.61176,6.61176,58250.73992
798435900,6.60936,6.63339,6.58653,6.58653,45768.43851
798695100,6.63339,6.75957,6.63339,6.65743,153948.38408
798781500,6.36902,6.48919,6.32095,6.41709,120662.24698
