time,open,high,low,close,Volume
915162300,74.579998,75.35,73.6,73.6,9500
915421500,75.0,75.2,74.7,74.7,10500
915507900,73.459998,73.459998,72.0,72.6,31000
915594300,74.45,74.6,74.0,74.0,12000
915680700,77.4,77.4,74.820002,75.0,7000
915767100,75.0,75.979998,73.6,73.6,29000
916026300,75.8,75.8,73.629998,73.629998,25000
916112700,73.1,73.2,69.0,69.9,36500
916199100,70.2,71.990002,70.2,71.259998,8000
916285500,71.0,71.0,69.609998,69.609998,3000
916371900,69.8,70.979998,68.4,68.4,14000
916631100,68.1,69.0,68.020002,69.0,2000
916717500,68.6,71.2,68.6,71.020002,19000
916890300,71.0,72.0,70.0,71.6,26500
916976700,73.0,77.329998,72.25,76.409998,48500
917235900,75.509998,76.0,74.1,75.6,31000
917408700,78.0,80.0,77.8,78.629998,18000
917495100,78.4,78.6,76.029998,76.8,13000
917581500,76.8,82.95,76.8,82.95,49000
917840700,83.6,89.590002,83.3,88.029998,105500
917927100,89.8,89.8,82.209998,84.2,34000
918013500,86.0,88.009998,83.6,88.009998,53500
918099900,88.8,93.0,85.4,93.0,100000
918186300,92.0,100.440002,90.65,100.440002,119000
918445500,100.4,104.580004,96.240002,96.240002,132000
918531900,95.4,95.6,88.6,90.2,74500
918618300,93.6,94.4,91.35,93.690002,70500
918704700,94.970002,101.190002,94.420002,101.190002,66500
918791100,105.180004,109.290002,102.220002,109.290002,150000
919050300,113.4,118.040002,113.0,118.040002,144500
919136700,124.580004,127.490002,121.219996,127.490002,139000
919223100,133.0,137.690002,132.0,137.690002,190500
919309500,147.6,147.8,128.2,137.580004,177000
919395900,136.0,136.0,130.209998,132.380004,52000
919655100,130.0,138.0,122.0,137.0,182000
919741500,132.0,147.959998,132.0,147.959998,385000
919827900,149.019996,159.8,149.019996,159.8,107500
919914300,167.8,172.0,162.4,164.9,255000
920000700,163.019996,163.2,151.709998,151.709998,141500
920259900,162.630004,170.0,154.4,164.8,199000
920432700,174.8,176.0,167.619996,167.85,161500
920519100,168.1,168.1,158.2,160.309998,51000
920605500,160.2,164.940002,160.2,161.6,31500
920864700,159.0,163.8,156.0,158.8,31500
920951100,156.0,160.0,147.219996,152.030004,104500
921037500,145.0,161.0,145.0,159.4,63500
921123900,159.8,167.2,156.8,157.0,68000
921210300,158.0,160.7,157.219996,159.709998,15500
921469500,159.6,162.0,157.0,160.0,28500
921555900,160.780004,160.780004,153.019996,153.019996,21000
921642300,154.4,155.009998,150.0,150.0,23000
921728700,151.980004,151.980004,150.0,150.0,6500
921815100,145.0,151.0,144.0,150.0,23000
922074300,142.2,150.4,142.2,150.0,7500
922160700,145.269996,148.0,141.419996,144.6,24000
922247100,148.2,156.159998,147.980004,155.980004,26500
922333500,152.0,156.4,152.0,156.0,12000
922419900,154.009998,154.009998,153.1,153.5,19000
922765500,153.0,154.6,151.25,153.0,20500
922851900,151.8,158.0,151.8,154.4,12500
922938300,152.9,152.9,151.25,151.8,5000
923283900,156.0,163.95,156.0,160.4,32500
923370300,152.2,152.2,147.569996,147.569996,6000
923456700,136.0,144.0,136.0,138.4,20500
923543100,137.0,137.0,127.35,127.35,15500
923629500,121.0,123.0,117.6,119.0,56000
923888700,117.0,119.1,117.0,118.6,7500
923975100,119.4,123.8,119.2,121.019996,11500
924147900,115.0,115.0,111.35,111.35,5500
924234300,112.0,120.259998,111.6,120.259998,11500
924493500,109.2,120.0,109.0,120.0,7500
924579900,124.0,124.0,118.3,118.4,13000
924666300,119.219996,119.219996,119.219996,119.219996,1000
924752700,114.25,114.25,114.2,114.2,2500
924839100,112.6,116.4,112.6,114.059998,2000
925098300,109.8,109.8,105.0,105.0,3500
925271100,101.05,104.590002,101.020002,104.590002,3500
925357500,107.580004,110.4,107.580004,110.0,5500
925443900,112.0,115.0,112.0,115.0,4500
925703100,112.940002,112.940002,112.940002,112.940002,500
925789500,113.0,117.65,108.219996,117.65,8000
925875900,117.0,120.0,116.0,119.0,9000
925962300,119.780004,127.8,116.85,127.8,19500
926048700,130.0,137.0,123.019996,132.2,18500
926307900,131.0,131.2,131.0,131.2,1500
926394300,131.0,133.0,131.0,133.0,9500
926480700,131.65,131.65,131.4,131.6,5500
926567100,129.0,135.0,129.0,135.0,18000
926653500,136.8,136.8,134.0,136.0,9500
926912700,132.0,136.8,129.2,134.0,18500
926999100,129.25,135.0,129.25,132.2,5000
927085500,134.8,134.8,131.019996,134.0,4000
927171900,133.4,133.4,131.0,131.0,3500
927258300,132.8,132.8,126.659998,126.659998,2000
927517500,124.019996,124.4,123.0,123.0,9500
927603900,120.0,120.2,120.0,120.2,2000
927690300,120.2,121.2,120.2,120.4,6500
927776700,120.4,122.0,120.0,120.2,66000
927863100,120.0,120.0,117.4,117.4,6000
928122300,120.0,121.0,111.0,116.0,6000
928208700,112.040002,112.1,112.009998,112.1,2500
