time,open,high,low,close,Volume
993008700,4.84864331,4.91038325,4.18596764,4.18596764,390185.03588303
993095100,3.86903613,4.52347955,3.85257206,4.3794197,1157532.74281513
993181500,4.47408736,4.47408736,4.02956005,4.11187997,327818.59832937
993440700,4.11599588,4.11599588,3.7826003,3.7826003,183430.69868723
993527100,3.78671621,4.08718407,3.66323633,4.08718407,380333.22815883
993613500,4.10364773,4.10776405,3.80318028,3.83199208,55150.68689007
993699900,3.86903613,3.86903613,3.70439629,3.78671621,68804.7336003
993786300,3.86903613,4.09129999,3.74555625,4.02544413,190913.69937539
994045500,4.31356385,4.31356385,3.86903613,3.914312,7446.557503
994131900,3.81964434,3.82787617,3.78671621,3.78671621,8807.10308266
994218300,3.64265635,3.72497627,3.64265635,3.72497627,7106.42110808
994304700,3.62207637,3.70439629,3.55622052,3.70439629,728.86370339
994391100,3.54798828,3.66323633,3.54798828,3.65912042,96574.44069957
994650300,3.96782011,3.96782011,3.53975646,3.68793223,100826.14563603
994736700,3.61384455,3.74555625,3.61384455,3.65088818,29190.99132089
994823100,3.62207637,3.66323633,3.53975646,3.62207637,35228.41233066
994909500,3.62207637,3.78671621,3.62207637,3.78671621,27879.03665478
994995900,3.70028038,3.70028038,3.66323633,3.68381631,10325.5691314
995255100,3.58091642,3.70851221,3.58091642,3.6303082,11054.43283479
995341500,3.62619229,3.64265635,3.58503233,3.64265635,126664.36392131
995427900,3.66323633,3.66323633,3.62207637,3.65500451,4822.64817078
995514300,3.67146816,3.73732442,3.58091642,3.70439629,44302.7654379
995600700,3.70439629,3.72497627,3.69204814,3.71262812,38265.34442813
995859900,3.45743654,3.45743654,3.45743654,3.45743654,1822.15925848
995946300,3.46566837,3.70028038,3.46566837,3.54387237,3765.79580086
996032700,3.51917648,3.53975646,3.45332063,3.45332063,9863.95545258
996119100,3.46566837,3.52329239,3.35453664,3.39981251,23991.76357002
996205500,3.58091642,3.65088818,3.51094465,3.65088818,26093.32058147
996464700,3.70439629,3.94312422,3.70439629,3.92254424,71185.68836471
996551100,3.95135604,3.95135604,3.78671621,3.83199208,22983.50211366
996637500,3.82787617,3.93489198,3.71674444,3.93489198,67760.02895877
996723900,3.71674444,3.82787617,3.71674444,3.78671621,27939.77529673
996810300,3.82787617,3.91019609,3.79906436,3.80318028,7835.28481147
997069500,3.70439629,4.11599588,3.58091642,3.72909218,27466.01388952
997155900,3.93900789,3.93900789,3.93489198,3.93489198,24.29545678
997242300,3.836108,3.90608017,3.72086036,3.72086036,11540.34197039
997328700,3.95135604,3.992516,3.89373202,3.914312,17237.62658524
997415100,3.95547196,4.15715584,3.95547196,4.0954159,56073.9142477
997674300,4.11599588,4.32179567,3.95958787,3.99663192,22558.33162001
997760700,4.01309598,4.36295563,4.01309598,4.30533161,47206.07252308
997933500,4.44527555,4.44527555,4.2765198,4.28063571,24951.43411282
998019900,4.44527555,4.44527555,4.1983158,4.32179567,33211.88941794
998279100,4.28063571,4.40411559,4.23947576,4.30944752,243379.7382913
998365500,4.30121569,4.34649157,4.24770758,4.31356385,49696.35684301
998538300,4.28063571,4.64284352,4.28063571,4.58933541,102745.48672163
998624700,4.60991539,4.60991539,4.36295563,4.4082315,21695.84290433
998883900,4.44115964,4.70869937,4.36295563,4.36707155,59414.53955492
998970300,4.52759547,4.52759547,4.28063571,4.31767976,22643.36571874
999056700,4.32591159,4.36707155,4.20654762,4.20654762,20529.6609789
999143100,4.11599588,4.34649157,4.11599588,4.28063571,4774.05725722
999229500,4.1983158,4.23535984,4.15715584,4.1983158,7592.33024368
999488700,4.36295563,4.36295563,4.03367596,4.18185173,34208.00314591
999575100,4.28063571,4.28063571,4.11599588,4.15303992,7410.11431783
999661500,4.28063571,4.28063571,3.96782011,3.99663192,16994.67201745
999747900,4.03367596,4.03367596,3.88961611,3.992516,8977.17128012
999834300,3.992516,4.05425594,3.92254424,4.01309598,12633.63752548
1000093500,4.03367596,4.03367596,3.92666015,3.95547196,44898.00412901
1000179900,3.90196426,3.95135604,3.81552802,3.82376025,15391.17186998
1000266300,3.86903613,3.86903613,3.58914824,3.74144034,21756.58154628
1000352700,3.72497627,3.86492021,3.64265635,3.78671621,39783.81047687
1000439100,3.71262812,3.71262812,3.4739006,3.62207637,78838.75725034
1000698300,3.45743654,3.45743654,3.34218849,3.34218849,65852.83560155
1000784700,3.37511662,3.62207637,3.33395666,3.56033644,62475.76710917
1000871100,3.63442453,3.84845615,3.62207637,3.78671621,45736.19738791
1000957500,4.0954159,4.0954159,3.62619229,3.76613623,31948.52566539
1001043900,3.70439629,3.70439629,3.4985965,3.51917648,25668.15008782
1001303100,3.50271241,3.70439629,3.45743654,3.70439629,28243.46850648
1001389500,3.70439629,3.82787617,3.6303082,3.71262812,36188.08287346
1001475900,3.68381631,3.82787617,3.68381631,3.82787617,25048.61593994
1001562300,3.83199208,3.94312422,3.83199208,3.89373202,27879.03665478
1001648700,3.992516,4.23124393,3.992516,4.0954159,62985.97170154
1001907900,4.1983158,4.1983158,3.86903613,3.87315204,20165.22912721
1002080700,3.992516,3.992516,3.86903613,3.87726795,26056.8773963
1002167100,3.93077607,3.93077607,3.80729619,3.82787617,4069.48901061
1002253500,3.80318028,3.80318028,3.78671621,3.78671621,2915.45481357
1002512700,3.91019609,4.07483592,3.87315204,4.00898007,81134.67791603
1002599100,4.03367596,4.19419988,4.03367596,4.04602411,26554.93426028
1002685500,4.04190779,4.24359167,4.04190779,4.17773582,31377.58243107
1002771900,4.23947576,4.44115964,4.1983158,4.29298387,27757.55937088
1002858300,4.36295563,4.52759547,4.1983158,4.35472381,206766.48492419
1003117500,4.43704372,4.59345132,4.42469557,4.55229136,47606.94755995
1003203900,4.93919506,4.96389095,4.77455522,4.82806333,751592.10321043
1003290300,5.02151497,5.02151497,4.60991539,4.63461128,383430.89889825
1003376700,4.84041107,4.93919506,4.46997144,4.4823196,128522.96636496
1003463100,4.56875543,4.56875543,4.34237565,4.38353561,66751.7675024
1003722300,4.52759547,4.6922353,4.52347955,4.59756723,127830.54584673
1003808700,4.60991539,4.76632339,4.52759547,4.70046713,282130.99185502
1003895100,4.70869937,5.07502308,4.6922353,4.8980351,754944.87624603
1003981500,4.8980351,4.97212319,4.77867113,4.8733392,91848.9743559
1004327100,4.73339526,4.85687514,4.6634235,4.69635122,107993.30538606
1004413500,4.67165532,4.88568694,4.63461128,4.85687514,129847.06875946
1004499900,4.85687514,4.8733392,4.79925111,4.85687514,78535.06404059
1004586300,4.8980351,5.08737082,4.85687514,4.93919506,880576.6832542
1004672700,4.98035501,4.98035501,4.77455522,4.82394701,115136.16967931
1004931900,4.79101929,4.84041107,4.53582729,4.71281528,193391.83596693
1005018300,4.77043931,4.77043931,4.57698725,4.58933541,67978.68806978
1005104700,4.57698725,4.57698725,4.42057966,4.44939146,155685.28704474
1005191100,4.44527555,4.77455522,4.36295563,4.42057966,356098.51002102
1005277500,4.68811939,4.68811939,4.36295563,4.39999968,138714.91048407
1005536700,4.44527555,4.58933541,4.44527555,4.53582729,38678.36719339
1005623100,4.3300275,4.52759547,4.3300275,4.47408736,79008.8254478
1005709500,4.52759547,4.60991539,4.52759547,4.56875543,27757.55937088
