time,open,high,low,close,Volume
1119239100,11.6,11.7,10.125,10.415,348700
1119325500,10.63,10.75,10.425,10.545,95720
1119411900,10.57,10.89,10.2,10.285,159490
1119498300,10.49,10.49,9.9,10.17,59930
1119584700,10.25,11.4,10.25,10.73,609650
1119843900,10.9,11.15,10.655,10.77,441550
1119930300,10.8,10.8,10.3,10.33,179170
1120016700,10.3,10.7,10.3,10.655,229170
1120103100,10.785,10.94,10.53,10.74,226480
1120189500,10.99,11.1,10.63,10.775,295400
1120448700,11.1,11.1,10.95,11.045,229960
1120535100,11.15,11.3,10.75,10.845,467300
1120621500,11.0,11.1,10.855,10.96,128040
1120707900,11.0,11.135,10.615,10.715,180160
1120794300,10.8,10.85,10.6,10.775,95810
1121053500,10.16,12.6,10.16,10.905,321450
1121139900,10.95,11.1,10.86,10.995,292790
1121226300,11.0,12.0,10.98,11.57,1994860
1121312700,11.75,11.845,11.3,11.37,766350
1121399100,11.4,11.59,11.27,11.365,411960
1121658300,11.585,11.96,11.46,11.65,1650080
1121744700,11.9,11.9,11.255,11.36,413180
1121831100,11.4,11.55,11.31,11.42,347490
1121917500,11.41,11.57,11.0,11.05,304690
1122003900,11.2,11.38,10.965,11.025,271180
1122263100,11.065,11.19,10.855,10.915,177000
1122349500,10.9,11.0,10.65,10.755,155790
1122435900,10.9,10.935,10.7,10.755,71300
1122608700,10.735,10.88,10.13,10.57,161500
1122867900,10.84,12.5,10.5,10.58,201310
1122954300,11.0,11.1,10.57,10.765,214330
1123040700,10.725,10.97,10.55,10.645,215890
1123127100,10.645,10.8,10.54,10.605,145200
1123213500,10.7,10.7,10.305,10.375,453940
1123472700,10.4,10.4,9.925,10.08,437300
1123559100,9.9,10.35,9.9,10.17,222040
1123645500,10.285,10.41,10.25,10.39,181930
1123731900,10.44,10.545,10.35,10.43,721450
1123818300,10.5,10.6,10.3,10.36,583100
1124163900,10.5,10.595,10.31,10.375,630540
1124250300,10.1,11.1,10.0,10.585,1543050
1124336700,10.7,10.94,10.29,10.335,988250
1124423100,10.4,10.67,10.31,10.38,792760
1124682300,10.57,10.8,10.21,10.305,1174480
1124768700,10.39,10.43,10.015,10.11,604410
1124855100,10.12,10.2,9.8650002,10.02,359690
1124941500,10.35,10.365,10.025,10.14,167740
1125027900,10.23,10.23,10.045,10.125,221660
1125287100,10.125,10.885,10.055,10.325,842940
1125373500,10.47,11.415,10.47,10.87,2690850
1125459900,10.875,11.4,10.875,11.16,2036540
1125546300,11.33,11.6,11.06,11.135,1350860
1125632700,11.265,11.96,11.1,11.575,4326380
1125891900,11.68,11.78,11.305,11.37,1076990
1125978300,11.55,11.695,11.255,11.345,756200
1126151100,11.47,11.775,11.3,11.505,1199890
1126237500,11.565,11.67,11.215,11.275,613950
1126496700,11.45,11.5,11.155,11.205,432630
1126583100,11.35,11.49,11.115,11.195,538370
1126669500,11.2,11.485,10.81,10.9,843540
1126755900,10.97,11.25,10.96,11.115,415120
1126842300,11.225,11.35,11.05,11.105,607150
1127101500,11.2,11.3,11.0,11.045,473980
1127187900,11.14,11.2,10.675,10.785,499760
1127274300,10.71,10.79,10.0,10.355,508770
1127360700,10.39,10.39,9.3599998,9.475,592390
1127447100,9.6,9.95,9.4,9.8150002,598340
1127706300,10.065,10.2,9.9099998,10.16,214880
1127792700,11.39,11.39,10.03,10.25,304350
1127879100,10.25,10.335,10.005,10.12,201760
1127965500,10.24,10.245,9.7199997,9.8099998,568860
1128051900,9.7,9.7,9.2300003,9.4550003,476710
1128311100,9.6,9.6699997,9.4,9.5849998,114590
1128397500,9.6900002,9.9849998,9.5800003,9.8449997,206940
1128483900,9.8,9.9,9.6650002,9.725,177140
1128570300,9.5849998,9.75,9.5,9.6,94330
1128656700,9.65,9.775,9.3599998,9.55,139330
1128915900,9.6900002,9.6900002,9.35,9.375,61080
1129002300,9.25,9.5599998,9.2099998,9.3949997,115260
1129175100,9.3900002,9.5,9.2150002,9.2800003,136110
1129261500,9.3,9.45,8.9199997,9.025,214700
1129520700,9.0099998,9.3,8.7199997,8.9800003,146920
1129607100,8.65,9.2449997,8.2,9.1099998,132500
1129693500,9.0,9.0400002,8.4,8.7699997,257770
1129779900,9.0,9.0,8.0099998,8.4449997,244660
1129866300,8.3300003,8.9,8.15,8.7550003,210900
1130125500,8.9400002,9.25,8.9,9.025,257110
1130211900,9.2,9.2,8.9599998,9.0449997,128030
1130298300,9.1,9.2,8.9,9.0150002,76910
1130384700,8.9900002,9.0150002,8.8,8.95,137200
1130471100,8.85,9.0,8.675,8.9050003,147100
1130730300,9.0,9.075,8.7099998,8.9150002,109910
1130816700,9.0,9.15,8.9150002,9.05,34810
1130903100,8.4099998,9.1,8.4,9.0800003,125510
1131335100,9.2699997,9.3449997,9.1599998,9.2400002,87580
1131421500,9.35,9.7,9.25,9.4800003,203980
1131507900,9.55,9.6449997,9.3199997,9.4199997,117960
1131594300,9.6,9.6,9.2349998,9.4349998,62560
1131680700,9.4849998,9.7,9.4199997,9.5900002,119770
1131939900,9.6599998,9.8,9.65,9.6949997,201130
1132112700,9.7900002,9.85,9.7,9.7599998,114600
1132199100,9.7800003,9.85,9.5349998,9.7849998,89040
1132285500,9.7900002,10.34,9.7900002,10.015,398660
1132544700,10.4,10.4,9.9,10.075,256180
1132631100,9.9,10.09,9.85,9.9650002,76970
1132717500,9.9900002,10.1,9.75,9.8849998,206570
1132803900,9.9050003,10.08,9.9050003,10.005,102850
1132890300,9.8,10.14,9.8,9.875,396770
1133149500,9.875,10.0,9.8,9.8699997,113430
1133235900,9.75,9.8,9.65,9.6699997,101950
1133322300,9.85,9.85,9.5,9.5800003,270930
1133408700,9.5,9.5,9.3599998,9.3699997,219160
1133495100,9.25,9.5,9.25,9.4300003,110150
1133754300,9.5,9.5699997,9.325,9.4199997,297910
1133840700,9.5,9.5,9.175,9.2849998,236460
1133927100,9.4400002,9.5,9.3349998,9.4949997,221600
1134013500,9.4900002,9.5,9.3599998,9.4199997,258120
1134099900,9.5,9.7,9.4150002,9.4400002,1063120
1134359100,9.6,11.33,9.5,11.07,5823770
1134445500,11.285,11.285,10.655,10.855,2505710
1134531900,10.94,11.495,10.81,10.985,2135770
1134618300,11.08,11.475,10.71,10.945,1513170
1134704700,10.8,11.06,10.75,10.87,495930
1134963900,10.95,11.395,10.7,11.255,1457570
1135050300,11.4,11.9,11.13,11.245,2309090
1135136700,11.4,11.47,11.08,11.13,619180
1135223100,11.2,11.79,11.15,11.65,2218720
1135309500,11.75,11.875,11.25,11.31,1476060
1135568700,11.38,11.38,10.835,10.895,706060
1135655100,11.025,11.4,10.81,11.25,915180
1135741500,10.95,11.35,10.95,11.05,353500
1135827900,11.1,11.275,11.0,11.08,284350
1135914300,10.955,11.25,10.91,11.08,294250
1136173500,11.38,11.74,11.15,11.57,805000
1136259900,11.6,12.545,11.6,12.295,6425010
1136346300,12.8,12.8,12.0,12.06,6413560
1136432700,12.11,12.195,11.7,11.795,1271410
1136519100,11.9,12.19,11.71,11.845,1132050
