time,open,high,low,close,Volume
820467900,62.2,62.575,61.805,61.805,11000
820554300,61.805,62.7,61.825,62.465,203500
820640700,62.465,62.35,61.8,62.095,58000
820727100,62.0,62.3,61.9,62.1,111500
820813500,62.1,62.4,61.5,62.0,39500
821072700,62.0,62.15,61.525,62.025,107500
821159100,62.025,62.5,61.8,62.26,114500
821245500,62.26,62.8,62.005,62.705,113500
821331900,62.705,62.8,62.005,62.4,67500
821418300,62.4,62.8,62.4,62.435,57000
821677500,62.435,62.6,62.4,62.4,18500
821763900,62.4,62.7,62.3,62.635,62000
821850300,62.635,63.1,62.4,62.925,139500
821936700,62.925,63.1,62.4,63.0,105500
822023100,63.0,64.42,62.755,63.68,345000
822282300,63.68,63.7,63.125,63.56,65500
822368700,63.56,64.1,63.5,63.65,109500
822455100,63.65,63.5,62.8,63.34,82500
822541500,63.34,63.5,61.6,63.3,136500
822887100,63.3,64.15,62.5,63.875,169000
822973500,63.875,64.5,63.75,64.34,46000
823059900,64.34,64.4,64.0,64.295,84000
823146300,64.295,64.8,64.1,64.795,214000
823232700,64.795,69.9,64.8,65.965,95500
823491900,65.965,69.45,66.3,67.98,216000
823578300,67.98,68.0,65.0,66.915,142000
823664700,66.915,67.2,62.5,67.065,98500
823751100,67.065,69.3,67.1,68.6,163000
823837500,68.6,68.8,67.25,68.245,113000
824096700,68.245,70.3,67.5,69.85,227500
824183100,69.85,71.5,67.89,70.94,219000
824269500,70.94,72.5,70.1,70.6,96000
824355900,70.6,71.8,70.13,71.41,148500
824442300,71.41,71.1,70.3,70.5,177500
824701500,70.5,71.5,69.6,71.085,166500
824787900,71.085,71.14,70.21,70.51,139000
824960700,70.51,72.0,70.225,71.725,118500
825047100,71.725,72.1,71.25,71.94,182000
825306300,71.94,72.0,71.3,71.42,72500
825392700,71.42,71.8,70.8,71.405,123000
825479100,71.405,71.88,71.1,71.495,54000
825565500,71.495,71.2,70.6,70.925,67500
825651900,70.925,71.0,69.515,70.99,80000
825911100,70.99,71.0,69.95,70.67,91000
826083900,70.67,71.5,70.15,70.32,51000
826170300,70.32,70.3,68.0,68.395,129000
826256700,68.395,68.0,66.0,67.05,130500
826515900,67.05,67.5,65.625,67.235,121000
826602300,67.235,69.0,66.85,68.335,205500
826688700,68.335,69.2,67.25,69.155,70500
826775100,69.155,70.185,69.06,69.97,116000
826861500,69.97,70.85,69.63,70.025,293000
