time,open,high,low,close,Volume
1072410300,18.4,39.94,18.4,23.88,99224725
1072669500,24.87,28.66,24.02,28.6,76012820
1072755900,29.05,33.0,29.05,30.179998,101253950
1072842300,30.54,31.86,29.020002,29.61,65094260
1072928700,30.4,30.779998,29.44,30.129998,37308910
1073015100,30.379998,30.479998,29.41,29.629998,26065415
1073274300,29.76,29.929998,27.420002,27.55,35686095
1073360700,27.74,27.74,24.43,24.78,44506885
1073447100,25.0,26.44,24.0,25.81,55632045
1073533500,26.34,26.870002,26.1,26.54,20995245
1073619900,27.0,27.54,25.620002,25.76,20757510
1073879100,25.920002,25.94,25.01,25.21,15500490
1073965500,25.25,25.679998,24.6,24.73,13202745
1074051900,24.82,25.27,24.62,24.72,7474150
1074138300,24.96,25.56,24.5,24.69,14424575
1074224700,24.78,24.8,22.84,22.96,12832555
1074483900,23.18,23.27,21.62,22.55,15126735
1074570300,22.76,23.8,22.1,22.29,14100410
1074656700,22.4,22.4,19.6300004,19.9899994,17729600
1074743100,20.02,20.76,19.3399994,19.7,17520245
1074829500,20.02,21.47,19.7,21.06,14163640
1075175100,21.6,22.0,21.04,21.88,9310320
1075261500,22.05,22.13,20.68,20.9,8245250
1075347900,21.0,21.0,20.4,20.54,5994150
1075434300,20.66,20.74,19.8,19.9399994,5279255
1075779900,20.14,20.14,18.15,18.3399994,8097995
1075866300,18.4,18.5600006,17.7199996,17.9100006,16758175
1075952700,18.0,19.1100006,17.9100006,18.1399994,19562600
1076039100,18.25,18.4399994,18.0399994,18.3199996,8195870
1076298300,18.4800004,18.6,18.3,18.5,6076345
1076384700,18.6199996,19.2600006,18.55,18.8899994,13556325
1076471100,19.0600006,19.1,18.6199996,18.8,5035080
1076557500,18.9800004,20.35,18.7399994,19.9600006,29481520
1076643900,20.2,20.85,19.8600006,20.57,22475595
1076903100,20.67,21.1,20.33,20.54,13851180
1076989500,20.7,20.7,20.12,20.22,6486260
1077075900,20.4,20.66,19.9399994,20.05,7604710
1077162300,20.13,20.33,19.3100006,19.3699996,8460930
1077248700,19.2,19.3100006,18.8,19.05,8050710
1077507900,19.2,19.2800004,18.3800004,18.45,4431685
1077594300,18.4,18.5,18.1100006,18.3699996,5653000
1077680700,18.4800004,18.7,18.0,18.1100006,4060175
1077767100,18.4,18.4800004,17.95,18.0399994,3687125
1077853500,18.1,18.2899994,17.75,18.0100006,3848115
1078112700,18.3600006,18.3600006,18.0,18.15,2884625
1078285500,18.3600006,19.0600006,18.1100006,18.7100006,9570725
1078371900,18.8,19.1800004,18.2699996,18.3600006,7719555
1078458300,18.4199996,18.9199996,18.35,18.7300004,4911920
1078717500,18.7,19.4699996,18.7,19.2600006,9084935
1078803900,19.3,19.35,18.5100006,18.6300004,5116320
1078890300,18.6,18.8899994,18.5,18.75,4537555
1078976700,18.75,18.75,18.05,18.1399994,2921520
1079063100,18.0,18.2,17.7600006,18.0600006,4590965
1079322300,18.1,18.4,17.0,17.3800004,3618215
1079408700,17.0800004,17.0800004,16.2100006,16.35,5573065
1079495100,16.5600006,16.6,16.2399994,16.35,3204790
1079581500,16.7800004,16.7800004,16.05,16.1300004,3363180
1079667900,16.2399994,16.2399994,15.5199996,15.6199996,4302540
1079927100,15.7,15.7800004,14.6199996,14.7199996,4574695
1080013500,14.7,14.7,13.6199996,14.0300004,9022095
1080099900,14.05,14.9600006,13.7600006,14.5100006,9258370
1080186300,14.8,15.3199996,14.5199996,15.0399994,7013800
1080272700,14.6199996,15.5600006,14.6199996,15.2800004,5302660
