time,open,high,low,close,Volume
915162300,32.849998,33.0,32.0,32.950001,31650
915421500,32.75,33.450001,32.150002,32.25,33550
915507900,32.25,32.5,30.549999,32.0,60500
915594300,32.5,32.950001,31.5,32.0,44100
915680700,32.0,32.450001,31.5,31.700001,67450
915767100,32.700001,34.25,31.5,31.9,198150
916026300,33.400002,33.950001,31.9,32.049999,209950
916112700,32.049999,32.5,31.0,31.1,102400
916199100,31.5,32.650002,31.15,31.200001,100900
916285500,31.200001,31.299999,30.6,31.299999,39500
916371900,31.1,31.200001,30.25,30.5,40300
916631100,31.049999,31.1,30.049999,30.9,66650
916717500,31.5,31.5,30.200001,30.25,73750
916890300,30.6,31.5,30.5,31.5,144750
916976700,31.0,31.5,29.950001,30.700001,396100
917235900,30.35,30.5,29.799999,30.299999,199850
917408700,31.0,32.75,30.9,32.75,145800
917495100,35.0,35.400002,32.099998,32.700001,260750
917581500,33.099998,33.400002,32.5,33.299999,92350
917840700,33.0,33.25,31.5,31.5,146150
917927100,31.4,31.5,30.0,30.0,208150
918013500,30.950001,31.0,30.0,30.5,65800
918099900,30.5,31.0,30.1,30.1,27800
918186300,30.1,30.4,28.5,30.0,107700
918445500,30.200001,30.299999,28.950001,30.0,132150
918531900,29.75,29.75,27.700001,29.0,49200
918618300,29.299999,29.4,27.200001,29.4,90400
918704700,29.0,29.200001,27.75,28.0,61150
918791100,28.25,29.5,27.35,29.25,148750
919050300,29.700001,30.15,28.0,28.549999,78700
919136700,28.950001,29.5,28.0,28.25,101000
919223100,28.9,29.5,28.049999,28.700001,52750
919309500,29.0,31.0,28.299999,28.299999,218900
919395900,28.9,29.6,27.5,28.5,234050
919655100,29.200001,30.799999,28.65,29.299999,197450
919741500,28.700001,30.0,28.5,29.700001,124950
919827900,30.6,31.5,27.4,29.0,479950
919914300,29.0,29.4,28.700001,28.75,77450
920000700,28.950001,29.5,28.5,29.5,66700
920259900,28.049999,30.75,27.549999,30.049999,428200
920432700,31.1,32.450001,30.25,31.5,337350
920519100,31.5,32.0,30.299999,30.5,95000
920605500,30.5,31.5,30.0,30.799999,107750
920864700,30.75,30.950001,29.1,29.450001,126600
920951100,29.6,29.700001,28.0,28.299999,107800
921037500,30.25,30.6,29.700001,30.15,89250
921123900,29.25,30.0,29.0,29.1,44450
921210300,29.049999,30.75,28.75,30.75,142700
921469500,30.15,31.0,29.75,29.75,101000
921555900,29.5,29.950001,29.0,29.200001,85350
921642300,29.6,30.0,29.25,29.25,36800
921728700,30.15,30.15,29.0,29.200001,26950
921815100,29.049999,30.049999,29.049999,30.0,47250
922074300,29.25,30.950001,29.0,30.5,107500
922160700,30.5,30.9,29.549999,30.0,146850
922247100,31.0,32.400002,31.0,32.400002,192800
922333500,31.65,35.0,31.25,35.0,239750
922419900,35.450001,35.450001,33.0,33.299999,121350
922765500,33.0,36.0,31.5,36.0,260450
922851900,37.900002,38.900002,36.900002,38.0,352700
922938300,39.0,39.25,36.25,38.900002,274800
923283900,37.0,37.0,35.799999,35.799999,111650
923370300,33.0,36.0,32.950001,34.799999,241400
923456700,35.400002,35.700001,34.0,34.0,71850
923543100,34.5,34.900002,32.5,32.849998,44200
923629500,32.5,33.75,32.0,32.25,81650
923888700,31.15,33.099998,31.1,32.900002,332700
923975100,32.099998,32.900002,31.1,32.0,60000
924147900,29.75,31.85,29.75,31.35,40700
924234300,31.549999,33.900002,31.049999,33.900002,50150
924493500,31.200001,33.599998,30.049999,33.599998,42900
924579900,33.599998,33.599998,31.75,32.099998,71300
924666300,32.75,33.5,32.5,33.0,34600
924752700,32.599998,33.5,31.65,31.65,34900
924839100,31.9,34.200001,31.9,33.0,100600
925098300,31.049999,31.5,30.4,30.4,75600
925271100,28.6,32.799999,28.6,32.349998,48100
925357500,33.349998,33.5,31.799999,32.0,33900
925443900,32.549999,33.5,32.0,33.0,33850
925703100,33.0,33.0,31.0,31.25,25900
925789500,31.1,33.0,31.0,32.400002,56650
925875900,32.400002,33.5,31.200001,32.150002,164000
925962300,32.5,33.299999,32.099998,32.900002,62900
926048700,33.450001,34.0,32.799999,33.25,104100
926307900,33.75,35.950001,33.549999,35.0,320850
926394300,37.0,37.799999,35.099998,37.799999,313650
926480700,39.75,40.299999,35.5,37.5,498450
926567100,38.950001,40.5,38.25,40.5,343350
926653500,43.5,43.75,42.400002,43.75,513050
926912700,46.799999,47.25,41.099998,46.849998,805350
926999100,43.25,49.25,43.25,46.0,467550
