time,open,high,low,close,Volume
915162300,4.95,5.01,4.9325001,4.95,320000
915421500,5.0,5.085,4.97249985,4.975,438000
915507900,4.9325001,5.05,4.9049999,4.95,818000
915594300,5.2,5.3475,5.2,5.3475,1332000
915680700,5.5,5.7775,5.5,5.7775,2442000
915767100,5.9,6.05,5.75,5.9525,2372000
916026300,6.085,6.125,5.8,5.85,2336000
916112700,5.7275,5.85,5.5025,5.5025,2700000
916199100,5.7025,5.835,5.6575,5.735,1042000
916285500,5.735,5.735,5.45,5.515,628000
916371900,5.525,5.65,5.085,5.2225,2100000
916631100,5.6,5.6425,5.3875,5.6425,1926000
916717500,5.7025,5.9,5.5,5.5975,2516000
916890300,5.75,6.0,5.75,5.88,2056000
916976700,5.94,5.9475,5.65,5.7,900000
917235900,5.405,5.7,5.3125,5.425,1470000
917408700,5.8325,5.86,5.7525,5.86,1216000
917495100,5.95,5.95,5.635,5.655,1184000
917581500,5.65,5.7,5.5,5.675,738000
917840700,5.6025,5.65,5.3075,5.3075,600000
917927100,5.3125,5.395,5.075,5.175,1454000
918013500,5.295,5.45,5.2275,5.3225,1598000
918099900,5.375,5.375,5.1875,5.1875,586000
918186300,5.2475,5.2475,5.15,5.2025,468000
918445500,5.155,5.195,5.0,5.005,768000
918531900,4.9674999,5.175,4.90250015,5.15,3582000
918618300,5.165,5.3875,5.1575,5.3,848000
918704700,5.4,5.43,5.155,5.155,498000
918791100,5.1975,5.2375,5.1325,5.225,564000
919050300,5.295,5.5,5.165,5.355,1262000
919136700,5.4225,5.7175,5.305,5.7175,1536000
919223100,5.785,6.175,5.7,5.9725,3626000
919309500,6.1425,6.4,6.0,6.0175,2308000
919395900,5.9,6.085,5.75,5.875,738000
919655100,5.8725,5.985,5.405,5.425,1510000
919741500,5.315,5.5375,5.225,5.465,1612000
919827900,5.5,5.5475,5.41,5.48,506000
919914300,5.38,5.54,5.38,5.4475,432000
920000700,5.405,5.4375,5.25,5.325,438000
920259900,5.8975,6.0,5.75,5.9925,1882000
920432700,6.245,6.4725,6.15,6.35,3582000
920519100,6.3975,6.4199995,6.03,6.16,2124000
920605500,6.235,6.6550005,6.155,6.6550005,1878000
920864700,6.7699995,7.1875,6.7699995,7.1875,1416000
920951100,7.75,7.7625,7.3574995,7.7625,2048000
921037500,8.225,8.385,7.96,8.385,3772000
921123900,8.8449995,8.8449995,7.8675005,7.9425005,3672000
921210300,7.9425005,8.55,7.385,8.4425005,3118000
921469500,8.45,8.45,7.9125,7.9425005,2644000
921555900,7.9300005,8.05,7.7,7.885,3454000
921642300,8.0,8.2,7.8550005,8.0300005,1038000
921728700,8.0,8.4,7.7800005,8.0975,1132000
921815100,8.2,8.2,7.55,7.615,892000
922074300,7.7949995,7.7949995,7.175,7.3275,574000
922160700,7.2550005,7.5,6.8050005,6.95,1002000
922247100,7.15,7.5074995,7.1,7.2,908000
922333500,7.2025,7.2475,7.06,7.1,514000
922419900,7.0800005,7.0800005,6.5324995,6.6525,432000
922765500,6.4949995,6.735,6.255,6.735,762000
922851900,6.95,7.15,6.9,6.915,556000
922938300,7.0,7.05,6.6050005,7.0,354000
923283900,6.6525,6.675,6.44,6.44,976000
923370300,6.3825,6.3825,5.925,6.25,942000
923456700,6.35,6.3875,6.17,6.17,274000
923543100,6.19,6.19,5.96,5.97,190000
923629500,6.0,6.06,5.83,5.8975,328000
923888700,5.85,5.895,5.5575,5.8725,284000
923975100,5.6625,6.1675,5.6625,6.05,372000
924147900,5.9,5.9,5.645,5.7425,224000
924234300,5.725,6.2025,5.725,6.2025,244000
924493500,5.65,6.15,5.6025,6.075,250000
924579900,6.0725,6.095,5.86,6.095,224000
924666300,6.1675,6.245,6.0875,6.105,190000
924752700,6.1475,6.25,5.8275,5.93,172000
924839100,5.9875,6.0225,5.8,5.8475,180000
925098300,5.38,5.545,5.38,5.38,148000
925271100,5.1375,5.2925,5.02,5.2925,320000
925357500,5.3,5.39,5.25,5.38,244000
925443900,5.35,5.5675,5.35,5.555,172000
925703100,5.3775,5.445,5.31,5.3875,86000
925789500,5.3125,5.545,5.3125,5.5,244000
925875900,5.55,5.7,5.5,5.7,314000
925962300,5.7,5.745,5.6,5.655,124000
926048700,5.7225,6.0,5.6525,5.91,336000
926307900,5.9025,6.385,5.9025,6.385,592000
926394300,6.265,6.5,6.265,6.36,412000
926480700,6.4525,6.5475,5.8625,5.95,396000
926567100,6.0725,6.175,5.975,6.16,196000
926653500,6.1825,6.4475,6.1825,6.3,376000
926912700,6.3,6.425,6.11,6.2525,576000
926999100,6.35,6.35,5.755,5.8825,700000
927085500,6.12,6.12,5.9,5.935,1232000
927171900,5.935,6.2,5.84,5.84,826000
927258300,5.9775,5.9775,5.705,5.75,298000
927517500,5.71,5.71,5.5125,5.5325,228000
927603900,5.5,5.6,5.455,5.4625,682000
927690300,5.6475,5.695,5.5,5.585,582000
927776700,5.415,5.615,5.415,5.485,406000
927863100,5.2375,5.385,5.2375,5.3475,396000
928122300,5.545,5.65,5.4025,5.54,346000
928208700,5.5725,5.5725,5.35,5.3525,510000
928295100,5.375,5.3975,5.3,5.3925,944000
928381500,5.35,5.4875,5.35,5.435,284000
928467900,5.3875,5.5,5.3875,5.4475,286000
928727100,5.4475,5.4475,5.3575,5.375,194000
928813500,5.325,5.805,5.305,5.805,760000
928899900,6.2,6.27,5.9,6.1225,1270000
928986300,6.2,6.3875,6.15,6.1525,548000
929072700,6.095,6.1,5.8,5.83,352000
929331900,5.55,5.645,5.3775,5.5225,432000
929418300,5.625,5.7,5.465,5.5175,598000
929504700,5.675,5.8,5.45,5.78,402000
929591100,5.7,5.8,5.68,5.69,192000
929677500,5.7,5.73,5.6575,5.6825,98000
929936700,5.6925,5.815,5.6375,5.7525,230000
930023100,5.7,5.95,5.7,5.9025,448000
930109500,6.0,6.3,5.995,6.15,1128000
930195900,6.1,6.19,5.9,6.0175,622000
930282300,6.0025,6.095,5.95,6.02,626000
930541500,6.125,6.375,6.05,6.3,2252000
930627900,6.295,6.5,6.2,6.415,1884000
930714300,6.6,6.7375,6.305,6.4324995,1092000
930800700,6.35,6.4199995,6.2025,6.2225,638000
930887100,6.125,6.3,6.125,6.2325,378000
931146300,6.35,6.5824995,6.2875,6.5,772000
931232700,6.4550005,6.5550005,6.4550005,6.5225,432000
931319100,6.4574995,6.64,6.4300005,6.575,630000
931405500,6.55,6.6449995,6.525,6.5824995,384000
931491900,6.55,6.9449995,6.5375,6.8625,798000
931751100,6.9949995,7.4125,6.9949995,7.4125,1522000
931837500,7.8949995,7.9449995,7.4,7.5425005,2182000
931923900,7.7,7.75,7.0125,7.2074995,1000000
932010300,7.3,7.3,6.865,6.94,1286000
932096700,7.0,7.0,6.8074995,6.9800005,462000
932355900,6.85,7.4,6.85,7.265,6092000
932442300,7.25,7.4,7.125,7.1775,992000
932528700,7.2,7.7375,7.065,7.5574995,2270000
932615100,7.65,7.6975,7.2525,7.2925005,740000
932701500,7.4,7.4,6.9,7.1425005,936000
932960700,7.15,7.225,6.8574995,7.0199995,1192000
933047100,7.125,7.15,6.8050005,6.8449995,2920000
933133500,7.015,7.2199995,7.0050005,7.0199995,496000
933219900,6.9,7.1699995,6.9,7.0925005,358000
933306300,7.0,7.075,6.815,6.8800005,336000
933565500,7.0,7.0,6.415,6.4675005,260000
933651900,6.4,6.4,6.235,6.2925,554000
933738300,6.375,6.7975,6.3525,6.7699995,484000
933824700,6.85,7.09,6.735,6.76,652000
933911100,6.6949995,7.0,6.615,6.9525,408000
934170300,7.1,7.51,7.025,7.51,574000
934256700,8.0875,8.1125,7.9050005,8.1125,1048000
934343100,7.9699995,8.55,7.875,8.3675005,2296000
934429500,8.44,8.99,8.115,8.2800005,2812000
934515900,8.25,8.4949995,8.0,8.3824995,1326000
934775100,8.5,8.8175005,8.4,8.6475,1810000
934861500,8.8,9.2,8.4,9.1,2074000
934947900,9.7,9.825,8.9,8.9949995,2928000
935034300,9.1,9.1,8.2775,8.3025,1424000
935120700,8.3449995,8.5925005,8.1,8.335,762000
935379900,8.485,8.75,8.35,8.55,1296000
935466300,8.665,8.665,8.1550005,8.2324995,1502000
935552700,8.55,8.75,8.15,8.2449995,1774000
935639100,8.4949995,8.5949995,8.3,8.39,458000
935725500,8.3975,8.4949995,8.1,8.15,440000
935984700,8.0525,8.1925005,7.6025,7.6824995,466000
936071100,7.8225,7.825,7.35,7.6475,1000000
936157500,7.785,7.825,7.55,7.7425005,946000
936243900,7.5675005,7.7824995,7.5675005,7.59,416000
936330300,7.5625,7.6875,7.35,7.41,564000
936589500,7.54,7.54,7.365,7.4625,432000
936675900,7.55,8.06,7.5,8.06,770000
936762300,8.65,8.7050005,8.4,8.7050005,2304000
936848700,8.9949995,9.4025,8.5275,8.9050005,2080000
936935100,8.985,8.985,8.6,8.685,582000
937280700,8.76,8.76,8.4,8.4625,1430000
937367100,8.8,8.825,8.55,8.5800005,686000
937453500,8.5449995,8.55,8.2050005,8.3199995,314000
937539900,8.1574995,8.4225,8.0625,8.115,758000
937799100,8.1949995,8.2125,8.0,8.025,476000
937885500,8.1225,8.1225,7.75,7.8675005,700000
937971900,7.9375,8.4800005,7.935,8.185,1646000
938058300,8.24,8.75,8.24,8.65,2040000
938144700,8.75,9.3425005,8.6300005,8.8525,6664000
938403900,8.9949995,9.25,8.5,8.54,3934000
938490300,8.65,8.7725,8.25,8.6425005,4240000
938576700,8.925,9.335,8.8,9.335,2190000
938663100,10.075,10.0824995,9.5025,9.6475,6808000
938749500,9.41,9.9475,9.25,9.85,4938000
939008700,9.95,10.35,9.3,9.9725,9178000
939095100,10.0975,10.7725,9.8,10.7725,9524000
939181500,11.2449995,11.635,11.1550005,11.5925005,9728000
939267900,12.1,12.5199995,11.75,12.5199995,5550000
939354300,13.4350005,13.5225005,12.8524995,13.5225005,4982000
939613500,14.4350005,14.6050005,14.0,14.5024995,7026000
939699900,14.4949995,15.25,13.5,14.5574995,9110000
939786300,14.5,15.5,14.0,14.9274995,7700000
939872700,14.9,15.4,13.7350005,13.7350005,5052000
939959100,13.0,13.2,12.6375,12.6375,1990000
940218300,11.8800005,12.25,11.6300005,11.675,5580000
940391100,12.3449995,12.61,12.15,12.61,920000
940477500,13.45,13.6,12.31,12.4725,3580000
940563900,12.05,12.25,11.475,11.4824995,2066000
940823100,11.9,11.9975,10.9425005,10.9425005,1516000
940909500,10.6300005,10.9949995,10.1,10.6975,3750000
940995900,11.2,11.25,10.5,10.6925005,2160000
941082300,10.7,10.7125,10.0025,10.2199995,1164000
941168700,10.1625,10.65,9.4074995,9.6875,3366000
941427900,9.25,9.75,8.9125,8.9125,1700000
941514300,8.35,9.6275,8.2,9.6275,3738000
941600700,9.85,10.2300005,9.4525,9.79,3602000
941687100,9.9,10.085,9.4,9.8949995,2036000
941773500,9.7574995,10.6875,9.7,10.6875,4432000
942119100,10.61,11.7199995,10.3050005,11.6525,6300000
942205500,12.35,12.4225,12.05,12.4225,2358000
942291900,12.6,12.95,11.8050005,12.0074995,6138000
942378300,11.85,12.3,11.66,12.16,4416000
942637500,12.25,12.45,11.9,11.9625,2096000
942723900,11.8824995,12.2225,11.815,12.1525,1772000
942810300,12.15,12.24,11.9,11.9,1588000
942896700,11.8550005,11.94,11.6050005,11.74,1312000
