time,open,high,low,close,Volume
783834300,8.84000009,8.94999974,8.72999948,8.94999974,31455.34624355
784179900,8.61999982,8.84000009,8.61999982,8.84000009,17955.19764117
784266300,8.74999993,8.81999963,8.74999993,8.74999993,40455.4453118
784352700,8.72999948,8.72999948,8.72999948,8.72999948,8955.09857291
784439100,8.61999982,8.77000039,8.61999982,8.77000039,17955.19764117
784784700,8.56000036,8.56000036,8.2899999,8.2899999,8955.09857291
784871100,8.61999982,8.67000001,8.56999963,8.61999982,26955.29670942
784957500,8.61999982,8.61999982,8.61999982,8.61999982,4455.04903879
785043900,8.76000016,8.77000039,8.76000016,8.77000039,17955.19764117
785389500,8.77999967,8.84000009,8.72999948,8.72999948,22455.2471753
785475900,8.84000009,8.84000009,8.72999948,8.72999948,8955.09857291
785648700,8.81999963,8.81999963,8.72999948,8.77999967,35955.39577768
785735100,8.94999974,8.94999974,8.84000009,8.84000009,8955.09857291
786253500,8.72999948,8.72999948,8.61999982,8.61999982,26955.29670942
786339900,8.61999982,8.61999982,8.52999967,8.56999963,89955.99018721
786599100,8.60999959,8.64000028,8.55000013,8.55000013,53955.59391419
786685500,8.51000017,8.56000036,8.39999956,8.39999956,22455.2471753
786771900,8.48999971,8.55000013,8.39999956,8.55000013,139456.53506261
786858300,8.43999952,8.51000017,8.42000001,8.51000017,35955.39577768
786944700,8.51000017,8.52999967,8.39999956,8.52000039,53955.59391419
787203900,8.2899999,8.2899999,8.2899999,8.2899999,4455.04903879
787290300,8.39999956,8.39999956,8.19999975,8.22000021,40455.4453118
787376700,8.18000024,8.18000024,8.17000002,8.18000024,35955.39577768
787463100,8.2899999,8.2899999,8.22000021,8.26000017,31455.34624355
787549500,8.26000017,8.35000032,8.26000017,8.32999986,22455.2471753
787808700,8.2899999,8.2899999,8.2899999,8.2899999,40455.4453118
787895100,8.2899999,8.35000032,8.18000024,8.35000032,31455.34624355
787981500,8.26000017,8.26000017,8.24999994,8.24999994,31455.34624355
788067900,8.18000024,8.23999971,8.18000024,8.23999971,22455.2471753
788154300,8.22000021,8.2899999,8.22000021,8.2899999,13455.14810704
