time,open,high,low,close,Volume
937971900,2.61088542,2.61088542,2.55005103,2.61088542,287994.23643437
938058300,2.61671903,2.64171953,2.53338403,2.56755138,725985.47101165
938144700,2.55005103,2.75005504,2.55005103,2.73005463,719985.59108593
938403900,2.75005504,2.87505754,2.68672043,2.72005443,1037979.22714888
938490300,2.6267194,2.68088715,2.5517179,2.57338467,1061978.74685175
938576700,2.63338603,2.77922229,2.63338603,2.77422219,941981.14833743
938663100,2.70005403,2.75005504,2.70005403,2.71588768,731985.35093736
938749500,2.70005403,2.79005567,2.70005403,2.74838817,851982.94945168
939008700,2.66672003,2.75005504,2.66672003,2.66755338,485990.273983
939095100,2.62505253,2.81672304,2.62505253,2.76172194,1103977.90633176
939181500,2.91672504,2.98339304,2.91505817,2.98339304,725985.47101165
939267900,3.16673004,3.22256466,3.16673004,3.22256466,203995.91747435
939354300,3.48090316,3.48090316,3.25923189,3.48090316,3941921.11119547
939613500,3.68340705,3.76007541,3.60590566,3.76007541,1103977.90633176
939699900,4.01674705,4.06091444,3.88341105,4.06091444,1085978.26655461
939786300,4.38258787,4.38592094,4.16675005,4.38592094,503989.91376015
939872700,4.73676163,4.73676163,4.73676163,4.73676163,167996.63792005
939959100,5.11593588,5.11593588,4.63342606,4.90343163,3881922.31193831
940218300,5.2234377,5.29177257,4.76842893,4.971766,3569928.55580107
940391100,5.33344007,5.37010764,5.33260688,5.37010764,1217975.62492037
940477500,5.5817782,5.65011307,5.13426925,5.255105,2639947.16731508
940563900,5.25010507,5.26677207,5.10343563,5.24177157,1385972.26284042
940823100,5.18510393,5.33344007,4.83343006,4.88426425,1013979.70744602
940909500,5.05010106,5.05010106,4.66676006,4.73842799,1733965.29853195
940995900,4.9484322,4.95009906,4.57009163,4.58675863,1097978.02640604
941082300,4.66842693,4.66842693,4.26841892,4.49175656,1325973.46358326
941168700,4.31675306,4.31675306,4.1325827,4.1325827,1139977.18588606
941427900,3.85007705,3.85007705,3.80257593,3.80257593,317993.63606295
941514300,3.53340405,3.74174155,3.49840318,3.68924066,2231955.33236639
941600700,3.81674305,3.98341305,3.70840755,3.79757617,1205975.86506893
941687100,3.75840855,3.84174355,3.55340445,3.80674268,1043979.1070746
941773500,3.63340605,3.93341205,3.63340605,3.84007668,1073978.50670318
942119100,3.8292433,4.00341345,3.73340805,3.90674468,851982.94945168
942205500,3.96674605,4.21925094,3.94341242,4.21925094,773984.51041738
942291900,4.46675606,4.55675769,4.35008706,4.40425481,1403971.90261757
942378300,4.43008849,4.43008849,4.08341505,4.15508315,839983.18960025
942637500,4.20008405,4.20008405,3.96674605,3.9759129,593988.11264589
942723900,3.94174555,4.08341505,3.94174555,3.99674665,1265974.66432609
942810300,3.95007905,4.13341605,3.88507792,3.88507792,623987.51227447
942896700,3.86674405,3.95007905,3.70007405,3.7159077,719985.59108593
