time,open,high,low,close,Volume
915162300,3.3950001,3.3950001,3.3950001,3.3950001,1000
915421500,3.3849998,3.4700001,3.3799999,3.4049999,4000
915507900,3.425,3.475,3.4200001,3.475,6000
915594300,3.45,3.5049999,3.425,3.5049999,47000
915680700,3.5049999,3.5299999,3.5049999,3.5299999,20000
915767100,3.5900002,3.6,3.5900002,3.6,4000
916026300,3.5,3.6299999,3.5,3.5,25000
916112700,3.4549999,3.4549999,3.4,3.4,20000
916199100,3.45,3.5049999,3.45,3.4900002,260000
916285500,3.5200001,3.5299999,3.3,3.3,39000
916371900,3.3049999,3.3049999,3.3049999,3.3049999,1000
916631100,3.3,3.3099998,3.2,3.2,6000
916717500,3.075,3.2599998,3.0,3.0,392000
916890300,3.1,3.1,2.9,2.9,37000
916976700,2.9200001,3.09,2.9,2.9,67000
917235900,3.0,3.015,3.0,3.0,4000
917408700,3.15,3.15,3.05,3.1,29000
917495100,3.3400002,3.3400002,3.15,3.16,9000
917581500,3.15,3.3849998,3.15,3.3849998,17000
917840700,3.3799999,3.3849998,3.2099998,3.3799999,16000
917927100,3.2,3.2950001,3.115,3.125,32000
918099900,3.2400002,3.2400002,3.2400002,3.2400002,125000
918186300,3.2,3.3,3.2,3.3,3000
918445500,3.3,3.3349998,3.3,3.3349998,16000
918531900,3.25,3.2900002,3.25,3.25,149000
918618300,3.125,3.3299999,3.125,3.25,7000
918704700,3.185,3.185,3.0549999,3.1450001,6000
919050300,2.965,2.965,2.9,2.9049999,23000
919136700,2.85,2.85,2.7,2.84,19000
919223100,2.84,2.9049999,2.84,2.9,14000
919309500,2.7,2.9049999,2.7,2.9049999,11000
919395900,3.05,3.1299999,3.0,3.1299999,43000
919655100,3.14,3.2,2.9,2.9,20000
919741500,2.9049999,3.0,2.8,2.8,112000
919827900,2.9,3.0,2.9,3.0,5000
920000700,2.9,3.0,2.86,2.925,10000
920259900,3.0,3.2049999,3.0,3.1200001,190000
920432700,3.2200001,3.3700001,3.2200001,3.3700001,10000
920519100,3.5450001,3.6400002,3.425,3.5,51000
920605500,3.7,3.775,3.4,3.4549999,21000
920864700,3.6,3.6,3.2,3.2,43000
920951100,3.2,3.2,2.9549999,2.96,34000
921037500,2.81,2.9549999,2.8049999,2.85,26000
921123900,2.8299999,2.8299999,2.76,2.76,25000
921210300,2.775,2.8,2.7,2.725,45000
921469500,2.94,2.94,2.94,2.94,7000
921555900,2.9,3.05,2.85,3.035,1047000
921642300,2.9549999,3.1200001,2.8049999,2.8049999,66000
921728700,2.89,3.025,2.89,3.025,782000
921815100,3.2650002,3.2700001,3.15,3.2700001,97000
922074300,3.45,3.4900002,3.3,3.3450001,340000
922160700,3.45,3.5,3.1,3.1,397000
922247100,3.35,3.35,3.35,3.35,4000
922333500,3.4,3.6200001,3.4,3.6200001,37000
922419900,3.8,3.8400002,3.625,3.625,120000
922765500,3.75,3.75,3.3400002,3.5700001,902000
922851900,3.7799999,3.8549999,3.6049999,3.6950001,93000
922938300,3.7,3.7900002,3.6549999,3.75,48000
923283900,3.4599998,3.5900002,3.4549999,3.4549999,72000
923370300,3.4400002,3.4400002,3.2,3.3900002,55000
923456700,3.4450001,3.4450001,3.35,3.3900002,18000
923543100,3.5,3.5,3.2599998,3.3900002,4000
923629500,3.2,3.4299999,3.2,3.3,27000
923888700,3.25,3.4,3.2150002,3.325,11000
923975100,3.35,3.425,3.3150002,3.4,19000
924147900,3.2049999,3.2049999,3.175,3.2,8000
924234300,3.2900002,3.3450001,3.2900002,3.3450001,3000
924493500,3.3,3.3,3.0200001,3.0200001,34000
924579900,3.01,3.05,2.975,2.975,15000
924666300,3.2,3.2,3.01,3.025,12000
924752700,3.25,3.25,3.25,3.25,1000
924839100,3.0,3.1,3.0,3.1,11000
925271100,2.95,2.95,2.8549999,2.8549999,3000
925357500,2.7299999,2.86,2.65,2.7,280000
925443900,2.8,2.85,2.7950001,2.8,11000
925703100,2.75,2.7700001,2.71,2.7700001,6000
925789500,2.825,2.825,2.7,2.7,9000
925875900,2.85,2.85,2.7549999,2.7549999,13000
925962300,2.8,2.9,2.8,2.9,17000
926048700,2.8299999,2.8299999,2.7299999,2.7950001,42000
926307900,2.7450001,2.7450001,2.585,2.585,80000
926394300,2.65,2.7,2.64,2.6799999,103000
926480700,2.75,2.875,2.7,2.7,227000
926567100,2.775,2.8,2.66,2.735,126000
926653500,2.7200001,2.7200001,2.6799999,2.7,93000
926912700,2.775,2.8950001,2.7,2.7950001,314000
926999100,2.825,3.0,2.8,3.0,172000
927085500,3.2,3.2400002,3.06,3.2349998,201000
927171900,3.0,3.375,3.0,3.35,157000
927258300,3.15,3.1799999,3.1,3.1,57000
927517500,3.0,3.0,2.875,2.9,87000
927603900,2.8950001,3.0,2.8,2.8700001,77000
927690300,2.91,2.975,2.9,2.975,15000
927776700,2.95,3.025,2.95,3.01,16000
927863100,2.925,2.9299999,2.81,2.9,11000
928122300,2.925,2.925,2.74,2.75,63000
928208700,2.8200001,2.8200001,2.765,2.765,24000
928295100,2.89,2.9,2.8,2.9,8000
928381500,2.9,2.9,2.6799999,2.685,36000
928467900,2.8200001,2.8200001,2.6,2.6700001,203000
928727100,2.66,2.7,2.6200001,2.6450001,58000
928813500,2.7,2.71,2.61,2.65,47000
928899900,2.7200001,2.75,2.7,2.715,70000
928986300,2.71,2.75,2.6799999,2.725,28000
929072700,2.7700001,2.7700001,2.7,2.7,18000
929331900,2.575,2.575,2.5,2.525,46000
929418300,2.51,2.575,2.5,2.5049999,75000
929504700,2.6200001,2.625,2.525,2.625,16000
929591100,2.65,2.65,2.6,2.6,5000
929677500,2.6200001,2.6299999,2.615,2.625,22000
929936700,2.66,2.66,2.5299999,2.6,6000
930023100,2.6,2.6450001,2.6,2.6,18000
930109500,2.675,2.675,2.635,2.6700001,23000
930195900,2.6450001,2.675,2.6,2.61,32000
930282300,2.515,2.625,2.515,2.6,15000
930541500,2.5549999,2.59,2.55,2.5700001,20000
930627900,2.59,2.635,2.55,2.6049999,43000
930714300,2.65,2.675,2.6049999,2.6049999,19000
930800700,2.725,2.725,2.6,2.685,5000
930887100,2.65,2.69,2.65,2.69,2000
931146300,2.7,2.8299999,2.69,2.8200001,26000
931232700,2.8,2.95,2.8,2.89,52000
931319100,2.9,2.975,2.7,2.84,23000
931405500,2.935,2.935,2.8450001,2.9299999,47000
931491900,2.9,3.0,2.86,2.89,77000
931751100,3.075,3.125,2.9950001,3.125,54000
931837500,3.1,3.1,2.95,3.025,60000
931923900,3.1299999,3.1299999,3.0,3.0549999,126000
932010300,3.0950001,3.1450001,3.04,3.0549999,60000
932096700,3.04,3.075,3.0,3.0450001,35000
932355900,3.0,3.2299999,2.9549999,3.135,128000
932442300,3.1,3.1,2.965,3.035,43000
932528700,2.9,3.0799999,2.8200001,2.885,105000
932615100,2.9049999,2.9450001,2.9,2.9,10000
932701500,2.95,2.9549999,2.9,2.91,31000
932960700,2.7049999,2.7200001,2.685,2.7,87000
933047100,2.7,2.7,2.625,2.66,30000
933133500,2.6,2.84,2.6,2.84,32000
933219900,2.9950001,3.0700001,2.96,3.0,88000
933306300,2.815,3.2400002,2.815,3.085,184000
933565500,3.2700001,3.2799999,3.15,3.1950001,102000
933651900,3.01,3.04,2.94,2.94,114000
933738300,2.9950001,3.1,2.84,2.85,66000
933824700,2.94,2.94,2.86,2.8799999,14000
933911100,2.99,3.0,2.7799999,2.7950001,181000
934170300,2.81,2.8950001,2.8,2.8,75000
934256700,2.75,2.94,2.75,2.85,97000
934343100,2.95,2.985,2.85,2.9049999,278000
934429500,3.0,3.14,3.0,3.14,261000
934515900,3.25,3.3950001,3.25,3.3950001,67000
934775100,3.6650002,3.6700001,3.5950001,3.6650002,482000
934861500,3.75,3.95,3.6,3.8599998,315000
934947900,4.1,4.1700001,4.0,4.1700001,404000
935034300,4.2900002,4.2900002,3.8400002,3.8400002,140000
935120700,3.9299999,3.9400002,3.5700001,3.6650002,147000
935379900,3.4099998,3.7849998,3.4099998,3.625,252000
935466300,3.4150002,3.9099998,3.4,3.7599998,2063000
935552700,3.9549999,3.9549999,3.9549999,3.9549999,123000
935639100,4.1799999,4.2700001,3.9900002,4.0,783000
935725500,4.0799999,4.1,3.7099998,4.075,618000
935984700,4.25,4.25,3.9799999,4.0099998,310000
936071100,4.05,4.05,3.9,3.9700001,111000
936157500,3.9799999,4.025,3.9,3.9549999,44000
936243900,3.9,4.0,3.8,3.8400002,186000
936330300,3.9,3.95,3.7799999,3.8549999,507000
936589500,3.8150002,3.925,3.7599998,3.9,135000
936675900,3.9900002,4.0799999,3.9900002,4.0599998,320000
936762300,4.0900002,4.1900002,4.0700001,4.1099998,192000
936848700,4.1099998,4.4400002,4.1099998,4.4049999,661000
936935100,4.5,4.55,4.225,4.4150002,384000
937280700,4.65,4.65,4.3,4.3950001,246000
937367100,4.4900002,4.5150002,4.3650002,4.3950001,332000
937453500,4.2,4.35,4.0700001,4.075,159000
937539900,4.0,4.1200001,3.9599998,4.1,83000
937799100,4.0700001,4.0700001,3.8,3.8299999,133000
937885500,3.6,3.8900002,3.525,3.6299999,280000
937971900,3.4099998,3.8,3.4099998,3.7450001,248000
938058300,3.75,3.8400002,3.65,3.8200001,61000
938144700,3.55,3.825,3.55,3.5549999,79000
938403900,3.6849998,3.7,3.5099998,3.7,75000
938490300,3.4549999,3.7349998,3.4549999,3.6900002,155000
938576700,3.85,3.875,3.75,3.8650002,162000
938663100,3.9,3.9349998,3.75,3.7849998,77000
938749500,3.75,3.7799999,3.6400002,3.7,32000
939008700,3.65,3.8,3.5150002,3.75,115000
939095100,3.65,3.9,3.625,3.8799999,190000
939181500,4.1,4.1900002,4.0400002,4.1049999,213000
939267900,4.3650002,4.4349998,4.2349998,4.4349998,219000
939354300,4.725,4.7900002,4.5450001,4.7400002,389000
939613500,4.85,5.1200001,4.85,5.1200001,413000
939699900,5.5,5.5299999,5.1150002,5.5049999,469000
939786300,5.9,5.9450001,5.5,5.8849998,372000
939872700,6.1,6.35,5.5,5.5099998,255000
939959100,5.3099998,5.5,5.1,5.15,144000
940218300,5.0,5.4,4.7799999,4.9849998,248000
940391100,5.35,5.3849998,5.35,5.3849998,19000
940477500,5.8150002,5.8200001,5.3,5.6349998,419000
940563900,5.65,6.0,5.4150002,5.575,244000
940823100,6.0150002,6.0150002,5.3400002,5.3799999,271000
940909500,5.5,5.5,5.2,5.2900002,220000
940995900,5.6450001,5.6450001,5.1400002,5.1849998,191000
941082300,5.0200001,5.0849998,4.8150002,4.975,94000
941168700,4.8599998,4.8599998,4.5799999,4.5900002,126000
941427900,4.7,4.7,4.225,4.25,127000
941514300,4.025,4.5900002,3.9299999,4.5900002,162000
941600700,4.7900002,4.9599998,4.5,4.5150002,201000
941687100,4.7700001,4.7700001,4.4299999,4.5,55000
941773500,4.3,4.75,4.3,4.7299999,54000
942119100,4.7,4.7,4.6,4.6849998,93000
942205500,4.7150002,4.9900002,4.7150002,4.9700001,77000
942291900,4.9900002,4.9900002,4.75,4.9200001,39000
942378300,5.0,5.0,4.75,4.7849998,67000
942637500,4.6,4.7900002,4.6,4.7,38000
942723900,4.7,4.7099998,4.6,4.6150002,63000
942810300,4.6,4.7400002,4.6,4.7,32000
942896700,4.9400002,4.9400002,4.65,4.7849998,112000
942983100,4.75,4.8,4.6099998,4.7299999,33000
943242300,4.7099998,4.8,4.5099998,4.6299999,100000
943415100,4.7299999,4.75,4.6549999,4.6799999,17000
943501500,4.75,4.75,4.5,4.5,32000
943587900,4.475,4.6,4.45,4.475,18000
943847100,4.45,4.525,4.45,4.4900002,27000
943933500,4.7,4.85,4.675,4.85,64000
944019900,5.2400002,5.2400002,5.1049999,5.2400002,101000
944106300,5.5900002,5.6599998,5.3,5.5200001,295000
944192700,5.8599998,5.8599998,5.3,5.3049999,108000
944451900,5.6,5.6,5.25,5.325,122000
944538300,5.45,5.45,5.15,5.2200001,163000
944624700,5.225,5.3849998,5.0,5.025,120000
944711100,5.0,5.1,4.9400002,5.0,43000
944797500,5.2900002,5.2900002,4.8,4.8849998,115000
945056700,5.1,5.1,4.675,4.975,70000
945143100,4.9,5.375,4.9,5.375,111000
945229500,5.8049999,5.8049999,5.8049999,5.8049999,63000
945315900,6.2700001,6.2700001,6.2700001,6.2700001,58000
945402300,6.775,6.775,6.775,6.775,64000
945661500,7.3199997,7.3199997,7.3199997,7.3199997,37000
945747900,7.9099998,7.9099998,7.9099998,7.9099998,153000
945834300,8.5449997,8.5449997,8.5449997,8.5449997,200000
945920700,9.0,9.2300003,8.35,9.025,672000
946007100,8.5,9.0,8.3050003,8.6050003,549000
946266300,8.2,9.2949997,8.2,8.9150002,1198000
946352700,9.0,9.6300003,8.8050003,9.6300003,948000
946439100,10.4,10.4,10.15,10.4,233000
946525500,11.235,11.235,11.175,11.235,303000
946871100,12.135,12.135,12.135,12.135,215000
946957500,13.1,13.110001,11.6,12.960001,849000
947043900,12.8,12.8,11.925,11.925,539000
947130300,12.1,12.1,10.975,10.98,394000
947216700,10.81,10.81,10.105,10.205,182000
947475900,10.8,11.025,10.8,11.025,208000
947562300,11.9,11.91,10.2,10.605,802000
947648700,10.3,11.455,10.3,11.0,354000
947735100,11.38,11.4,10.61,10.74,250000
947821500,10.9,11.1,10.5,10.605,247000
948080700,11.1,11.455,11.0,11.43,360000
948167100,11.0,11.5,10.89,11.055,323000
948253500,11.77,11.9,11.3,11.5,262000
948339900,11.65,11.74,10.9,10.98,181000
948426300,10.85,11.4,10.525,10.86,213000
948685500,10.99,10.99,9.9949997,9.9949997,194000
