time,open,high,low,close,Volume
1143085500,75.679998,88.2,73.120002,75.2,1407540
1143171900,75.779998,80.4,74.6,76.55,663175
1143431100,77.0,78.959998,76.3,76.520002,75190
1143517500,78.0,78.9,75.0,75.709998,54835
1143603900,74.429998,76.85,74.4,75.05,89665
1143690300,77.529998,78.4,73.0,73.820002,132655
1143776700,74.0,76.4,72.2,73.8,116515
1144035900,74.009998,77.0,72.0,76.020002,67605
1144122300,74.6,77.8,74.6,76.940002,23590
1144208700,78.0,82.879998,76.6,80.059998,343020
1144381500,81.0,81.5,75.6,76.570002,95380
1144640700,78.209998,91.890002,78.209998,90.670002,848325
1144813500,92.029998,105.4,87.0,97.809998,1888935
1144899900,99.0,100.6,88.0,94.420002,508105
1145245500,92.2,104.8,92.2,102.840002,1466095
1145331900,104.580004,104.580004,94.8,95.770002,1088710
1145418300,97.540002,97.540002,90.4,90.990002,293405
1145504700,93.159998,95.579998,91.8,92.979998,188240
1145591100,94.8,98.2,94.0,94.759998,232605
1145850300,96.75,99.6,95.0,98.059998,259510
1145936700,99.2,99.2,95.0,95.690002,238790
1146023100,97.8,97.8,93.990002,94.879998,162080
1146109500,96.779998,96.779998,93.0,94.279998,40625
1146195900,91.4,93.4,82.6,86.779998,85100
1146541500,92.8,94.0,89.2,90.179998,26930
1146627900,91.4,92.0,86.0,87.4,74975
1146714300,88.4,90.379998,86.0,86.659998,83195
1146800700,87.029998,88.959998,86.020002,87.25,85725
1147059900,89.0,89.359998,86.620002,88.190002,95565
1147146300,89.0,89.4,80.109998,81.759998,108695
1147232700,82.0,86.979998,80.520002,81.720002,173335
1147319100,83.479998,83.479998,80.0,81.029998,90000
1147405500,81.959998,93.329998,81.2,88.070002,602350
1147664700,88.0,91.8,79.509998,81.370002,549690
1147751100,83.6,89.8,82.0,85.340002,1183055
1147837500,88.0,90.0,86.4,87.729998,314675
1147923900,86.8,86.8,79.220002,82.85,633830
1148010300,87.8,88.0,76.0,76.440002,182880
1148269500,83.4,83.6,61.240002,71.090002,92900
1148355900,65.4,85.309998,65.2,85.020002,95280
1148442300,82.4,87.8,78.0,79.170002,98295
1148528700,77.570002,79.0,72.2,78.15,53355
1148615100,81.6,82.8,78.0,79.290002,74230
1148874300,79.8,81.390002,75.029998,75.4,69980
1148960700,78.1,78.990002,75.8,76.979998,61630
