time,open,high,low,close,Volume
1191469500,40.8,52.6,40.8,46.19,53598110
1191555900,46.2,47.2,40.020002,41.76,8622725
1191815100,42.0,42.76,35.64,37.51,5860535
1191901500,33.0,39.34,33.0,38.51,4486775
1191987900,39.59,41.96,38.4,40.970002,2141845
1192074300,40.8,43.320002,40.1,42.770002,983505
1192160700,41.85,44.64,41.629998,42.2,1351915
1192419900,42.25,44.0,42.220002,42.74,415255
1192506300,42.8,43.4,40.6,41.720002,374640
1192592700,35.020002,40.0,35.020002,38.979998,337975
1192679100,40.24,46.59,39.529998,42.120002,1466880
1192765500,43.979998,49.0,39.0,39.870002,518110
1193024700,39.6,43.0,38.920002,40.65,512835
1193111100,40.8,44.4,40.8,43.570002,548170
1193197500,44.74,44.8,41.71,42.2,278430
1193283900,42.04,43.970002,42.04,43.64,231250
1193370300,43.8,46.3,43.0,45.170002,786680
1193629500,45.9,47.4,45.25,46.36,649270
1193715900,46.9,48.2,44.029998,45.05,495320
1193802300,45.2,46.370002,42.4,42.89,165520
1193888700,44.0,44.0,41.21,41.379998,489100
1193975100,40.44,43.74,38.79,42.070002,172555
1194234300,42.0,42.6,40.5,41.370002,258795
1194320700,42.0,42.0,38.24,40.2,452170
1194407100,41.0,42.76,41.0,42.2,182960
1194493500,41.0,42.19,40.620002,41.570002,73870
1194579900,43.0,43.0,41.520002,42.0,30920
1194839100,40.59,42.6,40.0,42.270002,190660
1194925500,43.0,44.16,42.4,43.65,214760
1195011900,45.8,45.8,43.8,44.070002,228665
1195098300,43.979998,44.179998,43.2,43.71,152745
1195184700,44.0,46.8,43.2,45.55,494380
1195443900,46.4,48.0,46.4,46.879998,425480
1195530300,46.6,50.7,46.04,50.21,537495
1195616700,50.8,50.8,47.8,48.6,239440
1195703100,48.4,52.340002,46.6,50.529998,713045
1195789500,50.6,51.7,48.46,49.89,110085
1196048700,50.0,53.2,50.0,52.479998,338130
1196135100,52.670002,52.959998,50.8,52.640002,137280
1196221500,53.0,54.759998,52.020002,53.820002,106875
1196307900,53.95,55.2,52.2,52.470002,183570
1196394300,52.8,55.4,43.070002,54.290002,184325
1196653500,52.590002,55.940002,52.590002,53.920002,52650
1196739900,55.0,63.0,53.6,61.279998,400255
1196826300,61.2,62.990002,58.8,61.429998,99020
1196912700,61.040002,73.720002,61.040002,73.459998,0
1196999100,74.2,75.2,68.840002,72.290002,478425
1197258300,72.0,74.8,71.0,72.329998,316245
1197344700,72.9,73.6,69.0,70.079998,197505
1197431100,69.970002,69.979998,67.8,68.040002,33080
1197517500,68.4,69.4,62.6,64.029998,0
1204256700,62.979998,63.159998,58.0,62.129998,78540
1204515900,61.4,65.240002,60.0,61.820002,263475
1204602300,62.8,62.8,58.729998,58.729998,42295
1204688700,58.8,60.6,56.0,59.679998,84510
1204861500,58.6,60.0,56.709998,58.659998,92100
1205120700,54.0,60.0,52.820002,58.479998,38935
1205207100,55.009998,60.770002,55.009998,59.0,43965
1205293500,61.0,61.0,58.0,58.190002,26505
1205379900,56.120002,59.590002,56.0,56.0,4825
1205466300,56.0,59.95,54.0,58.420002,25545
1205725500,54.8,57.6,53.220002,56.8,24180
1205811900,55.009998,58.0,53.0,56.990002,484540
1205898300,59.6,59.6,51.4,57.509998,534750
1206330300,55.0,57.8,54.8,56.679998,181080
1206416700,58.0,58.0,54.659998,56.279998,146345
1206503100,57.559998,57.559998,54.0,54.379998,364920
1206589500,55.0,56.0,51.6,53.940002,663945
1206675900,56.0,57.6,54.420002,56.859998,91995
1206935100,52.4,58.359998,52.1,55.979998,92215
1207021500,56.0,56.0,54.7,56.0,116180
1207107900,55.2,56.0,53.659998,55.3,302915
1207194300,50.720002,55.779998,50.720002,54.15,8965
1207280700,55.0,57.0,52.620002,53.5,82265
1207539900,55.5,57.0,53.2,53.709998,36735
1207626300,54.0,54.0,52.6,52.729998,4370
1207712700,51.470002,54.890002,51.420002,53.009998,7160
1207799100,51.4,53.2,51.4,53.2,3485
1207885500,53.590002,53.590002,52.0,53.2,365
1208231100,53.0,53.0,52.2,52.279998,1160
1208317500,53.379998,53.8,52.609998,53.390002,8940
1208403900,54.0,54.9,54.0,54.879998,36580
1208749500,57.990002,60.359998,56.0,57.179998,13030
1208835900,59.8,59.8,54.809998,56.05,68970
1208922300,56.0,57.6,56.0,57.590002,32600
1209008700,56.059998,59.0,56.0,57.8,45560
1209095100,60.0,60.0,58.0,58.590002,63475
1209354300,58.0,62.8,57.0,60.4,56365
1209440700,61.3,62.979998,61.0,61.159998,7990
1209527100,61.009998,62.4,60.3,61.8,787290
1209699900,61.420002,62.0,59.970002,60.0,28975
1209959100,58.309998,60.0,58.309998,58.7,4170
1210045500,59.0,59.6,59.0,59.0,5700
1210131900,59.379998,59.379998,56.720002,58.0,1395
1210218300,57.4,57.4,57.4,57.4,590
1210304700,56.220002,59.4,56.220002,56.3,4095
1210563900,56.0,59.979998,56.0,58.870002,3690
1210650300,59.8,60.0,56.779998,56.85,7625
1210736700,62.0,62.0,56.0,58.940002,29775
1210823100,59.7,59.7,57.209998,58.520002,1430
1210909500,57.0,59.0,56.640002,57.729998,4655
1211255100,58.4,59.359998,56.2,57.5,33565
1211341500,58.570002,59.2,56.5,58.859998,105080
1211427900,59.0,59.4,56.859998,58.309998,29715
1211514300,57.409998,59.2,56.709998,58.9,12855
1211773500,59.0,59.8,56.2,59.1,44060
1211859900,59.0,59.0,57.220002,58.429998,85905
1211946300,55.8,59.0,55.8,58.9,13230
1212032700,60.0,60.0,56.0,57.0,31015
1212119100,57.2,58.0,55.420002,57.090002,12060
1212378300,56.009998,58.0,53.4,56.870002,18680
1212464700,51.270002,57.45,51.0,57.05,12830
1212551100,57.2,57.2,55.0,55.820002,13630
1212637500,54.0,57.75,45.14,55.620002,39265
1212723900,52.7,56.740002,52.0,54.009998,4945
1212983100,52.4,56.5,46.4,55.320002,4760
1213069500,57.279998,57.279998,54.0,55.209998,5965
1213155900,52.509998,56.8,52.509998,56.4,26550
1213242300,53.8,55.890002,53.320002,54.840002,1450
1213328700,54.0,56.8,54.0,56.040002,19070
1213587900,57.0,57.179998,55.820002,56.509998,20225
1213674300,55.309998,57.4,55.309998,56.679998,54880
1213760700,54.829998,57.2,54.829998,56.390002,5395
1213847100,56.0,56.0,54.0,55.490002,8585
1213933500,53.6,55.0,52.520002,54.820002,2780
1214192700,52.2,56.7,50.420002,53.0,7820
1214279100,52.0,53.8,46.25,51.920002,36170
1214365500,49.020002,52.0,48.06,51.559998,8400
