time,open,high,low,close,Volume
957930300,6.39138474,6.55251207,6.39138474,6.55251207,2321.472
958016700,6.44509385,6.44509385,6.03153388,6.29470794,4648.08
958103100,6.24099883,6.24099883,6.06913006,6.0798715,2786.28
958362300,6.17654829,6.2302574,6.17654829,6.20340265,1856.664
958448700,6.21951558,6.21951558,5.8005845,5.88651869,2786.28
958535100,6.19803193,6.19803193,6.19803193,6.19803193,459.672
958621500,6.2302574,6.6599303,6.17654829,6.55251207,5580.264
958707900,6.33767562,6.33767562,6.0369046,6.2302574,5112.888
958967100,6.2302574,6.2302574,5.81132593,6.07450078,4180.704
959053500,6.01542095,6.01542095,5.74687539,5.74687539,10236.048
959139900,5.72002064,5.85429361,5.69316628,5.69853699,14889.264
959226300,5.7952134,5.90263162,5.69853699,5.80595522,6977.256
959312700,5.90263162,6.06913006,5.90263162,5.96171184,7442.064
959571900,5.58574805,5.90800273,5.58574805,5.8381803,6977.256
959658300,5.81132593,5.90800273,5.69316628,5.72539136,17215.872
959744700,6.01542095,6.01542095,5.82206815,5.99930802,10236.048
959831100,5.81132593,6.01542095,5.8005845,6.01004984,11627.904
959917500,6.01542095,6.0369046,5.96171184,6.01542095,13489.704
960176700,6.3269338,6.33767562,6.01542095,6.12283917,18615.432
960263100,6.20340265,6.33767562,5.96708255,6.25174104,13027.464
960349500,5.92411565,6.28396651,5.90800273,6.06913006,12557.52
960435900,6.12283917,6.25711176,6.07450078,6.14969354,7442.064
960522300,5.97245327,6.17654829,5.96171184,6.17654829,15818.88
960781500,6.2302574,6.2302574,5.82743886,5.90800273,21871.656
960867900,5.82206815,6.21951558,5.82206815,6.01542095,7442.064
960954300,6.12283917,6.3269338,6.12283917,6.18728972,26060.064
961040700,6.55251207,6.68678466,6.25711176,6.68678466,15818.88
961127100,7.08960319,7.19164992,6.74049377,7.03052259,75863.856
961386300,7.40111604,7.59446846,7.08960319,7.57835631,78657.84
961472700,7.73411254,8.18526869,7.73411254,7.9972866,96811.032
961559100,8.37862188,8.63642562,8.27120366,8.63642562,153132.408
961645500,8.70087656,8.86200389,8.37862188,8.59882944,141029.424
961731900,8.48604011,8.70087656,7.9113528,7.91672313,82378.872
961991100,7.51927609,7.84153076,7.3366655,7.47093808,65625.24
962077500,7.73411254,7.73411254,7.30443964,7.3259229,75863.856
962163900,7.41185787,7.41185787,7.11108645,7.21850467,12557.52
962250300,7.25073053,7.41185787,7.08960319,7.331294,23263.512
962336700,7.19702142,7.39574494,7.01978115,7.39574494,27451.92
962595900,7.39037461,7.51927609,6.83179907,6.90699221,43281.072
962682300,6.77808995,7.06811955,6.68678466,6.82642835,13489.704
962768700,7.11645755,7.11645755,6.57936643,6.84791199,40019.712
962855100,6.71363941,6.76197741,6.60622118,6.6115919,20474.664
962941500,6.55788279,6.87476674,6.44509385,6.55251207,45145.44
963200700,6.6599303,6.6599303,6.55251207,6.55251207,22803.84
963287100,6.60622118,6.64918847,6.52565732,6.568625,65157.864
963373500,6.7566067,6.86402492,6.61696262,6.85865382,39560.04
963459900,6.58473715,6.98218497,6.58473715,6.77808995,33507.264
963546300,6.7082683,6.81031581,6.6599303,6.81031581,16745.928
963805500,6.82105763,6.82105763,6.44509385,6.47731893,52590.072
963891900,6.55251207,6.64381737,6.12820989,6.31619159,67019.664
963978300,6.63307555,6.82105763,6.63307555,6.76734852,106587.408
964064700,6.67067173,6.86402492,6.50954439,6.77271924,134047.032
964151100,7.03052259,7.03052259,6.76734852,6.78883217,63293.496
964410300,6.62233411,6.76197741,6.62233411,6.66530101,43281.072
964496700,6.60622118,6.70289759,6.57936643,6.67604322,27451.92
964583100,6.6599303,6.76734852,6.6599303,6.68678466,10236.048
964669500,6.63844626,6.68678466,6.55251207,6.5632535,18148.056
964755900,6.76734852,6.76734852,6.55251207,6.76734852,40954.464
965015100,6.66530101,6.82105763,6.60622118,6.72438084,34906.824
965101500,6.62233411,6.63307555,6.5632535,6.59547936,21404.28
965187900,6.76734852,6.76734852,6.55251207,6.59547936,21404.28
965274300,6.65455919,6.6599303,6.44509385,6.49880296,34906.824
965360700,6.62770483,6.62770483,6.24637033,6.33767562,23733.456
965619900,6.2302574,6.35915927,6.2302574,6.30007944,29783.664
965706300,6.16580646,6.2302574,6.02616238,6.0798715,51195.648
965792700,6.33767562,6.33767562,6.02616238,6.18728972,28854.048
965879100,6.12283917,6.26785358,6.02616238,6.0369046,38627.856
965965500,5.6501986,6.12283917,5.6501986,6.10135514,11627.904
966224700,6.01542095,6.12283917,5.97245327,6.09598442,29783.664
966397500,6.17654829,6.17654829,6.04227531,6.07450078,30248.472
966483900,5.96171184,6.2302574,5.96171184,6.12283917,34439.448
966570300,6.17117718,6.2302574,6.12283917,6.2302574,20474.664
966829500,6.33767562,6.38064291,6.23562812,6.31619159,26060.064
966915900,6.34304634,6.40749766,6.01542095,6.14969354,86105.04
967002300,6.33767562,6.60622118,6.06913006,6.40749766,26060.064
967088700,6.44509385,6.48269003,6.2302574,6.2302574,27921.864
967175100,6.28396651,6.28396651,6.17654829,6.17654829,3718.464
967434300,6.43972274,6.55251207,6.12283917,6.12820989,16286.256
967520700,5.91337344,6.21951558,5.69316628,6.11746807,24195.696
967607100,6.39138474,6.39138474,6.01542095,6.28396651,20007.288
967693500,6.04764603,6.31082087,6.01542095,6.21414447,42816.264
968039100,6.06913006,6.09061371,5.91874416,6.0369046,40489.656
968125500,6.00467913,6.01542095,5.73076207,5.8972609,73077.576
968211900,5.96171184,6.10672625,5.92948637,6.04227531,20936.904
968298300,6.04227531,6.2302574,5.90800273,6.2302574,16745.928
968384700,5.91337344,6.44509385,5.91337344,6.31619159,13489.704
968643900,6.09061371,6.20877336,6.0798715,6.14969354,11627.904
968730300,6.01542095,6.10672625,5.96171184,6.00467913,57245.856
968816700,6.01542095,6.04227531,5.82743886,6.01542095,33042.456
968903100,6.01542095,6.21951558,5.96171184,6.15506425,16745.928
968989500,6.11209735,6.11209735,5.92948637,5.9402278,42351.456
969248700,5.90800273,6.01542095,5.70390771,5.88114798,47469.48
969335100,5.90263162,5.90263162,5.42462072,5.58037695,71675.448
969421500,5.8005845,5.8005845,5.69316628,5.70927921,7909.44
969507900,5.69316628,5.8005845,5.69316628,5.72539136,30248.472
969594300,5.49981347,5.69316628,5.49981347,5.55352259,26992.248
969853500,5.58574805,5.58574805,5.49981347,5.49981347,17683.248
969939900,5.48907126,5.56963474,5.38165304,5.39239525,66090.048
970026300,5.67168224,5.67168224,5.5588933,5.67168224,12557.52
970112700,5.58574805,5.58574805,5.42462072,5.47832983,26527.44
970199100,5.47832983,5.58574805,5.45147508,5.58574805,25595.256
970544700,5.47832983,5.57500623,5.47832983,5.51592562,7909.44
970631100,5.45147508,5.47832983,5.45147508,5.47832983,12097.848
970717500,5.57500623,5.57500623,5.47832983,5.47832983,28384.104
970803900,5.38165304,5.58574805,5.38165304,5.58574805,18148.056
971063100,5.5588933,5.57500623,5.43536215,5.56963474,18615.432
971149500,5.56426402,5.57500623,5.45147508,5.50518419,19542.48
971235900,5.47832983,5.51055491,5.32257321,5.40313668,67951.848
971322300,5.40313668,5.53203894,5.40313668,5.52666783,13959.648
971408700,5.3709116,5.58574805,5.34942757,5.39239525,33507.264
971667900,5.43536215,5.52129712,5.42999143,5.51055491,7909.44
971754300,5.46758801,5.47832983,5.2688641,5.27960631,41884.08
971840700,5.54278037,5.54278037,5.31720249,5.31720249,4648.08
971927100,5.30646067,5.42462072,5.30646067,5.42462072,15354.072
972013500,5.33868614,5.41387889,5.2688641,5.41387889,52127.832
972272700,5.4085074,5.42999143,5.3709116,5.41387889,17683.248
972359100,5.27960631,5.53203894,5.27960631,5.52129712,64695.624
972445500,5.42462072,5.52666783,5.42462072,5.48907126,13489.704
972531900,5.5588933,5.5588933,5.53740966,5.54815187,3718.464
972618300,5.58574805,5.69316628,5.55352259,5.6072317,16286.256
972877500,5.53203894,5.67168224,5.47832983,5.56963474,27451.92
972963900,5.53203894,5.58574805,5.47832983,5.51055491,50263.464
973050300,5.16681659,5.66094081,5.16681659,5.61797313,11165.664
973136700,5.63945717,5.68779517,5.59648949,5.61797313,4648.08
973223100,5.58574805,5.69316628,5.58574805,5.65557009,2786.28
973482300,5.61260241,5.69316628,5.61260241,5.69316628,4180.704
973568700,5.63945717,5.69316628,5.58574805,5.69316628,10698.288
973655100,5.78984268,5.87577726,5.78984268,5.84892251,12557.52
973741500,5.72002064,5.90263162,5.72002064,5.75761682,11627.904
973827900,5.69316628,5.85429361,5.68242445,5.8381803,10236.048
974087100,5.73613357,5.76835903,5.69316628,5.70927921,34906.824
974173500,5.58574805,5.71464992,5.58574805,5.62871534,18148.056
974259900,5.74687539,5.91874416,5.69316628,5.87577726,14424.456
974346300,5.55352259,5.88651869,5.55352259,5.81669743,19077.672
974432700,5.77910047,5.90800273,5.77910047,5.82743886,31180.656
974691900,5.85429361,5.90800273,5.82743886,5.90263162,19077.672
974778300,5.8005845,5.8972609,5.61260241,5.74150428,24665.64
974864700,6.19803193,6.19803193,5.81669743,5.92948637,12097.848
974951100,5.8005845,5.87577726,5.66094081,5.87577726,10236.048
975037500,5.82206815,5.87040654,5.73613357,5.77910047,10698.288
975296700,5.8005845,5.8005845,5.59111877,5.66631153,11627.904
975383100,5.65557009,5.74687539,5.65557009,5.68779517,28854.048
975469500,5.90800273,6.14432282,5.90800273,6.14432282,24665.64
975555900,6.44509385,6.63307555,6.06913006,6.25174104,44678.064
975642300,6.43435202,6.43435202,6.09061371,6.17654829,10236.048
975901500,6.04227531,6.2302574,6.04227531,6.12283917,51660.456
975987900,6.12283917,6.17654829,5.85429361,5.8918898,35831.304
976074300,6.01542095,6.2302574,5.90800273,6.17654829,44678.064
976160700,6.17654829,6.67067173,6.17654829,6.67067173,89833.776
976247100,6.76734852,7.20776285,6.76734852,7.20776285,83775.864
976506300,7.78782165,7.78782165,7.78782165,7.78782165,7909.44
976592700,8.41084774,8.41084774,8.41084774,8.41084774,115893.84
976679100,9.02313123,9.08758178,8.48604011,9.08758178,445447.848
976765500,9.65152765,9.65152765,8.36250896,8.37862188,356543.688
976851900,8.17989836,8.48066861,7.71262928,7.82004751,208526.736
977111100,7.62669431,7.70725779,7.19702142,7.40648637,140099.808
977197500,6.87476674,7.5139046,6.87476674,6.98755607,164303.208
977283900,6.87476674,7.22924727,6.87476674,7.19164992,44678.064
977370300,6.93384696,7.08960319,6.93384696,7.03052259,4180.704
977456700,6.98755607,7.08960319,6.76734852,7.01978115,59105.088
977802300,6.88550818,6.92847586,6.47194821,6.64918847,87502.032
977888700,6.18728972,7.17553816,6.18728972,7.0949743,50263.464
977975100,7.20776285,7.29906815,6.85328271,6.98218497,47469.48
978061500,6.88550818,7.03589408,6.67067173,6.90699221,46075.056
978320700,6.79420288,6.91773403,6.76734852,6.7995736,27921.864
978407100,6.81031581,6.98218497,6.76734852,6.88550818,56781.048
978493500,6.87476674,7.19702142,6.85865382,7.13257048,112175.376
978579900,7.35814875,7.41185787,7.03589408,7.03589408,67484.472
978666300,6.92847586,7.03589408,6.87476674,6.95533022,32110.272
978925500,6.83179907,6.96070132,6.83179907,6.85865382,16286.256
979011900,6.87476674,7.03589408,6.87476674,6.92847586,47469.48
979098300,6.97144315,7.03589408,6.87476674,6.88550818,40019.712
979184700,6.87476674,6.92310436,6.83179907,6.92310436,28854.048
979271100,6.84791199,6.96607204,6.84791199,6.88550818,23733.456
979530300,6.92847586,6.98218497,6.82642835,6.86939564,25595.256
979616700,6.88013785,7.08960319,6.86402492,6.89087967,77265.984
979703100,7.08960319,7.41185787,6.98218497,7.10034463,77725.656
979789500,7.25073053,7.25073053,6.9929264,7.17553816,35831.304
