time,open,high,low,close,Volume
915421500,1475.0,1495.0,1475.0,1495.0,350
915507900,1508.0,1509.0,1500.0,1509.0,400
915594300,1550.0,1629.0,1540.0,1629.0,2600
915680700,1640.0,1759.35,1640.0,1759.35,9500
915767100,1866.0,1900.1,1830.0,1900.1,5300
916026300,2040.0,2052.1001,1950.0,1970.0,5500
916112700,1900.05,2049.5,1900.0,1916.0,5200
916199100,1999.0,2015.0,1910.0,1925.0,3350
916285500,1900.0,1945.0,1900.0,1901.0,1750
916371900,1935.0,1940.0,1810.0,1830.0,1800
916631100,1840.0,1850.0,1826.0,1841.0,850
916717500,1820.0,1865.0,1765.1,1786.0,3050
916890300,1889.0,1928.9,1777.0,1928.9,1050
916976700,2050.0,2050.0,1941.0,1941.0,1800
917235900,1974.9,1996.0,1936.0,1936.0,1700
917408700,2000.0,2037.9,1990.05,2001.65,9350
917495100,2005.0,2050.0,1962.0,1980.0,9300
917581500,1961.0,1971.0,1822.0,1829.0,3600
917840700,1800.05,1800.5,1682.7,1682.7,2500
917927100,1605.0,1650.0,1555.15,1570.05,3700
918013500,1650.0,1660.0,1565.05,1645.0,8750
918099900,1649.9,1649.9,1575.0,1575.0,1100
918186300,1619.0,1619.0,1520.0,1526.0,1850
918445500,1541.65,1565.0,1540.0,1540.0,1650
918531900,1525.0,1590.0,1520.0,1567.55,4450
918618300,1650.0,1650.0,1591.0,1620.0,5450
918704700,1625.0,1749.6,1595.0,1741.05,10800
918791100,1750.0,1850.0,1750.0,1815.0,10250
919050300,1851.0,1856.5,1816.0,1831.25,9900
919136700,1831.1,1890.0,1775.2,1872.5,12900
919223100,1984.9,2020.0,1910.0,1969.5,19150
919309500,1994.0,2089.0,1972.0,2022.15,28200
919395900,2050.0,2100.0,2037.0,2038.0,15050
919655100,2050.0,2070.0,1987.0,2000.0,6100
919741500,1971.1,2007.9,1945.5,1993.95,4150
919827900,1982.1,1983.0,1939.0,1960.0,2900
919914300,1932.0,1940.0,1865.0,1865.0,5950
920000700,1825.0,1862.0,1800.0,1828.9,5450
920259900,1915.0,1925.0,1825.1,1925.0,4900
