time,open,high,low,close,Volume
783834300,62.0,67.75,62.0,65.5,6800
784179900,64.0,66.25,64.0,64.5,16700
784266300,65.75,66.0,65.5,65.5,500
784352700,66.0,66.0,65.25,65.5,1700
784439100,65.0,65.75,64.0,65.0,2500
784525500,65.5,65.5,64.0,64.0,2000
784784700,65.0,65.0,64.0,64.0,800
784871100,64.0,64.0,62.0,62.5,1200
784957500,65.0,65.0,63.0,64.75,2500
785043900,64.0,65.0,64.0,64.0,5500
785389500,64.0,65.0,64.0,64.75,2300
785475900,65.5,65.5,63.5,63.75,6400
785562300,64.0,64.5,64.0,64.0,2100
785648700,63.0,64.5,63.0,64.25,2900
785735100,64.5,64.5,63.0,63.0,6600
786080700,63.5,63.75,62.75,62.75,8500
786167100,63.5,63.5,62.0,63.0,1100
786253500,63.5,64.5,63.0,63.5,2600
786339900,63.0,63.75,63.0,63.75,2700
786599100,65.0,65.0,62.0,62.5,2800
786685500,63.5,63.5,60.0,62.25,1800
786771900,62.5,63.5,58.0,58.5,3100
786858300,59.0,59.0,57.0,57.0,1100
786944700,57.0,59.0,57.0,58.75,2200
787203900,55.0,57.0,55.0,55.25,2100
787290300,55.0,55.0,52.75,52.75,1000
787376700,55.0,57.5,55.0,56.25,3900
787463100,58.0,58.5,56.0,58.0,5700
787549500,57.0,60.0,57.0,59.75,1600
787808700,59.0,60.0,57.5,57.75,6300
787895100,59.5,61.0,57.25,57.75,10700
787981500,58.0,58.0,57.2,57.5,6700
788067900,57.0,57.0,56.8,57.0,1100
788154300,57.0,57.75,56.25,57.75,10400
788413500,57.0,57.25,56.0,56.0,11700
788499900,55.5,55.9,55.5,55.9,900
788586300,56.0,56.5,55.95,56.25,1200
788672700,56.0,56.5,56.0,56.2,1400
788759100,56.0,56.0,55.2,55.2,2800
789018300,55.5,57.75,55.1,56.2,3500
789104700,56.0,57.25,55.75,57.1,5500
789191100,56.0,57.45,56.0,57.25,3600
789277500,57.0,57.0,55.0,56.0,7200
789363900,56.0,56.0,55.0,55.5,6800
789623100,55.0,55.5,52.0,52.0,2400
789709500,53.1,53.1,49.0,50.8,4300
789795900,50.0,50.8,49.0,50.3,3400
789882300,50.0,51.0,50.0,50.75,5800
789968700,50.25,55.0,50.25,54.5,6000
790227900,54.5,54.95,53.75,54.1,4700
790314300,54.75,55.0,53.5,53.85,7800
790400700,54.0,56.0,54.0,56.0,4600
790487100,56.0,56.75,55.75,56.6,5300
790573500,56.75,56.75,56.0,56.0,3000
790832700,56.0,56.0,53.75,54.25,5400
790919100,54.5,54.5,50.0,53.15,8200
791005500,53.0,54.0,51.3,52.0,7000
791178300,52.5,53.7,52.0,53.0,4100
791437500,53.5,53.95,53.0,53.65,5900
791523900,52.0,54.0,52.0,53.95,7700
791610300,53.0,55.0,53.0,53.8,19100
791696700,53.5,54.0,51.5,52.9,20000
791783100,53.5,53.75,52.5,53.45,10400
792042300,53.45,54.0,53.0,53.75,9500
792128700,53.25,53.5,52.5,52.8,14000
792215100,52.5,53.25,52.0,52.5,5300
792301500,53.0,53.2,52.0,52.1,6200
792387900,52.5,53.0,51.25,51.55,13800
792647100,53.5,53.5,51.5,52.1,6100
792733500,52.0,52.5,51.55,51.6,7900
792819900,52.5,52.5,50.6,51.15,5800
792906300,51.5,51.9,50.5,51.45,5800
792992700,51.5,51.5,49.0,50.0,14900
793251900,49.5,50.0,49.0,49.55,4500
793338300,49.25,49.25,47.0,47.0,10200
793424700,47.9,48.0,46.2,46.5,10300
793511100,47.0,48.5,47.0,48.25,9700
793597500,48.5,53.0,48.5,50.85,12800
793943100,51.0,52.0,50.0,50.6,23100
794029500,51.75,51.75,50.0,51.15,23500
