time,open,high,low,close,Volume
1356579900,68.5,77.35,68.5,74.6,129408480
1356666300,74.9,77.15,72.675005,73.5,14809902
1356925500,73.425005,76.65,72.5,74.85,8382588
1357011900,75.800005,83.949995,75.275,82.65,23287300
1357098300,83.050005,89.625,82.800005,87.699995,28335540
1357184700,88.449995,92.4,87.5,91.775,16827662
1357271100,92.5,94.699995,91.4,93.875,12499890
1357530300,94.5,97.449995,90.25,90.824995,12390126
1357616700,91.375,93.175005,88.050005,88.75,10552630
1357703100,89.449995,90.199995,87.15,87.775,6870210
1357789500,88.35,88.9,82.550005,83.050005,6637314
1357875900,83.5,83.5,77.25,77.9,10038116
1358135100,78.0,86.824995,77.85,86.1,13364678
1358221500,86.875,88.199995,83.225,84.449995,7698936
1358307900,84.050005,84.699995,81.35,81.949995,3344648
1358394300,82.75,83.824995,81.275,82.35,3543024
1358480700,83.1,83.1,80.324995,80.875,2031310
1358739900,81.025,82.25,79.550005,80.300005,2160820
1358826300,80.15,80.475,77.625,77.949995,2650956
1358912700,78.5,81.4,77.574995,80.699995,5241512
1358999100,81.324995,81.324995,76.6,76.975,2832392
1359085500,77.025,79.6,76.225,78.775,2190362
1359344700,79.375,83.25,78.5,81.0,3438238
1359431100,81.25,82.225,79.5,80.975,1724504
1359517500,80.9,81.425005,78.375,79.0,1057980
1359603900,79.25,80.65,78.25,80.225,1112132
1359690300,81.0,82.675005,79.199995,79.9,1664428
1359949500,80.175005,80.875,77.6,78.0,946804
1360035900,77.550005,78.800005,75.199995,76.275,1816246
1360122300,77.125,77.25,70.15,71.0,4236034
1360208700,71.375,71.975,67.025,71.199995,8244064
1360295100,71.574995,71.824995,69.050005,69.975,1641442
1360554300,68.800005,70.85,59.3,62.1,9330500
1360640700,61.05,66.5,61.05,65.975,5597974
1360727100,66.4,70.925005,66.4,70.175005,4559318
1360813500,70.975,70.975,68.25,70.175005,2377794
1360899900,71.4,71.4,68.550005,69.9,1251088
1361159100,69.800005,71.4,69.0,69.925005,1230778
1361245500,69.975,71.199995,69.125,70.675005,1029770
1361331900,71.175005,71.699995,70.5,70.925005,1114162
1361418300,69.949995,70.324995,68.125,68.65,1432500
1361504700,68.65,70.949995,68.1,70.525,1165574
1361763900,70.9,71.375,65.125,66.775,1835790
1361850300,66.65,66.675005,61.0,62.35,2096160
1361936700,63.125,64.25,57.925,63.025,1510732
1362023100,63.975,63.975,57.25,57.75,3948898
1362109500,57.7,59.15,53.25,54.45,2451766
1362368700,54.6,56.475,52.55,54.15,1884764
1362455100,54.975,62.975,54.175,60.55,6561442
1362541500,61.3,67.25,60.875,65.875,7338136
1362627900,61.025,66.375,61.025,63.425,2734770
1362714300,63.5,63.7,60.55,61.425,2392762
1362973500,61.6,63.65,61.325,61.975,1830418
1363059900,62.375,63.15,60.175,61.675,1399404
1363146300,61.95,61.95,60.1,60.675,2776990
1363232700,60.5,61.425,58.3,59.525,1926930
1363319100,58.75,60.725,58.125,59.0,1541174
1363578300,58.125,58.9,57.15,58.075,750254
1363664700,58.45,59.85,53.0,55.825,2040720
1363751100,55.825,56.45,53.775,54.0,1101496
1363837500,54.75,55.6,51.4,53.0,1478808
1363923900,53.375,54.85,52.5,53.7,989002
1364183100,54.425,56.2,54.125,54.775,1695454
1364269500,54.7,56.25,54.125,55.125,732666
1364442300,55.15,57.5,54.55,57.175,1332994
1364787900,57.6,63.0,57.0,61.425,1353296
1364874300,61.525,61.75,60.25,60.5,634242
1364960700,61.0,62.45,58.875,59.475,744800
1365047100,59.7,59.7,55.9,56.275,682766
1365133500,56.5,57.0,54.05,54.7,708690
1365392700,55.125,55.65,54.375,54.5,412128
1365479100,55.45,56.65,54.4,54.75,525508
1365565500,54.625,55.5,53.9,54.9,330316
1365651900,55.45,55.8,54.4,54.45,273108
1365738300,54.6,54.6,53.575,53.775,283014
1365997500,52.65,53.5,49.625,51.1,1430072
1366083900,50.0,53.75,48.0999985,50.925,2047880
1366170300,51.075,52.3,49.875,49.9000015,928106
