time,open,high,low,close,Volume
1172202300,45.2,47.76,42.22,44.66,230284950.00000003
1172461500,44.8,47.08,41.9,46.12,50401627.50000001
1172547900,48.0,48.0,45.94,46.96,41868387.50000001
1172634300,44.8,46.32,41.2,44.42,25946085.0
1172720700,44.82,45.56,43.4,44.22,10986965.0
1172807100,44.56,45.36,43.2,43.6,10019855.0
1173066300,42.28,43.4,40.48,40.82,9611967.5
1173152700,41.4,43.08,40.8,42.04,5493452.5
1173239100,42.9,43.0,40.6,41.7,4594292.5
1173325500,41.9,44.4,41.3,44.0,5568585.0
1173411900,44.0,44.96,40.8,41.32,3550725.0
1173671100,41.38,42.16,40.68,41.16,4866525.0
1173757500,41.74,43.0,41.2,42.68,3616967.5
1173843900,41.68,41.92,40.8,41.22,1412267.5
1173930300,41.92,42.72,41.32,41.44,2749737.5
1174016700,41.6,41.88,40.96,41.16,1023200.0
1174275900,41.76,42.58,41.22,42.42,1336085.0
1174362300,43.16,43.24,42.2,42.46,2218610.0
1174448700,42.8,42.8,41.98,42.2,986445.0
1174535100,42.8,42.8,42.0,42.14,2013587.5
1174621500,42.4,45.28,41.9,44.48,5566742.5
1174880700,44.0,45.16,42.4,42.7,2431502.5
1175053500,41.68,42.4,41.3,41.58,2353230.0
1175139900,41.84,42.68,41.06,41.3,3328130.0
1175226300,41.8,42.2,41.52,41.72,2019385.0
1175485500,40.5,41.32,40.4,40.6,3120157.5
1175571900,40.42,40.42,40.42,40.42,0.0
1175658300,41.08,42.04,40.62,40.86,3067530.0
1175744700,41.2,41.9,40.68,41.24,2908327.5
1176090300,41.4,42.8,41.4,42.46,4110855.0
1176176700,42.64,43.26,42.02,42.9,2731302.5
1176263100,43.0,44.98,42.84,44.24,5791822.5
1176349500,43.98,44.6,41.96,42.24,3925062.5
1176435900,42.76,43.56,42.28,43.18,2246627.5
1176695100,42.0,43.94,42.0,43.44,924200.0
1176781500,43.6,45.04,42.86,44.1,8213507.5
1176867900,45.04,46.54,43.24,44.74,9195652.5
1176954300,44.8,44.8,43.52,43.6,3970850.0
1177040700,44.76,46.56,44.4,46.34,6000707.5
