time,open,high,low,close,Volume
915162300,12.7199995,12.7225,12.5050005,12.525,18000
915421500,12.75,12.8949995,12.6,12.76,52000
915507900,12.875,12.875,12.5550005,12.625,58000
915594300,13.0,13.25,13.0,13.25,64000
915680700,13.25,13.2899995,13.05,13.2699995,46000
915767100,13.2649995,13.875,13.2649995,13.8024995,164000
916026300,13.8,14.25,13.5,13.9600005,144000
916112700,13.75,14.2949995,13.5125,14.175,230000
916199100,14.3449995,15.0949995,14.25,15.0,210000
916285500,14.6125,15.45,14.5024995,14.6,166000
916371900,14.5,14.5,14.2774995,14.475,98000
916631100,14.3050005,14.8625,14.15,14.75,114000
916717500,14.9949995,15.0,14.45,14.8,118000
916890300,15.4949995,15.9850005,15.4949995,15.9850005,74000
916976700,17.0,17.2524995,16.5350005,16.75,278000
917235900,16.5,17.25,16.25,16.4024995,156000
917408700,16.6125,17.0,16.325,16.5,220000
917495100,16.25,16.45,15.5675005,15.575,100000
917581500,15.45,15.6,14.5,14.7625,150000
917840700,14.75,15.25,14.3,14.7024995,102000
917927100,14.05,14.5925005,14.05,14.4949995,112000
918013500,14.85,15.35,14.6,15.35,160000
918099900,15.2574995,15.7399995,15.15,15.25,164000
918186300,15.125,15.65,15.1125,15.65,100000
918445500,15.8,16.9024995,15.8,16.9024995,262000
918531900,16.9,17.8449995,16.2,17.75,334000
918618300,18.1949995,18.1949995,17.15,17.7449995,294000
918704700,17.1074995,17.5,16.775,16.85,148000
918791100,16.85,17.25,16.5,16.65,124000
919050300,16.75,17.25,16.7,16.8574995,104000
919136700,16.65,16.75,16.1274995,16.35,180000
919223100,16.75,17.15,16.5050005,16.9899995,180000
919309500,17.0,17.15,16.75,17.0,164000
919395900,17.1949995,17.1949995,16.65,16.65,50000
919655100,16.5,16.65,15.55,15.55,44000
919741500,14.7699995,16.2475005,14.7699995,16.2475005,90000
919827900,15.8625,16.6,15.8625,16.325,70000
919914300,16.4,16.75,16.2774995,16.75,120000
920000700,16.85,16.85,16.3399995,16.5375,78000
920259900,16.5,16.5,16.35,16.3625,58000
920432700,16.9,17.325,16.3925005,16.5,108000
920519100,16.3024995,16.5449995,16.15,16.525,74000
920605500,16.4,16.9,16.4,16.5050005,118000
920864700,16.75,16.8,16.525,16.525,98000
920951100,16.4,16.6,16.3649995,16.5024995,118000
921037500,16.7100005,16.95,16.5024995,16.8550005,112000
921123900,16.8800005,17.1225005,16.8050005,17.0,174000
921210300,16.8949995,17.0,16.8100005,16.95,70000
921469500,16.9,18.3074995,16.7524995,18.3074995,328000
921555900,19.25,19.7725005,18.4,19.7725005,464000
921642300,20.5949995,21.35,20.5074995,20.9699995,612000
921728700,21.0524995,21.85,20.15,21.75,448000
921815100,22.3,22.3,21.2,21.45,232000
922074300,21.3,21.6649995,21.0,21.5225005,230000
922160700,21.15,22.5,21.15,22.1024995,458000
922247100,22.4975005,23.75,21.875,22.3899995,432000
922333500,22.45,22.6475005,22.075,22.075,108000
922419900,21.875,22.0449995,21.6625,21.9399995,204000
922765500,21.375,21.8949995,21.075,21.8,296000
922851900,22.5,23.0,22.3024995,22.4949995,92000
922938300,22.9699995,23.8949995,22.75,23.3,186000
923283900,22.75,22.75,21.55,21.9050005,156000
923370300,21.5,21.5,20.5,21.1625,216000
923456700,21.5,22.15,21.2574995,22.15,134000
923543100,21.7600005,22.1,21.5,21.9975005,114000
923629500,21.5574995,22.25,21.5574995,22.0,214000
923888700,21.125,22.1,21.125,22.0,114000
923975100,21.95,22.4600005,21.75,22.2449995,86000
924147900,21.0524995,21.5925005,20.95,21.1524995,148000
924234300,20.75,22.8350005,20.65,22.8350005,70000
924493500,21.45,22.2,21.45,22.2,132000
924579900,21.8524995,22.6,21.8524995,22.6,64000
924666300,22.75,23.075,22.6274995,23.0,150000
924752700,22.8125,23.05,22.2,22.2,112000
924839100,22.0524995,23.0,22.0524995,23.0,50000
925098300,21.75,21.75,21.2,21.2,48000
925271100,19.6774995,20.825,19.55,20.825,150000
925357500,21.05,22.45,21.05,22.45,90000
925443900,22.75,22.75,21.15,21.675,60000
925703100,21.75,21.75,21.4,21.5,22000
925789500,21.5,21.75,21.3,21.7475005,46000
925875900,21.6,21.8,21.4100005,21.7225005,22000
925962300,21.7,22.05,21.5,22.05,36000
926048700,22.25,22.4,21.9050005,22.25,64000
