time,open,high,low,close,Volume
1019792700,8.0,8.0,7.0,7.46,20003800.0
1020051900,7.7,7.82,7.53,7.82,13014430.0
1020138300,7.8,8.07,7.7,8.03,6886670.0
1020311100,8.05,9.22,8.05,9.02,16740630.0
1020397500,9.16,9.49,8.91,9.39,13448360.0
1020656700,9.4,9.65,9.19,9.36,8045565.0
1020743100,9.37,9.37,8.93,9.0,4822425.0
1020829500,9.1,9.14,8.52,8.85,3211900.0
1020915900,8.94,8.94,8.57,8.76,2537320.0
1021002300,9.6,9.6,8.58,8.72,1575065.0
1021261500,8.8,9.0,8.78,8.94,2626505.0
1021347900,9.0,9.0,8.65,8.67,1134385.0
1021434300,8.76,8.85,8.48,8.5,1400645.0
1021520700,8.56,8.56,8.22,8.22,820885.0
1021607100,8.2,8.33,7.8,8.05,1806430.0
1021866300,7.99,8.0,7.66,7.72,1189490.0
1021952700,7.7,7.7,7.21,7.5,1358430.0
1022039100,7.31,7.64,7.28,7.45,866560.0
1022125500,7.55,7.62,7.4,7.54,1093605.0
1022211900,7.7,7.93,7.68,7.92,1390490.0
1022471100,7.9,7.96,7.76,7.8,1001135.0
1022557500,7.9,8.0,7.6,7.65,920525.0
1022643900,7.77,7.99,7.71,7.99,799805.0
1022730300,8.0,8.26,7.72,7.8,2142405.0
1022816700,7.95,8.09,7.65,7.8,1318015.0
1023075900,8.1,8.1,7.5,7.61,1094570.0
1023162300,7.89,8.04,7.66,7.9,1773195.0
1023248700,8.2,8.68,7.93,8.57,8421240.0
1023335100,8.75,8.9,8.27,8.42,2893630.0
1023421500,8.63,8.9,8.39,8.63,4976595.0
1023680700,8.79,9.1,8.56,9.05,5087840.0
1023767100,9.31,10.15,9.1,10.14,11688920.0
1023853500,9.81,10.34,9.56,9.7,8248450.0
1023939900,9.98,10.0,9.58,9.66,2448755.0
1024026300,9.78,9.85,9.42,9.58,2398715.0
1024285500,11.0,11.0,9.51,9.59,2004245.0
1024371900,9.64,9.76,9.32,9.36,1166360.0
1024458300,9.75,10.17,9.42,9.48,2962710.0
1024544700,9.98,9.98,9.4,9.68,2298045.0
1024631100,9.8,10.0,9.65,9.9,3879510.0
1024890300,9.98,9.98,9.5,9.78,1047275.0
1024976700,9.78,9.78,9.5,9.52,545810.0
1025063100,11.2,11.2,9.35,9.5,905330.0
1025149500,9.48,9.64,9.38,9.57,803150.0
1025235900,9.7,9.77,9.5,9.6,1175730.0
1025495100,9.6,9.74,9.55,9.59,825970.0
1025581500,9.6,9.67,9.45,9.5,653405.0
1025667900,9.46,9.57,9.46,9.48,305880.0
1025754300,9.56,9.9,9.52,9.7,2413155.0
1025840700,9.9,9.95,9.6,9.84,3460955.0
1026099900,9.9,10.04,9.8,9.8,2791970.0
1026186300,9.9,9.92,9.7,9.74,716330.0
1026272700,9.76,9.88,9.65,9.84,1163015.0
1026359100,9.7,9.9,9.3,9.4,1434245.0
1026445500,9.45,9.6,9.42,9.47,673410.0
1026704700,11.22,11.22,9.36,9.72,1958485.0
1026791100,9.6,9.78,9.42,9.46,1115835.0
1026877500,9.58,9.58,9.25,9.34,468885.0
1026963900,9.41,9.5,9.28,9.42,271340.0
1027050300,8.6,9.4,8.6,9.3,317560.0
1027309500,9.2,9.2,8.92,8.96,508510.0
1027395900,9.24,9.24,8.82,9.18,321750.0
