time,open,high,low,close,Volume
1083037500,5.0,5.0,5.0,5.0,525
1083296700,5.4,5.4,5.4,5.4,250
1083555900,5.4599998,5.4599998,5.03,5.03,1025
1083642300,5.3,5.4599998,5.15,5.1599998,14600
1083728700,5.38,5.3900002,5.05,5.25,47240
1083815100,5.4,5.4,5.17,5.22,15050
1083901500,5.32,5.55,5.0599998,5.1400002,47375
1084160700,5.18,5.4099998,5.18,5.3900002,86140
1084247100,5.37,5.4,5.1599998,5.1599998,24500
1084333500,5.58,5.58,5.18,5.35,32420
1084419900,5.4,5.4,5.3,5.33,14750
1084506300,5.17,5.17,4.6,5.05,16045
1084765500,4.5599998,4.8,4.5599998,4.6900002,12650
1084851900,4.22,5.0,4.22,4.5599998,7100
1084938300,4.98,5.0,4.98,4.98,5500
1085024700,5.2,5.2400002,4.9,5.0,7375
1085111100,5.0,5.02,4.9,4.9,10650
1085370300,5.2,5.2,4.68,4.9099998,13025
1085456700,4.9,4.9,4.85,4.85,1625
1085543100,4.75,4.75,4.7,4.7099998,3500
1085629500,5.17,5.17,4.8,4.8599998,2050
1085715900,4.9400002,4.9400002,4.6,4.63,2065
1085975100,4.0599998,4.37,4.0599998,4.13,1230
1086061500,4.6,4.6,4.2599998,4.2599998,1600
1086147900,4.6,4.6,4.6,4.6,50
1086234300,4.25,4.25,4.2400002,4.2400002,1000
1086320700,4.2400002,4.78,4.2,4.78,4150
1086579900,4.43,4.43,4.42,4.42,1500
1086839100,4.58,4.58,4.58,4.58,500
1087271100,3.8,3.8,3.8,3.8,500
1087357500,4.3,4.5599998,4.3,4.5599998,720
1087443900,5.0,5.0,4.5099998,4.5099998,2625
1087789500,4.82,4.82,4.1599998,4.1599998,10
1088135100,4.73,4.7599998,4.73,4.7400002,1000
1088480700,4.02,4.1,4.02,4.1,1000
1088739900,4.42,4.5,4.42,4.5,995
1088999100,4.7,4.7,4.2599998,4.48,20
1089085500,4.4,4.4,4.3,4.37,1440
1089171900,4.2,4.2,4.12,4.18,9545
1089776700,5.0099998,5.0099998,3.8400002,3.8400002,10
1089863100,3.8400002,4.6,3.8400002,4.6,19250
1089949500,4.4,4.4,4.4,4.4,500
1090295100,4.02,4.2099998,4.02,4.2099998,1500
1090467900,4.6,4.7400002,4.6,4.7400002,5100
1090813500,5.0,5.0,5.0,5.0,1000
1090899900,4.9,5.0400002,4.8099998,4.8099998,12710
1090986300,4.8,4.8,4.8,4.8,10615
1091072700,4.6,4.8,4.6,4.8,110
1091159100,5.38,5.38,4.8,4.8,720
1091504700,5.0599998,5.0599998,5.0599998,5.0599998,500
1091591100,4.53,4.53,4.53,4.53,500
1091677500,4.4,5.2,4.4,5.2,3940
1091763900,5.3,5.3599998,5.3,5.3599998,2500
1092109500,5.4,5.4,4.98,4.98,700
1092195900,4.6,5.0,4.6,5.0,1370
1092282300,4.82,4.82,4.8,4.8,15500
1092627900,4.8,4.8,4.8,4.8,35
1092714300,4.8099998,4.82,4.8,4.8,75
1093319100,4.8,4.8,4.8,4.8,510
1093491900,4.8,4.95,4.8,4.95,3000
1093837500,4.8,4.8,4.8,4.8,3545
1093923900,4.9,5.2,4.9,5.1900002,1775
1094010300,4.8099998,5.1400002,4.8,5.1400002,1215
1094442300,4.8400002,4.8400002,4.8,4.82,1000
1094615100,4.8,4.8,4.8,4.8,2500
1094701500,4.8,4.8,4.8,4.8,20
1094787900,4.8,4.8,4.8,4.8,500
1095047100,4.8,4.9,4.8,4.9,2520
1095133500,4.8400002,5.0,4.8400002,5.0,4000
1095219900,4.8,4.9,4.8,4.9,4500
1095306300,5.02,5.28,5.0,5.0900002,10750
1095392700,4.83,4.92,4.83,4.88,6215
1095651900,4.8099998,5.1900002,4.8099998,4.92,9610
1095738300,5.0,5.0,5.0,5.0,1400
1095824700,4.5,5.2,4.5,5.2,55
1095911100,5.2,5.2,5.2,5.2,6500
1095997500,5.0900002,5.0900002,5.0,5.07,600
1096256700,5.1900002,5.58,5.0099998,5.58,29005
1096343100,6.1,6.1,5.7,5.8400002,19495
1096429500,5.8599998,5.9,5.4900002,5.5900002,22010
1096515900,5.4900002,5.6,5.4900002,5.6,2500
1096602300,5.63,5.7400002,5.5599998,5.65,18450
1096861500,5.73,5.7900002,5.55,5.6,32035
1096947900,5.43,5.6400002,5.43,5.45,2000
1097034300,5.63,5.6900002,5.63,5.6900002,5000
1097120700,5.6,5.6,5.6,5.6,500
1097207100,5.7900002,6.0,5.52,5.78,23745
1097466300,5.5,6.1,5.5,5.87,10500
1097552700,6.18,6.18,5.92,5.93,6980
1097725500,6.2,6.2,5.5,5.9400002,32260
1097811900,5.97,6.0,5.6,5.6599998,34230
1098071100,5.98,5.98,5.6099998,5.6099998,1050
1098157500,5.42,5.7,5.42,5.62,23390
1098243900,5.6,5.6,5.6,5.6,500
1098330300,5.85,5.85,5.65,5.65,5460
1098675900,5.67,5.67,5.67,5.67,1000
1098762300,5.62,5.7599998,5.62,5.7400002,2730
