time,open,high,low,close,Volume
820467900,26.75,27.0,26.5,26.75,28000
820554300,26.75,26.9,26.25,26.25,59000
820640700,26.25,26.9,26.25,26.299999,31500
820727100,26.299999,26.5,26.0,26.5,33500
820813500,26.5,26.799999,26.25,26.299999,21000
821072700,26.299999,26.450001,25.0,25.049999,40500
821159100,25.049999,26.0,25.0,25.299999,61000
821245500,25.5,25.9,25.1,25.35,16000
821331900,25.65,25.799999,25.1,25.5,21000
821418300,25.5,25.9,25.5,25.9,39000
821677500,25.9,26.0,25.25,25.75,17000
821763900,26.200001,26.200001,25.0,25.25,55000
821850300,25.25,25.5,25.25,25.299999,14000
821936700,25.950001,25.950001,24.65,24.75,16000
822023100,24.75,24.75,24.0,24.35,36000
822282300,24.35,24.5,24.0,24.25,20500
822368700,23.5,24.950001,23.0,23.799999,26000
822455100,23.799999,23.799999,22.549999,23.5,35500
822541500,23.75,23.75,23.15,23.35,38000
822627900,23.35,23.35,23.35,23.35,0
822887100,23.35,23.950001,23.25,23.6,14000
822973500,23.6,24.9,23.6,24.6,46500
823059900,24.6,26.0,23.6,24.9,104500
823146300,24.9,25.6,24.9,25.549999,23500
823232700,25.549999,27.450001,25.25,26.9,90500
823491900,26.9,29.450001,26.9,28.6,140000
823578300,28.6,29.5,27.549999,28.25,119000
823664700,28.25,28.85,26.75,27.85,51500
823751100,27.85,30.65,27.25,29.799999,121000
823837500,29.799999,32.950001,29.799999,32.950001,358500
824096700,32.950001,33.5,30.0,30.65,377000
824183100,30.65,32.0,30.0,30.35,162500
824269500,30.35,33.25,30.35,32.150002,125500
824355900,32.150002,34.5,32.0,33.099998,307500
824442300,33.099998,33.75,31.0,31.549999,221500
824701500,31.549999,31.9,30.75,30.950001,75000
824787900,30.950001,31.35,28.549999,29.0,169500
824874300,29.0,29.0,29.0,29.0,0
824960700,30.5,31.9,30.0,30.700001,146000
825047100,30.700001,30.700001,29.75,29.85,90000
825306300,29.85,31.0,29.85,30.6,107500
825392700,30.6,30.6,29.6,30.200001,137500
825479100,30.200001,30.6,29.950001,29.950001,69500
825565500,29.950001,29.950001,27.0,27.65,70500
825651900,28.0,28.6,27.799999,28.4,64500
825911100,28.4,30.0,28.049999,29.549999,147500
825997500,29.549999,29.549999,29.549999,29.549999,0
826083900,29.549999,30.15,29.5,29.85,79000
826170300,30.1,30.9,29.15,30.200001,186500
826256700,30.200001,30.200001,28.549999,29.6,268500
826515900,29.6,29.6,28.4,28.5,184500
826602300,28.5,28.5,26.5,27.6,108000
826688700,27.6,28.0,27.0,27.6,65500
826775100,27.6,28.5,27.5,27.799999,31500
826861500,27.799999,28.0,27.4,27.6,41000
827120700,27.6,27.6,26.75,27.0,238500
827207100,27.0,27.25,26.0,26.9,53500
827293500,26.9,26.9,26.9,26.9,0
827379900,26.9,27.5,26.85,27.1,68500
827466300,27.1,27.25,26.35,26.5,41000
827725500,26.5,27.5,26.15,26.35,46000
827811900,26.35,26.950001,26.0,26.700001,207000
827898300,26.700001,28.9,26.700001,27.799999,263000
827984700,27.799999,28.450001,27.799999,28.15,88500
828071100,28.15,28.25,27.6,27.85,112500
828330300,27.85,28.25,27.75,27.950001,112500
828416700,27.950001,30.0,27.6,29.65,2116000
828503100,29.65,32.0,29.65,31.15,1744500
828589500,31.15,31.15,29.299999,29.75,112500
828675900,29.75,29.75,29.75,29.75,0
828935100,29.75,30.85,29.75,30.0,71500
829021500,30.0,30.5,27.65,29.9,142000
829107900,29.9,31.0,29.75,30.0,913000
829194300,30.0,30.0,29.1,29.4,176000
829280700,29.4,29.450001,29.25,29.4,30000
829539900,29.85,29.9,29.25,29.799999,61000
829626300,29.799999,30.15,29.0,29.15,95500
829712700,29.15,31.35,29.15,31.1,198000
829799100,31.1,34.0,31.1,32.950001,433500
829885500,32.950001,34.150002,32.799999,33.049999,350000
830144700,33.049999,33.5,32.0,32.25,154500
830231100,32.25,32.5,31.25,31.6,283500
830317500,31.6,34.799999,31.6,34.549999,5145500
830403900,34.549999,35.0,33.049999,33.349998,557000
830490300,33.349998,33.900002,32.0,32.799999,272500
830749500,32.799999,32.799999,31.6,32.349998,94000
830835900,32.349998,32.349998,31.5,31.75,218000
830922300,31.75,32.900002,31.75,32.25,86000
831008700,32.25,33.099998,31.950001,32.150002,110500
831095100,32.150002,32.5,31.75,31.75,53500
831354300,31.75,31.75,30.0,30.85,132500
831440700,30.85,31.0,30.4,30.6,156000
831527100,30.6,31.700001,29.5,31.6,143500
831613500,31.6,31.6,30.65,30.799999,67000
831699900,30.799999,30.799999,28.799999,29.9,119500
831959100,29.9,30.450001,29.700001,30.15,98000
832045500,30.15,30.5,30.1,30.4,153000
832131900,30.4,31.200001,30.200001,30.85,184000
832218300,30.85,33.5,30.85,31.049999,266500
832304700,31.049999,31.049999,30.299999,30.700001,60000
832563900,29.0,30.799999,29.0,29.75,99000
832650300,29.75,30.200001,29.15,29.4,166500
832736700,29.4,30.25,28.049999,29.299999,234000
832823100,29.299999,29.4,28.700001,28.950001,66000
832909500,28.950001,29.0,28.65,28.950001,103500
833168700,28.950001,28.950001,28.049999,28.299999,76000
833255100,28.299999,28.6,27.5,28.5,141000
833341500,28.5,29.0,28.0,28.299999,386500
833427900,28.299999,29.75,28.0,28.049999,456000
833514300,28.049999,28.200001,26.85,27.0,672000
833773500,27.0,28.0,27.0,27.5,314500
833859900,27.5,27.9,27.1,27.35,342500
833946300,27.700001,28.799999,27.299999,27.799999,402500
834032700,27.9,28.25,27.700001,27.85,779500
834119100,28.049999,28.200001,27.75,27.799999,145500
834378300,28.1,29.0,27.700001,28.450001,6342500
834464700,28.0,28.4,28.0,28.25,891500
834551100,29.0,29.75,29.0,29.5,502000
834637500,29.5,30.5,29.5,30.15,353000
834723900,30.85,31.700001,30.5,31.35,6535500
834983100,31.950001,33.700001,31.25,33.049999,2986500
835069500,32.75,33.299999,32.5,33.200001,1069000
835155900,34.0,35.25,33.75,34.150002,2326500
