time,open,high,low,close,Volume
915162300,21.5,21.5,20.950001,21.049999,2850
915421500,20.700001,22.0,20.700001,21.5,10050
915507900,21.9,23.200001,21.9,23.200001,18500
915594300,24.0,25.1,24.0,25.1,20150
915680700,26.5,26.5,23.4,25.6,31450
915767100,25.25,25.75,23.549999,25.5,23100
916026300,24.1,25.5,23.6,24.5,12850
916112700,24.0,24.5,22.549999,24.35,9800
916199100,24.5,24.5,22.4,23.9,3100
916285500,22.5,23.0,22.0,23.0,7250
916371900,22.0,22.799999,21.75,21.799999,3050
916631100,21.5,22.950001,21.5,22.0,3050
916717500,21.5,22.0,21.049999,21.5,6500
916890300,21.5,22.25,21.5,22.25,5100
916976700,22.5,22.75,21.75,22.049999,9250
917235900,21.200001,21.9,20.5,21.5,4950
917408700,22.0,23.049999,21.5,23.0,16250
917495100,22.1,22.85,22.1,22.299999,3700
917581500,21.549999,22.799999,21.549999,22.1,4300
917840700,21.799999,21.799999,20.5,20.799999,11100
917927100,19.5,20.9,19.5,20.049999,5550
918013500,20.0,21.450001,20.0,21.1,5250
918099900,21.799999,22.0,21.0,21.0,6300
918186300,20.4,20.799999,19.4,19.4,54300
918445500,19.0,19.25,18.1,18.700001,1500
918531900,17.25,19.9,17.1,18.0,4650
918618300,21.5,21.5,18.700001,18.700001,1350
918704700,19.549999,19.549999,18.700001,19.25,4050
918791100,19.549999,20.950001,19.049999,19.049999,5500
919050300,19.1,20.5,19.1,20.049999,6050
919136700,19.65,20.5,19.65,20.15,4850
919223100,20.700001,21.25,20.25,20.9,6600
919309500,20.6,22.25,20.5,21.5,7900
919395900,21.5,22.0,20.5,20.6,4450
919655100,21.0,21.9,20.0,20.0,9200
919741500,21.200001,21.200001,18.5,19.950001,7450
919827900,19.5,21.0,19.5,21.0,3400
919914300,20.15,20.75,20.0,20.049999,3950
920000700,20.65,20.65,20.0,20.15,2850
920259900,20.0,20.0,17.25,18.9,10050
920432700,19.5,20.200001,18.5,19.0,8150
920519100,18.5,19.0,18.5,19.0,2950
920605500,18.700001,19.5,18.700001,19.5,13700
920864700,19.0,19.9,18.6,18.85,19250
920951100,18.6,18.9,18.5,18.799999,6400
921037500,19.0,19.5,18.6,19.5,5000
921123900,19.0,19.1,19.0,19.0,1000
921210300,18.9,20.0,18.9,20.0,3900
921469500,19.0,19.5,18.9,19.0,3100
921555900,18.6,19.0,18.25,18.25,5250
921642300,18.549999,19.0,18.5,18.799999,3800
921728700,18.9,18.9,18.5,18.799999,4150
921815100,19.700001,19.700001,18.799999,18.799999,3600
922074300,19.0,19.0,18.549999,18.950001,3150
922160700,19.15,19.5,18.5,19.450001,8200
922247100,20.5,21.75,20.5,21.0,8950
922333500,21.1,21.1,19.6,20.75,3400
922419900,20.200001,20.25,19.65,20.0,4000
922765500,19.75,20.0,18.450001,19.0,8050
922851900,20.0,20.5,19.5,20.25,5300
922938300,20.75,20.75,19.75,20.25,5800
923283900,19.700001,19.700001,18.65,18.65,8500
923370300,18.65,19.0,18.65,19.0,13750
923456700,19.25,19.4,18.75,19.4,3250
923543100,19.0,19.950001,19.0,19.25,3250
923629500,19.0,19.049999,18.950001,19.0,3050
923888700,18.0,18.75,17.049999,18.700001,1600
923975100,18.1,18.35,18.1,18.200001,1800
924147900,17.5,17.5,17.5,17.5,300
924234300,18.450001,19.9,17.75,19.9,1500
924493500,18.25,19.0,18.25,18.799999,3400
924579900,19.0,19.1,19.0,19.049999,4600
924666300,19.1,19.15,19.0,19.0,2650
924752700,19.0,19.0,18.5,18.5,7000
924839100,19.9,19.9,18.049999,18.049999,6300
925098300,18.0,18.0,16.9,16.9,6550
925271100,16.25,16.65,16.25,16.65,500
925357500,17.5,18.0,17.5,17.950001,3300
925443900,18.25,18.25,17.5,17.5,1200
925703100,16.6,17.5,16.549999,17.1,1900
925789500,16.5,17.1,16.0,16.25,14600
925875900,19.950001,19.950001,16.4,18.0,4900
925962300,17.1,17.75,17.0,17.0,2600
926048700,17.5,17.5,17.0,17.450001,16700
926307900,18.0,18.5,17.549999,18.200001,9350
926394300,18.25,20.5,18.25,20.5,18900
926480700,21.950001,22.15,18.9,19.0,36900
926567100,20.5,22.0,20.5,21.6,19700
926653500,22.4,23.35,22.299999,23.35,47500
926912700,25.1,25.1,21.6,23.0,25600
926999100,22.35,23.200001,22.200001,22.25,21950
927085500,21.549999,24.049999,21.549999,24.049999,8000
927171900,24.799999,25.0,23.25,23.25,20100
927258300,24.25,25.0,22.0,22.0,17650
927517500,22.0,22.25,21.25,22.0,12950
927603900,22.0,22.5,21.0,21.15,10000
927690300,21.0,22.0,20.5,20.799999,6000
927776700,21.0,21.75,20.799999,21.75,1200
927863100,21.0,21.4,20.25,20.25,8150
928122300,19.5,21.5,19.15,20.799999,3200
928208700,21.950001,22.5,21.1,21.1,9500
928295100,22.75,22.799999,21.75,22.0,2800
928381500,22.5,22.5,21.1,22.0,5000
928467900,23.0,23.65,22.299999,23.25,17050
928727100,23.65,24.5,23.549999,23.75,10350
928813500,22.5,25.65,22.25,25.65,22800
928899900,27.700001,27.700001,27.0,27.700001,9800
928986300,29.4,29.950001,29.4,29.950001,26700
929072700,32.25,32.349998,29.5,30.450001,118600
929331900,28.15,30.5,28.1,29.85,35150
929418300,30.700001,32.0,30.549999,30.9,48700
929504700,31.0,31.5,30.1,31.049999,20900
929591100,31.549999,33.549999,30.5,33.549999,60950
929677500,36.0,36.25,34.200001,34.450001,69800
929936700,34.599998,35.900002,33.200001,33.849998,24450
930023100,34.5,35.400002,33.0,33.950001,44600
930109500,34.849998,35.0,32.5,33.0,22100
930195900,31.549999,31.9,30.6,31.450001,14700
930282300,31.049999,32.5,31.049999,31.15,20050
930541500,29.5,30.0,28.700001,28.700001,9550
930627900,30.0,31.0,29.25,30.700001,163500
930714300,31.0,33.200001,29.700001,31.9,38450
930800700,33.0,34.450001,31.6,32.200001,34700
930887100,32.0,34.799999,32.0,34.599998,38300
931146300,35.0,36.400002,34.150002,35.0,13300
931232700,35.0,37.799999,34.950001,37.799999,27850
931319100,40.799999,40.849998,39.25,40.799999,72550
931405500,37.549999,44.099998,37.549999,43.5,164450
931491900,46.400002,47.0,41.599998,43.049999,77550
931751100,44.900002,46.5,44.0,46.5,106050
931837500,49.0,49.0,43.0,43.75,80550
931923900,47.25,47.25,43.25,46.099998,119650
932010300,47.5,49.650002,45.0,45.650002,119350
932096700,45.049999,46.5,44.099998,45.349998,45500
932355900,45.799999,45.799999,44.099998,44.450001,43750
932442300,44.0,44.75,40.900002,41.0,45550
932528700,41.150002,43.200001,40.0,42.549999,41400
932615100,42.0,42.349998,39.549999,40.049999,21250
932701500,40.0,40.5,37.950001,40.0,20400
932960700,41.0,42.0,37.700001,40.849998,43650
933047100,39.150002,40.900002,39.049999,40.400002,34100
933133500,40.0,42.75,40.0,41.200001,29350
933219900,41.0,41.75,40.0,40.950001,26900
933306300,41.0,44.200001,40.0,42.650002,36950
933565500,46.099998,46.099998,45.099998,46.099998,79000
933651900,49.700001,49.799999,49.0,49.799999,60050
933738300,53.799999,53.799999,53.799999,53.799999,19550
933824700,58.099998,58.099998,56.099998,57.799999,353150
933911100,57.0,59.900002,54.75,57.849998,126850
934170300,59.0,61.5,58.0,60.349998,165000
934256700,59.049999,59.099998,57.299999,57.900002,132900
934343100,58.900002,61.5,58.200001,60.849998,96150
934429500,62.0,63.799999,59.200001,59.700001,57300
934515900,60.849998,60.950001,57.5,57.849998,56150
934775100,59.849998,62.5,58.75,62.5,86300
934861500,65.900002,67.5,63.0,67.5,138500
934947900,72.449997,72.900002,69.550003,70.949997,163900
935034300,70.0,70.0,65.300003,65.300003,43050
935120700,62.5,63.599998,60.150002,62.299999,47950
935379900,62.950001,66.0,62.950001,63.650002,48200
935466300,62.099998,63.5,61.049999,62.5,66600
935552700,65.0,67.5,62.599998,63.25,133250
935639100,65.0,68.349998,64.5,68.349998,80850
935725500,70.099998,72.0,67.0,68.099998,91250
935984700,70.0,70.699997,63.0,63.5,67750
936071100,63.0,63.0,60.0,61.900002,76250
936157500,63.900002,63.900002,57.150002,58.950001,40300
936243900,58.0,58.0,55.0,56.650002,22400
936330300,56.049999,57.0,52.349998,52.849998,36000
936589500,54.0,57.099998,52.5,57.099998,48600
936675900,56.0,61.700001,56.0,61.299999,116450
936762300,63.0,63.5,58.200001,59.549999,42100
936848700,59.0,59.75,58.099998,59.25,21250
936935100,58.849998,59.0,55.599998,56.200001,30900
937280700,56.5,56.5,54.049999,54.650002,37500
937367100,57.0,57.0,54.75,54.799999,33200
937453500,54.0,55.0,50.450001,52.75,18200
937539900,51.599998,55.0,51.400002,54.599998,31500
937799100,55.0,55.799999,51.5,51.700001,17700
937885500,50.0,51.5,48.75,49.25,23050
937971900,50.0,53.200001,50.0,52.599998,50550
938058300,52.5,52.5,50.5,51.400002,10650
938144700,51.5,52.0,50.599998,51.849998,9700
938403900,52.5,52.5,50.549999,51.950001,39350
938490300,48.0,50.5,47.799999,48.700001,41200
938576700,51.0,52.599998,50.5,52.599998,16800
938663100,56.0,56.75,50.099998,51.349998,23050
938749500,52.0,53.5,50.049999,50.849998,9550
939008700,50.099998,51.5,48.049999,48.25,12200
939095100,46.049999,49.450001,46.049999,48.599998,30200
939181500,51.700001,51.700001,48.400002,48.650002,15900
939267900,49.5,52.549999,48.25,52.349998,33950
939354300,50.5,54.5,50.5,52.049999,26500
939613500,52.200001,52.200001,47.900002,49.900002,30700
939699900,47.0,53.900002,47.0,53.900002,66250
939786300,55.0,58.25,55.0,58.25,59100
939872700,62.900002,62.950001,60.0,62.700001,70100
939959100,65.599998,66.900002,57.700001,57.950001,74700
940218300,60.0,62.599998,53.5,62.599998,166300
940391100,67.650002,67.650002,67.650002,67.650002,56400
940477500,72.349998,73.099998,64.0,65.5,161850
940563900,64.0,68.699997,64.0,67.849998,106600
940823100,70.0,70.5,64.099998,66.050003,57900
940909500,64.0,66.75,64.0,65.650002,46750
940995900,64.800003,65.0,60.400002,60.5,51150
941082300,57.5,60.0,56.099998,57.049999,56100
941168700,56.0,59.900002,56.0,58.349998,36350
941427900,57.0,58.650002,55.099998,55.700001,40550
941514300,55.950001,60.200001,53.5,60.200001,40950
941600700,62.0,63.0,56.75,57.700001,83750
941687100,57.049999,57.049999,54.0,54.25,43900
941773500,54.950001,57.5,54.599998,56.849998,36900
942119100,58.0,59.900002,56.950001,58.900002,32700
942205500,59.0,60.299999,57.25,59.049999,29050
942291900,59.299999,59.299999,56.5,56.900002,25100
942378300,56.099998,56.75,56.0,56.400002,11950
942637500,56.099998,57.25,54.75,56.799999,30700
942723900,56.0,57.349998,56.0,56.599998,27750
942810300,56.900002,56.900002,53.0,53.0,41000
942896700,52.200001,53.25,51.0,51.950001,33150
942983100,53.0,53.0,50.75,51.349998,21750
943242300,48.0,52.900002,48.0,49.650002,120250
943415100,53.599998,53.650002,53.599998,53.650002,600
943501500,55.700001,57.950001,54.0,57.950001,14751
943587900,59.950001,60.0,54.5,54.5,10852
