time,open,high,low,close,Volume
915162300,22.589999,22.8,22.1,22.78,998500
915421500,23.0,24.605,22.83,24.6,2877000
915507900,24.4,25.9,23.7,25.105,2263500
915594300,25.6,25.889999,24.125,24.2,1007000
915680700,24.1,24.5,23.705,23.855,661500
915767100,24.189999,25.764999,24.110001,25.3,1642000
916026300,26.5,26.5,25.025,25.5,1482500
916112700,24.92,25.6,24.455,24.8,1251500
916199100,26.0,26.25,23.725,24.0,1290000
916285500,23.889999,24.364999,23.2,23.605,442000
916371900,24.15,24.5,23.2,23.289999,618500
916631100,23.545,23.67,22.8,23.0,282500
916717500,22.0,22.0,21.160001,21.160001,590000
916890300,19.7,20.7,19.625,20.5,671000
916976700,20.95,21.1,19.82,20.08,369500
917235900,19.75,20.0,18.914999,19.15,454000
917408700,19.5,20.595,19.5,20.295,348000
917495100,20.08,20.285001,19.15,19.225,212000
917581500,19.25,19.3,18.610001,19.155,241000
917840700,18.505,19.0,18.2,18.2,164500
917927100,18.310001,18.310001,17.405,17.5,332500
918013500,18.0,18.2,17.405,17.810001,291500
918099900,18.05,18.55,18.0,18.539999,557000
918186300,18.85,19.4,18.460001,19.4,641000
918445500,19.4,19.4,18.5,18.5,266500
918531900,18.1,18.65,18.1,18.410001,340000
918618300,18.8,19.6,18.789999,19.45,394500
918704700,19.6,20.0,18.795,18.795,383500
918791100,18.85,19.039999,18.1,18.4,294000
919050300,18.064999,19.1,18.064999,18.445,313500
919136700,18.4,19.925,18.02,19.925,503500
919223100,21.289999,21.52,20.710001,21.52,699000
919309500,22.95,22.95,21.2,21.3,726000
919395900,21.3,21.989999,20.55,20.9,440000
919655100,21.095,21.6,20.264999,20.325,414000
919741500,20.255,20.4,19.510001,20.1,493000
919827900,20.13,20.5,20.125,20.5,140500
919914300,20.685001,20.685001,19.6,19.6,155500
920000700,19.610001,19.75,19.010001,19.3,327000
920259900,20.8,20.8,19.6,20.2,350000
920432700,21.3,21.3,20.2,20.489999,486000
920519100,20.5,20.5,19.8,20.275,187500
920605500,20.475,21.9,20.32,21.9,513500
920864700,23.655,23.655,23.655,23.655,66500
920951100,25.55,25.55,23.1,25.55,1848000
921037500,27.5,27.595001,25.0,27.595001,2099500
921123900,28.0,29.7,27.114999,28.1,1824000
921210300,28.5,29.1,27.610001,29.0,2039500
921469500,28.35,30.979999,28.35,29.6,2641000
921555900,29.5,29.9,28.0,28.0,1733500
921642300,30.0,30.239999,28.514999,29.4,2621500
921728700,29.5,31.754999,29.1,31.754999,2827000
921815100,32.5,32.5,29.5,30.1,2074500
922074300,30.970001,31.5,30.129999,30.7,1922000
922160700,30.875,31.379999,29.510001,29.65,1551000
922247100,30.889999,31.039999,28.510001,29.564999,858500
922333500,29.5,29.714999,28.5,29.2,446500
922419900,28.610001,29.25,27.4,28.2,538000
922765500,28.5,28.5,25.945001,26.195001,1238000
922851900,26.725,27.989999,26.560001,26.960001,1857500
922938300,27.4,27.4,26.4,26.5,829000
923283900,26.004999,26.285001,24.4,24.4,538000
923370300,23.025,24.6,23.025,24.03,748000
923456700,24.6,25.954999,24.310001,24.7,998000
923543100,25.0,25.2,23.5,23.695,517000
923629500,23.5,23.510001,22.460001,23.0,476500
923888700,22.810001,24.0,22.660001,23.110001,499000
923975100,22.914999,23.0,21.9,21.9,513000
924147900,21.5,22.489999,20.15,20.15,1196500
924234300,19.8,21.764999,19.0,21.764999,4075500
924493500,18.7,19.78,18.505,19.25,679000
924579900,19.545,19.9,18.7,19.05,806000
924666300,19.3,20.0,19.3,19.655,505500
924752700,19.7,21.23,19.7,21.23,1791500
924839100,21.1,22.189999,20.4,21.65,1735000
925098300,19.955,22.6,19.955,21.289999,2496500
925271100,21.05,22.7,21.05,22.4,1537500
925357500,22.5,23.9,21.8,23.5,2978000
925443900,23.560001,25.38,21.705,23.189999,4616000
925703100,23.5,24.2,22.510001,22.95,2179500
925789500,22.905,24.089999,22.905,23.5,1933500
925875900,23.705,23.705,23.0,23.02,984000
925962300,23.0,23.139999,22.310001,22.5,763000
926048700,22.710001,24.3,22.3,23.2,2668500
926307900,23.5,23.57,22.955,23.2,961000
926394300,23.25,25.05,23.2,25.05,2408500
926480700,25.57,25.57,23.1,23.589999,1656500
926567100,24.0,24.5,23.7,23.910001,1327000
926653500,24.095,24.38,23.5,23.55,1146500
926912700,23.885001,24.6,23.305,24.15,2000500
926999100,24.2,24.95,23.95,24.1,1804500
927085500,24.739999,26.029999,24.15,26.029999,2693000
927171900,26.4,26.4,24.8,25.0,2149500
927258300,25.15,25.295,23.3,23.655,1505000
927517500,23.705,23.75,23.035001,23.475,692500
927603900,23.475,23.9,23.175,23.375,1535000
927690300,23.675,23.895,21.8,22.4,1919000
927776700,22.0,23.3,21.6,21.6,1612500
927863100,21.5,21.5,19.875,20.7,2165000
928122300,20.710001,21.7,20.710001,21.5,1233500
928208700,21.210001,21.4,20.375,20.375,1109500
928295100,20.6,21.095,20.495,20.925,577500
928381500,21.0,21.4,20.9,20.92,513000
928467900,21.160001,21.875,21.160001,21.47,1472000
928727100,21.5,22.8,21.5,22.425,1762000
928813500,22.15,23.2,21.8,22.75,1336000
928899900,22.989999,23.3,22.45,22.53,918500
928986300,23.1,23.189999,22.385001,22.5,448500
929072700,22.410001,22.495,21.910001,22.25,757500
929331900,20.55,21.55,20.55,21.414999,492000
929418300,21.6,22.0,20.9,21.064999,928500
929504700,21.22,21.8,21.02,21.675,572500
929591100,21.6,22.9,21.6,22.455,1489500
929677500,22.65,23.3,22.1,22.33,1356000
929936700,23.1,23.5,22.7,22.960001,1949500
930023100,23.0,23.1,22.2,22.425,1226000
930109500,22.7,22.9,22.010001,22.195,1162500
930195900,22.0,22.2,21.62,22.12,429000
930282300,22.110001,22.45,21.5,21.610001,875500
930541500,21.9,22.25,21.810001,22.005,530000
930627900,22.4,22.7,22.1,22.33,1338500
930714300,22.67,23.739999,22.67,23.225,2720500
930800700,23.325,23.4,22.45,22.585001,836000
930887100,22.564999,22.95,22.48,22.545,991000
931146300,22.839999,23.98,22.7,23.685001,1987500
931232700,24.2,24.9,23.775,24.555,1770000
931319100,25.0,25.2,24.0,24.425,1989000
931405500,24.35,26.3,23.825,25.975,4969000
931491900,26.079999,26.8,25.804999,26.370001,3550500
931751100,26.8,28.479999,26.8,28.479999,3387500
931837500,28.8,29.995001,26.810001,27.204999,2264500
931923900,27.589999,27.9,26.7,26.820001,1247500
932010300,27.2,27.6,25.5,25.995001,1176500
932096700,25.7,26.25,25.410001,25.635001,1293500
932355900,26.3,27.485001,26.125,27.004999,3001000
932442300,26.5,29.0,26.010001,27.975,5200000
932528700,28.0,29.370001,27.7,28.120001,4350000
932615100,28.55,30.370001,27.410001,29.560001,9632000
932701500,29.7,29.995001,28.4,28.95,5978000
932960700,28.829999,30.685001,28.5,30.020001,7076000
933047100,29.8,32.4,29.610001,31.564999,6458500
