time,open,high,low,close,Volume
915162300,2.06,2.06,2.06,2.06,750
915421500,2.28,2.29,2.17,2.2,11250
915507900,2.3,2.5,2.3,2.34,18000
915594300,2.49,2.78,2.49,2.66,37250
915680700,2.75,2.76,2.6,2.7,14000
915767100,2.5,2.66,2.4,2.4,25500
916026300,2.41,2.49,2.28,2.28,39000
916112700,2.28,2.37,2.26,2.3,18000
916199100,2.27,2.3,2.27,2.28,16250
916285500,2.3,2.31,2.28,2.28,11750
916371900,2.25,2.25,2.22,2.23,19750
916631100,2.3,2.3,2.1,2.13,6000
916717500,2.15,2.15,2.1,2.1,6500
916890300,2.0,2.2,1.83,2.02,14250
916976700,2.19,2.19,2.0,2.0,9000
917235900,2.1,2.18,2.06,2.06,10500
917408700,2.06,2.2,2.06,2.1,18750
917495100,2.05,2.05,2.0,2.04,7250
917581500,2.08,2.09,1.97,2.0,15000
917840700,2.28,2.5,2.28,2.5,28250
917927100,2.8,3.12,2.5,2.59,105250
918013500,2.79,2.86,2.5,2.7,35750
918099900,2.58,2.61,2.45,2.5,47000
918186300,2.58,2.65,2.35,2.45,22000
918445500,2.58,2.58,2.3,2.35,4750
918531900,2.24,2.3,2.2,2.2,14000
918618300,2.25,2.35,2.24,2.35,10000
918704700,2.39,2.39,1.85,1.92,269250
918791100,2.0,2.1,1.77,1.8,247500
919050300,1.8,1.98,1.8,1.95,34000
919136700,1.83,1.9,1.58,1.6,405500
919223100,1.83,1.97,1.65,1.94,147500
919309500,1.94,1.99,1.5,1.71,296500
919395900,1.83,1.9,1.6,1.8,404250
919655100,1.96,2.4,1.92,2.15,378500
919741500,2.04,2.2,2.02,2.2,218750
919827900,2.3,2.32,1.9,2.05,163500
919914300,1.91,2.05,1.91,1.96,90750
920000700,1.91,1.97,1.9,1.93,149500
920259900,2.16,2.2,1.9,1.94,100000
920432700,2.09,2.09,1.96,2.0,100750
920519100,2.1,2.1,1.96,2.0,69500
920605500,2.01,2.02,1.96,1.96,72000
920864700,2.0,2.03,1.88,1.95,83000
