time,open,high,low,close,Volume
915162300,2.29166667,2.29166667,2.25500008,2.27458342,444000
915421500,2.29458342,2.31666667,2.27583342,2.29916658,696000
915507900,2.30166675,2.45833333,2.3,2.43333333,2448000
915594300,2.55833333,2.6,2.5,2.54833325,6564000
915680700,2.54166667,2.57791675,2.53333333,2.55,2748000
915767100,2.53541667,2.58333333,2.52583342,2.5375,2148000
916026300,2.625,2.625,2.52916667,2.54916658,2760000
916112700,2.5,2.53333333,2.34791667,2.36666667,1860000
916199100,2.525,2.525,2.43000008,2.45208333,1404000
916285500,2.475,2.475,2.4375,2.45,576000
916371900,2.44208325,2.45749992,2.36666667,2.40833333,600000
916631100,2.44166667,2.45833333,2.38000008,2.41666667,456000
916717500,2.44125008,2.44166667,2.36041667,2.39166667,1332000
916890300,2.45625,2.48333333,2.425,2.48333333,696000
916976700,2.46833342,2.52916667,2.46833342,2.47541658,756000
917235900,2.49875008,2.49916658,2.42541658,2.42916667,864000
917408700,2.49083325,2.56416675,2.46666667,2.50874992,1020000
917495100,2.525,2.55833333,2.47541658,2.49166667,468000
917581500,2.52416658,2.58000008,2.49333342,2.52083333,1836000
917840700,2.57458342,2.7,2.55,2.55,2736000
917927100,2.54166667,2.58291675,2.50833333,2.52916667,1860000
918013500,2.58333333,2.63666658,2.575,2.625,2304000
918099900,2.65791675,2.825,2.64375,2.68958333,7176000
918186300,2.68374992,2.74166667,2.66666667,2.71708325,3036000
918445500,2.725,2.79166667,2.66791658,2.67583342,2856000
918531900,2.65833333,2.71583325,2.63333333,2.69666675,2688000
918618300,2.79833325,2.80833333,2.73916675,2.78208342,2472000
918704700,2.77958325,2.81666667,2.75,2.77208325,2676000
918791100,2.775,2.77791675,2.7,2.74583333,3132000
919050300,2.72916667,2.77041675,2.7,2.7,2196000
919136700,2.725,2.74166667,2.55416667,2.65833333,3036000
919223100,2.72083333,2.78916675,2.69583333,2.76583325,3720000
919309500,2.78249992,2.80416667,2.74166667,2.74583333,2292000
