time,open,high,low,close,Volume
915162300,17.5,17.625,17.5,17.6,11500
915421500,18.189999,18.389999,18.05,18.27,44500
915507900,18.225,18.225,17.810001,18.1,26000
915594300,18.314999,18.8,18.314999,18.405,33000
915680700,18.5,18.8,18.310001,18.375,51500
915767100,18.989999,19.845,18.989999,19.845,245500
916026300,20.25,20.3,19.35,19.35,136500
916112700,19.189999,19.2,18.2,18.3,93500
916199100,18.93,18.93,18.8,18.8,15000
916285500,18.13,18.310001,18.110001,18.289999,27500
916371900,18.3,18.3,17.725,17.725,19000
916631100,17.814999,18.8,17.814999,18.65,46500
916717500,18.9,19.1,18.5,18.8,31000
916890300,18.85,18.85,17.45,18.489999,44000
916976700,18.5,19.4,18.405,18.5,43000
917235900,18.2,18.2,17.5,17.785001,38500
917408700,18.2,18.35,18.1,18.17,7000
917495100,17.8,18.2,17.8,17.83,11500
917581500,17.125,17.7,17.125,17.6,4000
917840700,17.7,17.7,17.02,17.195,8500
917927100,16.989999,17.2,16.83,16.83,13500
918013500,17.3,17.525,17.3,17.525,6000
918099900,16.85,17.05,16.85,17.05,3500
918186300,16.905,16.905,16.5,16.5,6000
918445500,16.5,16.789999,16.425,16.425,4500
918531900,16.125,16.275,15.810001,16.275,12000
918618300,17.0,17.0,16.6,16.65,15000
918704700,16.8,16.9,16.7,16.75,11500
918791100,16.53,17.1,16.53,16.8,27000
919050300,17.05,17.089999,16.7,16.7,21500
919136700,17.0,17.495,16.8,17.495,19000
919223100,17.660001,18.0,17.27,17.3,20000
919309500,17.205,17.8,17.205,17.4,12000
919395900,17.7,17.7,16.65,16.835001,26500
919655100,16.65,16.65,16.155,16.155,13500
919741500,16.4,16.405,16.0,16.1,32500
919827900,16.6,16.6,16.5,16.5,6000
919914300,16.6,16.8,16.325,16.325,8000
920000700,16.2,16.2,15.9,16.2,14500
920259900,16.85,16.85,16.210001,16.355,26500
920432700,16.9,17.664999,16.75,17.664999,16500
920519100,18.3,18.3,17.5,17.5,35000
920605500,17.310001,17.5,17.1,17.1,19500
920864700,17.989999,17.989999,17.0,17.05,42500
920951100,17.0,17.2,16.675,16.7,30500
