time,open,high,low,close,Volume
915162300,10.03616639,10.21951943,9.97826543,10.21951943,511390.48517211
915421500,10.22916959,10.27742039,10.03616639,10.06029179,285487.49476173
915507900,10.06029179,10.09406735,9.74666159,9.93966479,690662.12435098
915594300,9.93966479,10.27259531,9.91071431,10.11336767,1064749.18645256
915680700,10.12301783,10.32567119,10.01686607,10.22916959,1242984.57338185
915767100,10.36909691,10.51384931,10.13266799,10.35944675,1361117.32983498
916026300,10.47042359,10.54762487,10.18091879,10.20504419,1654376.71646863
916112700,10.13266799,10.26777023,10.05064163,10.15679339,1074593.58282366
916199100,10.41252263,10.41252263,9.53918296,9.56330836,1993231.20208419
916285500,9.45715679,9.55365839,9.26415359,9.55365839,804649.87180576
916371900,9.52470762,9.63085996,8.97464879,8.97464879,672527.70998317
916631100,9.02289959,9.07115039,8.91674803,8.97464879,221757.98141202
916717500,8.93604796,8.96982342,8.50661623,8.54039159,938844.53812751
916890300,8.29913759,8.62724323,8.29913759,8.43906462,658020.17848893
916976700,8.50661623,9.07115039,8.48731542,8.78164559,752319.13320152
917235900,8.73339479,8.78164559,8.39563919,8.45353996,561648.71927717
917408700,8.63689319,8.77682022,8.49214079,8.68996936,801541.11505699
917495100,8.64171856,8.82507102,8.55004156,8.56934236,350771.38648583
917581500,8.55969162,8.61276779,8.25088679,8.32808836,427972.1790802
917840700,8.29431222,8.34256302,8.10613439,8.10613439,257508.68402283
917927100,8.10613439,8.13025979,7.84075499,7.84558036,469940.39518855
918013500,8.15438519,8.15438519,8.00963279,8.09165896,239374.26965503
918099900,8.19298603,8.19298603,8.00963279,8.05788359,218131.09853846
918186300,8.01928276,8.15921056,7.98068202,8.15921056,124868.39607546
918445500,8.05788359,8.27983756,8.05788359,8.07718362,168390.99055819
918531900,8.05788359,8.15921056,7.86488039,8.08200899,481339.16993403
918618300,8.37151379,8.37151379,8.01928276,8.14955982,205177.9454186
918704700,8.17851059,8.20263599,8.00963279,8.00963279,232638.6300327
918791100,7.99998283,8.01445816,7.76837879,7.86005502,291705.00825927
919050300,7.81662959,7.99998283,7.43544856,7.56572563,318647.56674858
919136700,7.52712479,7.74907876,7.36307236,7.43062319,695325.25947413
919223100,7.62362639,7.72495336,7.48369936,7.72495336,392739.60259418
919309500,7.72012799,8.00963279,7.43062319,7.43062319,910865.72738861
919395900,7.52712479,7.68152716,7.28587079,7.42097323,1064749.18645256
919655100,7.42579782,7.52712479,7.34377156,7.41132316,396884.61159254
919741500,7.15559383,7.43062319,7.15559383,7.23761999,775634.80881727
919827900,7.52712479,7.52712479,7.30999619,7.33412159,435744.07095212
919914300,7.49334943,7.49334943,7.36307236,7.39684783,262171.81914598
920000700,7.42579782,7.44027316,7.34377156,7.43062319,353880.1432346
920259900,7.44509863,7.50782476,7.18936919,7.23761999,698952.14234769
920432700,7.33894696,7.47887399,7.01566602,7.17971923,596881.29576319
920519100,7.06874219,7.12181836,6.97706596,7.03014136,229011.74715914
920605500,6.94811519,7.00601596,6.85643896,6.85643896,386003.96297185
920864700,6.86608903,6.99154062,6.71168656,6.84196363,340408.86398994
920951100,6.85161359,6.85161359,6.51385799,6.51385799,672009.58385838
921037500,6.89986439,7.03496683,6.57175876,7.03496683,712423.42159235
921123900,6.99154062,6.99154062,6.66826036,6.73581196,389112.71972062
921210300,6.48490722,6.77441202,6.48490722,6.67791042,266834.95426913
921469500,6.65861039,6.65861039,6.52833343,6.52833343,395330.23321815
921555900,6.55245883,6.56693416,6.34498019,6.34498019,667864.57486003
921642300,6.62965962,6.85161359,6.47043256,6.49938256,812421.76367767
921728700,6.56210879,6.73098659,6.53798339,6.69721123,240410.52190462
921815100,6.75511199,6.81301276,6.47525716,6.48008263,355434.52160898
922074300,6.48008263,6.56210879,6.39323099,6.47525716,281860.61188817
922160700,6.48973259,6.48973259,6.27742936,6.32085479,803613.61955617
922247100,6.70686119,6.79371283,6.44148179,6.49455796,568384.35889949
922333500,6.48973259,6.74063656,6.44148179,6.49938256,318647.56674858
922419900,6.71651116,6.71651116,6.37875556,6.51385799,387040.21522144
922765500,6.61035959,6.65861039,6.27260399,6.51385799,1244538.95175623
922851900,7.03496683,7.03496683,6.94811519,6.99636599,359071.76700504
922938300,7.02049139,7.02049139,6.69721123,6.75511199,275529.11064318
923283900,6.40770643,6.72133663,6.40770643,6.60553422,100516.46821012
923370300,6.46560719,7.13629302,6.36910559,7.13629302,666900.86026791
923456700,7.57537559,7.71047803,7.23761999,7.23761999,2342655.46064555
923543100,7.23761999,7.42579782,7.04461679,7.05426676,377071.4685804
923629500,7.04461679,7.09286759,6.76476196,6.85643896,303715.171832
923888700,6.77923739,7.09286759,6.66343576,6.82748819,492033.29314979
923975100,6.75511199,6.85161359,6.75511199,6.75511199,746878.80889118
924147900,6.83231356,6.83231356,6.68273579,6.81301276,205022.50758116
924234300,6.85161359,7.35824699,6.80336279,7.14111839,1674593.99785811
924493500,6.42218176,6.88538896,6.42218176,6.87091362,352885.34107499
924579900,6.94811519,6.94811519,6.61035959,6.65861039,465816.11123519
924666300,6.75511199,6.83713816,6.71168656,6.73098659,647709.46860552
924752700,6.75511199,6.86126356,6.61518496,6.65861039,426106.92503094
924839100,6.74546203,6.74546203,6.44148179,6.48490722,628994.75297795
925098300,6.17610239,6.36910559,5.96862376,6.07477581,592249.24820753
925271100,6.03134999,6.06030038,5.79009599,5.97344923,505048.62140462
925357500,5.98309919,6.06995083,5.91072299,6.05547539,178877.86332403
925443900,6.08442578,6.26777862,6.04582543,6.26777862,265228.76328227
925703100,6.31120483,6.31120483,6.08925076,6.21470323,338958.11084052
925789500,6.17610239,6.27260399,6.13750156,6.27260399,250700.50674303
925875900,6.28225396,6.41253102,6.22435319,6.23882863,237457.20299329
925962300,6.27260399,6.29672939,6.17610239,6.24365322,514499.24192087
926048700,6.27260399,6.40770643,6.27260399,6.36428022,723086.45724062
926307900,6.39323099,6.87573899,6.39323099,6.79371283,1251481.84182847
926394300,6.80336279,7.09769296,6.80336279,6.94811519,1699215.35130834
926480700,7.32447163,7.32447163,6.65861039,6.79853742,3121834.25215641
926567100,6.89986439,7.21349459,6.75511199,7.01566602,4515261.92713357
926653500,7.17006916,7.58020096,7.04461679,7.58020096,1476607.64305166
926912700,7.99998283,8.18816056,7.72977796,8.18816056,6168156.80288529
926999100,8.48249083,8.84437183,8.34738839,8.84437183,899539.49030061
927085500,9.55365839,9.55365839,9.16765199,9.55365839,3183729.59902436
927171900,9.93966479,10.12301783,8.79129556,8.90709796,2252667.31529126
927258300,8.87814719,8.90227259,8.19781062,8.19781062,944699.36333769
927517500,7.73942802,8.10613439,7.54160023,7.54160023,632372.93531161
927603900,7.23761999,8.14473523,7.18936919,8.14473523,1691018.59601409
927690300,8.19298603,8.19298603,7.49334943,7.49334943,992885.09294357
927776700,7.71047803,7.71047803,7.24244536,7.24244536,748453.91231055
927863100,7.23279462,7.23279462,6.72616122,6.90468976,937165.80948318
928122300,7.19419456,7.42097323,7.04461679,7.38237239,902295.92128451
928208700,7.24244536,7.36307236,7.04461679,7.14111839,495556.55079839
928295100,7.19901916,7.27622083,7.05426676,7.20384463,238690.3431703
928381500,7.25692002,7.43062319,7.12181836,7.43062319,3097959.00032589
928467900,7.51747483,8.02893282,7.50782476,8.02893282,2374623.84254537
928727100,8.20263599,8.62724323,8.02893282,8.49214079,2324293.07078284
928813500,8.48249083,8.54039159,8.20263599,8.41976459,814939.85664417
928899900,8.78164559,8.78164559,8.20746136,8.30396296,935932.66930617
928986300,8.44388999,8.45353996,8.09648443,8.13990976,340688.65209733
929072700,7.91313119,8.10613439,7.76837879,7.79732956,594984.95414644
929331900,7.72977796,7.72977796,7.26657076,7.52712479,561234.21837733
929418300,7.62362639,7.69117722,7.47887399,7.52712479,923787.79294099
929504700,7.51747483,7.51747483,7.18936919,7.37272243,1254528.42344227
929591100,7.61880102,7.61880102,7.33412159,7.44027316,1304082.00601761
929677500,7.45474859,7.76837879,7.38719776,7.60915096,3127005.15088186
929936700,7.74425339,7.91795656,7.74425339,7.83592962,1992827.06370685
930023100,7.90830582,7.95173203,7.72495336,7.81662959,5185116.10631281
930109500,7.91313119,7.98068202,7.72012799,7.73942802,1159131.04134512
930195900,7.63810183,7.76837879,7.58020096,7.62362639,523348.83613236
930282300,7.58020096,7.70082796,7.50782476,7.53195016,521141.61884074
930541500,7.52712479,7.61880102,7.47887399,7.54160023,297010.61977716
930627900,7.57537559,7.59950099,7.47887399,7.51747483,248337.85161397
