time,open,high,low,close,Volume
915162300,4.7674999,4.7674999,4.3875,4.3875,1120000.0
915421500,4.31500015,4.74000015,4.26500015,4.74000015,1318000.0
915507900,4.825,4.8424999,4.3625,4.45999985,2542000.0
915594300,4.55999985,4.75,4.4075001,4.44000015,1822000.0
915680700,4.4049999,4.65,4.375,4.39000015,762000.0
915767100,4.425,4.4299999,4.15,4.375,702000.0
916026300,4.40999985,4.4700001,4.25250015,4.275,862000.0
916112700,4.1625,4.61500015,4.1625,4.4,1702000.0
916199100,4.5375,4.75250015,4.53499985,4.75250015,1990000.0
916285500,4.7125,5.095,4.6125,5.095,4958000.0
916371900,5.245,5.245,4.6875,4.6875,1266000.0
916631100,4.65,4.65,4.3125,4.3125,758000.0
916717500,4.20250015,4.325,4.0174999,4.2,2016000.0
916890300,4.35,4.42249985,4.0825001,4.2125,886000.0
916976700,4.25,4.3,3.975,4.05,420000.0
917235900,3.9049999,4.375,3.9049999,4.3700001,1420000.0
917408700,4.48499985,4.7200001,4.2575001,4.3,1414000.0
917495100,4.3,4.325,4.05,4.07750015,516000.0
917581500,4.05,4.15999985,3.95,4.0,636000.0
917840700,3.825,3.95,3.75,3.75,358000.0
917927100,3.625,4.05,3.625,4.05,1284000.0
918013500,4.2375,4.3,4.1075001,4.225,1606000.0
918099900,4.2950001,4.2950001,3.9075001,3.99000015,806000.0
918186300,3.8,3.94749985,3.8,3.825,518000.0
918445500,3.8950001,3.8950001,3.67750015,3.725,414000.0
918531900,3.6924999,3.75,3.45,3.65,1068000.0
918618300,3.72249985,3.9424999,3.6575001,3.9424999,842000.0
918704700,4.09749985,4.2125,4.05250015,4.175,966000.0
918791100,4.1299999,4.2125,4.07750015,4.15,410000.0
919050300,4.2,4.225,4.05,4.05,536000.0
919136700,3.91500015,4.375,3.91500015,4.375,1312000.0
919223100,4.475,4.725,4.35,4.5700001,3152000.0
919309500,4.6299999,4.64749985,4.2075001,4.325,1388000.0
919395900,4.25,4.4,4.0049999,4.05,582000.0
919655100,4.0299999,4.125,3.75,3.8674999,690000.0
919741500,3.7549999,3.9,3.70250015,3.8075001,864000.0
919827900,3.8450001,4.05,3.7625,4.01500015,402000.0
919914300,3.9799999,4.1,3.95,3.9875,364000.0
920000700,4.0200001,4.0200001,3.7625,3.875,260000.0
920259900,4.15,4.15,3.8700001,4.0200001,838000.0
920432700,4.25,4.25,3.96500015,4.07750015,508000.0
920519100,4.05999985,4.05999985,3.8674999,3.9075001,590000.0
920605500,3.85999985,4.0,3.85999985,3.90250015,1014000.0
920864700,3.9125,3.95,3.85,3.9075001,620000.0
920951100,3.9,4.1,3.8625,4.0299999,708000.0
921037500,4.1450001,4.35,3.95,4.35,914000.0
921123900,4.3450001,4.5950001,4.0049999,4.0049999,602000.0
921210300,4.05,4.05,3.875,3.9825001,326000.0
921469500,3.9049999,4.175,3.9049999,4.15,486000.0
921555900,4.09000015,4.35,4.0049999,4.3375,804000.0
921642300,4.20250015,4.425,4.1075001,4.3375,990000.0
921728700,4.3200001,4.4,4.25,4.3950001,498000.0
921815100,4.49000015,4.49000015,4.2174999,4.2424999,352000.0
922074300,4.27750015,4.58499985,4.2549999,4.54000015,750000.0
922160700,4.5125,4.65,4.3,4.3575001,1258000.0
922247100,4.52249985,4.52249985,4.125,4.16500015,510000.0
922333500,4.0049999,4.25,4.0049999,4.2049999,144000.0
922419900,4.1625,4.175,3.8700001,3.99000015,364000.0
922765500,3.925,3.9450001,3.7375,3.8549999,490000.0
922851900,3.9450001,4.15,3.9325001,3.95,400000.0
922938300,4.0,4.0,3.9,3.9174999,280000.0
923283900,3.8,3.8625,3.6049999,3.6049999,300000.0
923370300,3.4,3.89000015,3.4,3.8825001,382000.0
923456700,3.775,4.1450001,3.64000015,3.69000015,1408000.0
923543100,3.75,3.75,3.625,3.625,160000.0
923629500,3.54000015,3.5875,3.35,3.3625,214000.0
923888700,3.10249995,3.35,3.10249995,3.35,154000.0
923975100,3.17749995,3.275,3.125,3.24749985,312000.0
924147900,3.0,3.1825001,3.0,3.01000005,282000.0
924234300,3.0424999,3.25250015,3.00249995,3.25250015,348000.0
924493500,3.0,3.20999985,2.9549999,3.2075001,200000.0
924579900,3.25,3.35,3.2,3.35,288000.0
924666300,3.35,3.35,3.2,3.2,180000.0
924752700,3.275,3.275,3.2,3.23499985,352000.0
924839100,3.275,3.275,3.2,3.24749985,140000.0
925098300,3.05,3.25,3.05,3.2,348000.0
925271100,3.125,3.2049999,3.125,3.2,460000.0
925357500,3.23499985,3.275,3.2,3.2,1042000.0
