time,open,high,low,close,Volume
1032839100,17.049999,17.4,16.200001,16.35,8206697
1032925500,16.25,16.25,15.8,16.049999,1959835
1033011900,16.200001,16.200001,15.15,15.3,1270365
1033098300,15.5,15.6,15.15,15.35,1357003
1033357500,15.3,15.85,15.15,15.4,1475227
1033443900,15.4,15.6,15.3,15.5,339944
1033616700,15.6,15.6,15.4,15.45,138613
1033703100,15.45,15.5,15.35,15.4,157713
1033962300,15.25,15.6,15.25,15.55,179434
1034048700,15.6,15.6,15.15,15.2,249002
1034135100,15.25,15.4,15.0,15.0,408547
1034221500,15.05,15.1,14.85,14.95,147908
1034307900,15.0,15.0,14.75,14.95,267590
1034567100,15.0,15.0,14.75,14.8,173558
1034739900,14.75,14.95,14.7,14.75,206333
1034826300,14.65,14.9,14.6,14.75,202202
1034912700,14.8,15.65,14.7,15.2,700416
1035171900,15.25,15.35,15.0,15.0,66861
1035258300,15.0,15.1,14.9,14.95,105096
1035344700,15.0,15.25,14.85,15.1,91154
1035431100,15.0,15.45,14.95,15.05,573557
1035517500,15.2,15.7,15.1,15.3,1140336
1035776700,15.5,15.5,15.15,15.35,251903
1035863100,15.4,15.65,15.3,15.4,477498
1035949500,15.4,15.55,15.2,15.3,402321
1036035900,15.4,15.45,15.2,15.25,188728
1036122300,15.45,15.45,15.2,15.25,152135
1036381500,15.5,15.5,15.25,15.4,111000
1036467900,15.7,16.299999,15.35,16.25,1346049
1036640700,15.5,16.4,15.5,16.049999,451015
1036727100,15.95,16.049999,15.8,15.95,171140
1036986300,16.1,16.1,15.75,15.85,76556
1037072700,15.9,15.95,15.6,15.75,101809
1037159100,15.8,15.8,15.6,15.75,87617
1037245500,15.65,16.299999,15.65,15.85,462753
1037331900,15.9,16.049999,15.8,15.95,200980
1037591100,16.0,16.1,15.85,16.0,124881
1037763900,16.0,16.049999,15.85,15.95,126554
1037850300,16.0,16.0,15.9,15.95,150038
1037936700,15.9,16.299999,15.9,15.95,1137118
1038195900,16.0,16.15,16.0,16.049999,317897
1038282300,16.35,16.700001,16.049999,16.200001,635139
1038368700,16.1,16.549999,16.1,16.200001,903742
1038455100,16.4,16.85,16.299999,16.799999,1478189
1038541500,16.9,16.950001,16.6,16.700001,463077
1041392700,19.549999,19.549999,19.200001,19.299999,730416
1041479100,19.299999,19.65,19.049999,19.1,1723029
1041565500,19.200001,19.4,19.0,19.049999,685217
1041824700,19.200001,19.200001,18.450001,18.5,966014
1041911100,18.700001,18.85,18.25,18.75,983253
1041997500,18.799999,19.200001,18.549999,19.049999,889135
1042083900,19.200001,20.0,19.0,19.799999,2278578
1042170300,20.0,20.450001,19.549999,19.950001,4267125
1042429500,20.15,21.6,20.0,21.450001,8092125
1042515900,21.799999,22.1,21.200001,21.700001,6075855
1042602300,21.85,22.450001,21.75,22.25,7444151
1042688700,22.65,23.0,22.4,22.6,7121989
1042775100,22.75,23.6,22.15,23.299999,7345743
1043034300,23.65,26.200001,23.5,25.799999,22841172
1043120700,26.0,28.25,26.0,27.950001,14784677
1043207100,28.15,29.1,26.15,26.950001,14000326
1043293500,26.9,28.049999,25.799999,26.65,10186906
1043379900,26.9,27.0,25.200001,25.4,7161623
1043639100,25.200001,25.450001,23.35,23.65,5936384
1043725500,23.1,25.4,23.1,25.049999,4846977
1043811900,25.700001,26.25,25.0,25.15,4731448
1043898300,25.299999,25.75,24.35,24.5,2858205
1043984700,24.15,24.5,23.6,23.950001,3032477
1044243900,24.15,25.5,24.1,25.200001,3933697
1044330300,25.700001,26.4,25.200001,25.35,6289773
1044416700,25.35,26.5,25.25,26.0,7309155
1044503100,25.950001,26.4,25.1,26.200001,7221564
1044589500,26.35,26.35,25.6,25.700001,4749931
1044848700,25.799999,25.799999,23.700001,23.9,4100073
1044935100,23.9,24.450001,23.450001,23.6,3806041
1045021500,23.6,24.1,23.35,23.549999,3436268
1045194300,23.65,23.65,22.049999,22.200001,3506160
1045453500,23.25,25.25,23.200001,24.85,4868547
1045539900,25.65,25.950001,25.1,25.200001,5313717
1045626300,25.700001,26.450001,25.4,25.9,8414150
1045712700,26.200001,27.4,25.6,26.200001,12000442
1045799100,26.15,26.4,25.65,25.950001,4897892
1046058300,26.299999,26.9,26.200001,26.35,4889075
1046144700,26.25,26.25,24.75,24.799999,4269387
1046231100,25.25,25.35,23.75,23.9,4940873
1046317500,23.75,25.25,23.5,24.9,4399923
1046403900,25.1,25.799999,23.65,23.9,8332220
1046663100,24.5,25.5,24.35,24.85,4997795
1046749500,24.9,24.9,24.15,24.299999,2201907
1046835900,24.049999,24.299999,23.5,24.15,3118788
1046922300,24.299999,24.4,23.5,23.6,4386248
1047008700,23.299999,23.450001,22.4,22.85,2895493
1047267900,22.9,23.200001,22.049999,22.1,2044101
1047354300,21.799999,22.6,21.4,22.450001,3568980
1047440700,22.75,24.85,22.75,24.5,10602074
1047527100,24.700001,25.049999,23.950001,24.85,5573765
1047872700,24.5,24.5,23.25,23.65,3732663
1048045500,24.5,24.5,23.65,23.75,2338343
1048131900,23.799999,25.1,23.6,25.0,3978482
1048218300,25.25,25.75,24.9,25.200001,4500512
1048477500,25.049999,25.299999,24.6,24.950001,2165648
1048563900,24.6,24.75,24.049999,24.6,1530737
1048650300,24.75,25.25,24.450001,24.5,1493112
1048736700,24.299999,25.25,24.299999,25.0,2519938
1048823100,25.15,26.200001,25.0,25.799999,5628013
1049082300,25.5,25.65,24.75,25.0,1983067
1049168700,25.25,25.450001,24.75,25.299999,1361635
1049255100,25.65,26.4,25.5,26.299999,2554360
1049341500,26.75,26.799999,26.1,26.299999,2221914
1049427900,26.4,27.950001,26.299999,27.799999,6485295
1049687100,28.0,28.700001,27.5,28.049999,4324427
1049773500,28.0,29.1,27.299999,28.65,5874189
1049859900,28.5,29.049999,27.0,27.200001,4905348
1049946300,26.9,28.0,26.65,27.1,5052742
1050032700,27.5,27.9,26.799999,27.15,2584324
1050378300,27.5,27.700001,26.75,27.049999,1770251
1050464700,27.0,27.700001,26.5,27.15,1903227
1050551100,27.1,27.5,26.799999,27.049999,1599457
1050896700,27.200001,27.25,26.9,27.049999,991029
1050983100,27.049999,27.1,26.4,26.450001,1261156
1051069500,26.4,26.75,25.4,25.6,1618080
1051155900,25.0,26.799999,25.0,26.450001,2391418
1051242300,26.4,26.85,26.1,26.65,1316752
1051501500,27.049999,27.549999,26.299999,27.299999,3169222
1051587900,27.5,27.65,26.200001,26.35,2626098
1051674300,26.4,28.25,26.299999,27.85,6057532
1051847100,28.25,29.9,28.1,29.799999,7892259
1052106300,30.75,32.450001,30.200001,30.799999,14667450
1052192700,31.0,31.9,29.6,29.85,7971864
1052279100,30.1,30.200001,28.75,28.950001,4117170
1052365500,28.9,29.450001,28.700001,29.25,3117448
1052451900,29.15,30.549999,29.0,29.799999,4769519
1052711100,30.200001,31.25,29.950001,30.85,7228549
1052797500,31.35,32.849998,31.15,32.299999,11358348
1052883900,32.200001,33.450001,32.200001,33.0,8204726
1052970300,33.0,33.400002,31.65,31.950001,10979707
1053056700,32.5,32.700001,30.9,31.6,4313743
1053315900,31.9,31.9,30.75,30.9,2584272
1053402300,30.9,31.25,30.15,31.1,4038503
1053488700,31.4,32.150002,31.299999,31.450001,3910742
1053575100,31.700001,32.5,31.6,31.9,4404588
1053661500,32.25,33.400002,32.0,33.150002,8542498
1053920700,33.25,34.75,32.200001,34.299999,7634611
1054007100,34.700001,37.799999,34.5,36.700001,16052395
1054093500,37.700001,37.950001,35.700001,37.299999,10285192
1054179900,37.799999,39.5,37.450001,38.450001,9451265
1054266300,38.5,39.5,37.400002,37.799999,5688249
1054525500,36.0,37.0,32.349998,35.950001,11309666
1054611900,35.5,39.950001,35.5,39.5,10171889
