time,open,high,low,close,Volume
1205379900,6.42856498,7.06784984,5.18570894,5.42499434,273194146.0534401
1205466300,5.35713748,5.42142328,4.80713825,4.99642334,71330477.55483761
1205725500,4.78570948,5.5571375,4.43570969,5.04642365,185851054.435623
1205811900,5.26428022,5.46428023,4.99999498,5.07142348,34630630.73955656
1205898300,5.20713778,5.33928036,4.82142373,4.8892806,16906780.95995888
1206330300,4.64285249,4.96428073,4.18928165,4.39642409,13285817.32760601
1206416700,4.49999549,4.64285249,4.28570999,4.53570974,13282527.32430566
1206503100,4.62142372,4.74999524,4.38213832,4.57142399,8417004.44347896
1206589500,4.49999549,4.56428128,4.43213834,4.51428126,3873663.88584795
1206675900,4.59999553,4.90356665,4.49999549,4.72856647,13893179.936879
1206935100,4.52142396,4.78570948,4.52142396,4.61428094,4872914.88824196
1207021500,4.74999524,4.74999524,4.53570974,4.63570978,2588266.59640763
1207107900,4.74285253,4.8178521,4.50713819,4.56070957,2240100.24714617
1207194300,4.47142394,4.69285222,4.47142394,4.54999551,2212100.21905807
1207280700,4.64285249,5.26428022,4.53570974,4.99642334,67405699.61771484
1207539900,5.04285194,5.06070907,4.72856647,4.84642357,18929964.98950655
1207626300,4.85713798,5.1285665,4.75713794,4.81428103,12113582.15168373
1207712700,4.82856644,5.07856619,4.82856644,4.87856675,7733173.75749738
1207799100,4.97856622,5.03213759,4.78928112,4.83570922,4340480.35413273
1207885500,4.90713772,4.98928057,4.76428072,4.80356661,2609252.61745966
1208231100,4.82142373,4.87499511,4.72142369,4.82142373,2518336.5262576
1208317500,4.85713798,5.06428078,4.85713798,4.88570953,5628075.64577797
1208403900,4.91785207,5.09285225,4.89285223,4.92856648,7095655.11797351
1208749500,4.9857095,5.13928034,4.94285197,5.00356662,3774039.7859105
1208835900,5.02142375,5.33570872,4.93570919,5.15713747,16690382.74288001
1208922300,5.199995,5.24285203,5.03570923,5.05356636,2812322.82116859
1209008700,4.69285222,5.38570903,4.69285222,5.18213787,14052136.09633513
1209095100,5.35713748,5.49285178,5.22856597,5.30356611,11200543.23577298
1209354300,5.28570898,5.35713748,5.16070911,5.18213787,2196910.20382028
1209440700,5.16070911,5.24999473,5.00713769,5.18213787,1977081.98330062
1209527100,5.24999473,5.33570872,5.15713747,5.18928065,2668178.67657106
1209699900,5.26428022,5.28213734,5.11070937,5.14642362,2039032.04544554
1209959100,5.19642336,5.22856597,5.10713773,5.12499486,1364441.36873303
1210045500,5.07856619,5.17142353,4.96428073,4.98928057,1366051.37034809
1210131900,5.07856619,5.07856619,4.91785207,4.92499485,1245469.2493867
1210218300,4.86428069,4.90713772,4.82499537,4.8428525,972398.97545752
1210304700,4.86428069,4.95356632,4.72142369,4.771424,1326977.33115115
1210563900,4.77856678,4.77856678,4.59285275,4.6749951,1375935.38026319
1210650300,4.71070935,4.85356635,4.6999955,4.73570975,1018095.0212973
1210736700,4.6999955,4.78570948,4.6999955,4.75356687,709380.71161197
1210823100,4.76785236,4.89285223,4.71428099,4.8178521,978362.98144029
1210909500,4.85713798,4.92142378,4.79285219,4.82856644,1271201.27519966
1211255100,4.78570948,5.04285194,4.77856678,4.90713772,2913024.92218744
1211341500,4.99999498,5.20713778,4.99285228,5.09642332,4454804.46881644
1211427900,5.09642332,5.13928034,4.87142347,4.99642334,1765429.77098268
1211514300,5.00713769,5.06070907,4.87499511,4.89999494,1130851.13440807
1211773500,4.78570948,4.92856648,4.7249954,4.74999524,1019565.02277192
1211859900,4.77499507,4.8678524,4.6535669,4.70356657,950278.95326792
1211946300,4.68570944,4.7964239,4.67856674,4.70713828,843906.84656124
1212032700,4.74999524,4.85713798,4.65713797,4.68213837,882140.88491554
1212119100,4.70356657,4.78213785,4.61070987,4.64999519,1019901.02310898
1212378300,4.67856674,4.73213811,4.51785261,4.54999551,893970.89678276
1212464700,4.51785261,4.51785261,4.33571001,4.48570971,919044.92193565
1212551100,4.55713821,4.55713821,4.38213832,4.41070986,654430.65648908
1212637500,4.37499561,4.40713851,4.32142424,4.37499561,635502.63750152
1212723900,4.42856699,4.46428124,4.37856696,4.39999544,560826.56259056
1212983100,3.53571074,4.28213863,3.53571074,4.19999572,855946.85863912
1213069500,4.28213863,4.28213863,4.15713876,4.25356709,640402.64241694
1213155900,4.15713876,4.40713851,4.11071009,4.32142424,533162.53483952
1213242300,4.27142422,4.60713824,4.22142419,4.41428121,1097825.10127816
1213328700,4.37142426,4.51785261,4.37142426,4.41785257,521458.5230987
1213587900,4.46428124,4.57142399,4.36428119,4.37856696,620830.62278336
1213674300,4.39642409,4.42856699,4.29999576,4.36070984,591262.59312233
1213760700,4.46428124,4.46428124,4.3678529,4.40713851,725732.72801542
1213847100,4.35713849,4.39285274,4.01071041,4.34999578,531314.53298571
1213933500,4.39285274,4.39285274,4.20713878,4.22856726,732144.73444759
1214192700,4.16071011,4.21428149,4.07142449,4.11785315,542640.54434734
1214279100,4.07499584,4.17499588,4.07142449,4.08928161,550984.5527176
1214365500,3.99999599,4.07142449,3.93213884,4.00356734,945490.94846486
1214451900,4.14285299,4.17856724,4.05356736,4.12499586,560700.56246417
1214538300,3.86071034,4.07142449,3.62499636,3.98928157,734916.73722832
1214797500,3.95356732,3.99642463,3.83571051,3.91428172,554876.55662184
1214883900,3.99999599,4.04285294,3.78571049,3.81428203,597030.59890848
1214970300,3.86428169,3.94642461,3.70356757,3.90356766,857906.86060529
1215056700,3.74999624,3.89285324,3.74999624,3.82856745,561260.56302593
1215143100,3.82856745,3.82856745,3.65713926,3.76071066,552370.55410796
1215402300,3.85713899,3.85713899,3.74999624,3.78213913,352156.35326401
1215488700,3.7214247,3.80356761,3.65713926,3.77856778,269486.2703339
1215575100,3.85356763,3.88571053,3.7928532,3.82856745,547456.5491785
1215661500,3.85356763,4.09642432,3.7928532,3.88571053,835422.83805054
1215747900,3.92856749,4.10713874,3.79642491,3.84999628,799008.80152197
1216007100,3.66071061,3.86428169,3.66071061,3.78213913,336714.33777343
1216093500,3.78571049,3.92856749,3.66071061,3.81428203,933786.93672403
1216179900,3.92856749,4.27856728,3.89285324,3.93213884,1627221.63233983
1216266300,4.01071041,4.26428151,3.54642516,3.94642461,932918.9358533
1216352700,3.99999599,4.17142453,3.92856749,4.05356736,930552.93347986
1216611900,4.03571024,4.03571024,3.85713899,3.95713903,466662.46813029
1216698300,3.99999599,4.06428178,3.93928191,4.01071041,405538.40681397
1216784700,4.07142449,4.24999574,4.07142449,4.09285297,899934.90276552
1216871100,4.20713878,4.21428149,4.08213891,4.10713874,486892.48842394
1216957500,4.07142449,4.12142451,4.00356734,4.05713872,339346.34041371
1217216700,3.96785309,4.13571028,3.92142478,4.03571024,421512.42283823
1217303100,4.07142449,4.20713878,4.02856753,4.04999601,418306.41962214
1217389500,4.09999603,4.10713874,4.02142447,4.04285294,317408.31840668
1217475900,4.08928161,4.09642432,3.96785309,3.98928157,272230.27308654
1217562300,3.94642461,4.02142447,3.89999594,3.94999597,580006.58183091
1217821500,4.01428176,4.03571024,3.96071038,3.99999599,415674.41698186
1217907900,3.99999599,4.32856694,3.97856751,4.13571028,1904407.91039796
1217994300,4.18928165,4.27856728,4.07142449,4.11071009,775712.77815267
1218080700,4.12856722,4.17499588,4.07142449,4.09642432,282800.28368979
1218167100,4.07856719,4.16071011,4.00356734,4.09285297,353346.35445776
1218426300,4.07142449,4.18570994,4.07142449,4.13213857,262402.26322761
1218512700,4.07142449,4.16785282,4.07142449,4.08571026,297416.29835178
1218599100,4.16428147,4.16428147,4.05713872,4.07856719,145474.14593171
1218685500,4.10713874,4.10713874,3.99999599,4.01071041,309708.31068245
1219031100,3.97142444,4.03571024,3.96785309,3.99285328,137830.13826366
1219117500,3.97499616,4.06428178,3.95713903,3.97856751,230552.2312774
1219203900,4.02499582,4.04999601,3.99285328,3.99999599,111426.11177659
1219290300,4.04999601,4.04999601,3.93213884,3.94999597,150346.15081904
1219376700,3.93571019,3.99999599,3.93571019,3.96071038,217154.21783725
1219635900,4.00356734,4.00356734,3.92856749,3.93571019,204750.20539422
1219722300,3.82499609,4.49999549,3.78571049,4.10356738,503720.50530489
1219808700,4.19642436,4.82142373,4.14285299,4.41428121,5679385.69724941
1219895100,4.51428126,4.51428126,4.02856753,4.06785313,3124831.13465986
1219981500,4.15713876,4.26428151,4.01785311,4.11428144,1028875.03211122
1220240700,4.04285294,4.16428147,3.99999599,4.07499584,325710.3267348
1220327100,4.13571028,4.62142372,4.03571024,4.10713874,508382.50998156
1220499900,4.07856719,4.13928163,4.04999601,4.07499584,268464.26930869
1220586300,4.03571024,4.08928161,4.00713869,4.03928159,249018.2498015
1220845500,4.08928161,4.18570994,4.01785311,4.03213888,261324.26214622
1220931900,4.01071041,4.06785313,3.99999599,4.04642466,134820.13524419
1221018300,4.00713869,4.07142449,3.99999599,4.01428176,209790.21045008
1221104700,3.99999599,4.03571024,3.97142444,3.97856751,163058.16357104
1221450300,3.94285326,3.94285326,3.72499641,3.83928186,412594.41389217
1221536700,3.76428201,3.86428169,3.64642484,3.82499609,504420.50600709
1221623100,3.84999628,3.85713899,3.75713895,3.80356761,368242.36940062
1221709500,3.71785334,3.74999624,3.65713926,3.71785334,391832.39306485
1221795900,3.81428203,3.85356763,3.74999624,3.80713897,239400.24015324
1222055100,3.82142474,3.97499616,3.73571047,3.81428203,227178.22789279
1222141500,3.74285353,3.83571051,3.74285353,3.79642491,157808.15830452
1222227900,3.75713895,3.92499613,3.72856776,3.74285353,116130.11649539
1222314300,3.80356761,3.80356761,3.7214247,3.74642488,235690.23643157
1222400700,3.74999624,3.76428201,3.62499636,3.65356791,450086.45150214
1222659900,3.63213907,3.64285349,3.21428249,3.51428226,446866.448272
1222746300,3.35713949,3.53571074,3.28928234,3.45713953,419832.42115295
1222832700,3.49999649,3.52856803,3.46428224,3.49285378,208740.20939677
1223005500,3.48571072,3.77142472,3.46428224,3.50356784,260344.26116314
1223264700,3.62856772,3.63571078,3.22499691,3.28213964,406336.40761448
1223351100,3.34999678,3.39285374,3.14642534,3.26071116,403200.40446862
1223437500,3.2214252,3.2214252,3.01428276,3.13213957,402584.40385068
1223610300,3.0785682,3.13213957,2.97142545,3.02499682,446838.44824392
1223869500,3.03571124,3.21428249,3.01071141,3.16428247,378728.37991962
1223955900,3.24999674,3.34999678,3.23571097,3.26785386,522242.52388517
1224042300,3.26785386,3.26785386,3.14285399,3.17142553,355628.35674694
1224128700,3.14285399,3.20713978,3.02499682,3.09285397,309344.31031731
1224215100,3.17142553,3.17856824,3.02499682,3.06071107,260498.26131762
1224474300,3.13928264,3.13928264,2.96428274,3.09642532,207802.20845582
1224560700,3.07499684,3.14285399,3.07142549,3.12856822,136024.13645198
1224647100,3.14285399,3.14285399,3.07142549,3.09642532,95550.09585064
1224733500,2.98213987,3.03571124,2.89999695,2.98928257,345114.34619986
1224819900,2.92856849,3.02856853,2.8642827,2.89285424,529662.53132851
1225079100,2.89285424,2.99999699,2.57142599,2.88571153,575680.5774913
1225165500,2.93213984,3.0071397,2.92856849,2.96785409,104776.10510566
1225251900,2.99999699,3.08213991,2.93213984,2.98928257,271614.2724686
1225424700,3.03571124,3.0785682,2.96428274,2.97856851,289828.29073991
1225683900,3.03571124,3.10356839,3.01428276,3.0785682,263284.26411239
1225770300,3.07142549,3.28571099,3.03571124,3.04999701,358190.359317
1225856700,3.27499657,3.28571099,3.07142549,3.07499684,447622.44903038
1225943100,3.07142549,3.10713974,2.99999699,3.03213989,232064.23279416
1226029500,3.13213957,3.13213957,2.96428274,3.03571124,601398.60329022
1226288700,3.00356834,3.09642532,3.00356834,3.06785414,279636.28051584
1226375100,3.05713972,3.08571126,3.00356834,3.04999701,353332.35444371
1226461500,3.06428278,3.07142549,3.01071141,3.04642566,300328.30127294
1226634300,3.09285397,3.09285397,3.02142547,3.05713972,296478.29741083
1226893500,3.07142549,3.07142549,2.99285428,3.00356834,175490.17604216
1226979900,2.94642562,2.98213987,2.85713999,2.94285426,142436.14288416
1227066300,2.96071139,3.02499682,2.91071137,2.97856851,277424.27829688
1227152700,2.99999699,2.99999699,2.85713999,2.90714001,302792.30374469
1227239100,2.92856849,3.07142549,2.92856849,3.03928259,774102.77653761
1227498300,3.07142549,3.16428247,3.03928259,3.14642534,514808.51642777
1227584700,3.05356837,3.19285401,3.05356837,3.15713976,367514.36867033
1227671100,3.17856824,3.22856826,3.11071109,3.20356807,167874.16840219
1227843900,3.04642566,3.18571095,3.03571124,3.17499689,177030.177587
1228103100,3.21428249,3.23213961,3.21428249,3.21428249,173222.17376702
1228189500,3.21428249,3.24642539,3.15356841,3.23213961,193424.19403258
1228275900,3.23928232,3.24999674,3.21428249,3.21428249,170590.17112674
1228362300,3.21428249,3.27856828,3.19999672,3.23928232,240646.24140316
1228448700,3.18571095,3.28571099,3.18571095,3.25356809,153146.15362785
1228707900,3.15356841,3.55713922,3.15356841,3.35356814,228620.22933932
1228880700,3.27142522,3.42142528,3.26785386,3.40713951,276220.27708909
1228967100,3.32856795,3.38213932,3.30713947,3.33571101,147294.14775744
