time,open,high,low,close,Volume
915162300,12.8,13.4,12.41,13.4,10056000
915421500,13.85,13.85,12.810001,12.9,11623500
915507900,12.9,12.989999,12.315,12.7,6898500
915594300,12.989999,13.189999,12.56,12.74,4190000
915680700,12.839999,12.839999,12.275,12.315,3020000
915767100,12.32,13.3,12.32,13.3,12112500
916026300,13.45,14.17,13.210001,13.4,5397500
916112700,13.025,14.07,13.025,13.4,8118500
916199100,13.785001,14.25,13.7,13.795,9490500
916285500,13.464999,13.85,13.225,13.255,2041500
916371900,13.3,13.495,12.36,12.889999,2459000
916631100,12.8,13.05,11.875,12.8,1620500
916717500,12.75,12.875,12.365,12.75,5181000
916890300,12.989999,13.18,12.51,13.1,1438000
916976700,13.189999,13.2,12.75,12.885001,1306000
917235900,12.8,13.1,12.25,13.0,3876500
917408700,13.3,13.895,12.8,13.27,1955000
917495100,13.4,13.55,12.655,12.82,680500
917581500,12.5,12.5,11.825,12.195,6315500
917840700,11.9,12.0,11.22,11.315,1506500
917927100,11.205,11.685,11.03,11.395,6121500
918013500,11.85,12.0,11.2,11.5,783500
918099900,11.5,11.6,11.0,11.0,454500
918186300,11.1,11.15,10.81,10.95,611000
918445500,10.9,10.91,10.075,10.075,763000
918531900,9.4300003,10.0,9.2800003,10.0,1009500
918618300,9.8,10.8,9.5,10.8,1609500
918704700,11.1,11.5,10.815,10.95,1604000
918791100,10.655,11.01,10.3,10.4,1459000
919050300,10.65,10.83,10.225,10.225,1637000
919136700,10.21,11.045,10.105,11.045,1775000
919223100,11.8,11.93,11.0,11.705,2372000
919309500,11.85,12.2,10.775,10.8,1065500
919395900,11.01,11.28,10.55,10.555,514000
919655100,10.8,10.8,9.9,9.9,736500
919741500,9.85,10.19,9.6099998,9.9,1460000
919827900,10.1,10.1,9.825,10.1,915000
919914300,9.7300003,10.0,9.45,9.5,321500
920000700,9.3099998,10.26,9.25,10.1,2030500
920259900,10.6,10.95,10.3,10.64,663500
920432700,11.15,11.48,10.09,10.82,1862000
920519100,10.76,10.99,10.475,10.7,374500
920605500,10.7,10.85,10.5,10.785,479500
920864700,10.7,10.95,10.5,10.95,657000
920951100,10.86,11.295,10.8,10.81,1524500
921037500,11.3,11.485,10.6,10.79,659000
921123900,10.715,10.89,10.15,10.15,262000
921210300,10.1,10.375,9.8050003,9.9349998,516000
921469500,10.035,10.14,9.8050003,9.8050003,260500
921555900,9.6900002,10.1,9.1099998,9.1099998,1211500
921642300,9.5,9.8400002,9.5,9.8349998,582000
921728700,9.9,10.2,9.7,10.125,287000
921815100,10.3,10.35,9.7,9.8,325000
922074300,9.7050003,10.145,9.5,10.08,521500
922160700,9.8,10.89,9.8,10.89,893000
922247100,11.295,11.4,10.05,10.4,871000
922333500,10.01,10.6,10.01,10.22,187000
922419900,10.05,10.195,9.8050003,9.9,257500
922765500,9.7,9.85,9.4099998,9.5,599000
922851900,9.7449997,10.26,9.65,10.26,699000
922938300,10.0,10.37,10.0,10.31,1824500
923283900,10.01,11.135,9.65,10.705,1620000
923370300,10.4,11.51,10.25,11.405,1807000
923456700,11.15,11.2,10.65,11.0,1255000
923543100,10.95,11.09,10.6,10.85,327500
923629500,10.525,10.645,9.9849998,9.9900002,349500
923888700,9.55,10.29,9.5300003,10.035,160000
923975100,9.8199997,10.835,9.8150002,10.835,663000
924147900,10.7,10.7,9.9699997,9.9699997,41500
924234300,9.5,10.745,9.5,10.73,861000
924493500,9.1,9.8,9.1,9.425,222000
924579900,9.4150002,9.8,9.2150002,9.2150002,423500
924666300,9.3300003,9.55,9.0400002,9.2,326500
924752700,9.15,9.4,9.05,9.0900002,168000
924839100,9.1,9.175,8.8,8.875,215000
925098300,8.2099998,8.5,8.1650002,8.1650002,206500
925271100,7.5550003,8.4,7.5199997,8.4,302500
925357500,8.3,8.6,8.2,8.6,151000
925443900,8.4099998,8.6800003,8.4099998,8.6650002,61500
925703100,8.55,8.6,8.3,8.3599998,106500
925789500,8.3099998,8.9849998,8.3099998,8.6,136000
925875900,9.0,9.0,8.625,8.9,175000
925962300,8.8,9.1,8.6550003,8.9449997,102500
926048700,9.45,9.45,8.7,8.75,131000
926307900,8.6099998,9.45,8.5550003,9.45,301500
926394300,9.6,9.6900002,9.3599998,9.4,222500
926480700,9.7,9.7,8.65,8.7050003,245000
926567100,8.5,8.9849998,8.5,8.6949997,320000
926653500,8.85,8.95,8.7,8.85,192500
926912700,8.8900002,9.0,8.6150002,8.8,273500
926999100,8.35,8.8800003,8.35,8.6,246500
927085500,9.0,9.25,8.7099998,9.0849998,436500
927171900,9.2,9.5,8.925,8.9449997,656000
927258300,8.9800003,8.9800003,8.475,8.5,214000
927517500,8.6,8.7199997,8.125,8.6050003,307000
927603900,8.8800003,9.2949997,8.7349998,9.2949997,475500
927690300,10.0,10.04,9.25,9.475,1968000
927776700,9.5,9.65,8.8,8.8,738500
927863100,8.6550003,8.8900002,8.3199997,8.55,535500
928122300,8.7900002,9.2349998,8.7900002,9.2349998,386500
928208700,9.25,9.475,8.8099998,8.8550003,828500
928295100,8.9,9.1199997,8.9,9.0400002,212000
928381500,8.95,9.0949997,8.8099998,8.825,179000
928467900,9.25,9.25,8.725,8.7949997,417500
928727100,8.8900002,8.9400002,8.7,8.7,154500
928813500,8.5550003,9.4,8.5550003,9.4,1155500
928899900,9.4,9.9900002,9.075,9.65,2440500
928986300,9.8900002,10.425,9.625,10.365,2962000
929072700,10.4,10.4,9.6699997,9.7449997,1727000
929331900,9.2150002,9.6,8.9849998,9.4949997,1128000
929418300,9.75,9.85,8.8,8.8699997,1557000
929504700,9.0699997,9.575,9.0550003,9.5,733000
929591100,10.26,10.26,9.425,9.5199997,717500
929677500,9.6300003,9.6300003,9.175,9.225,472000
929936700,9.3800003,9.9,9.3,9.8449997,1014000
930023100,9.8,10.04,9.525,9.7449997,953000
930109500,10.0,10.2,9.7,9.75,619500
930195900,9.7,9.7650002,9.5050003,9.5949997,310000
930282300,9.675,9.85,9.4,9.4650002,842500
930541500,9.4599998,9.7699997,9.4599998,9.6099998,699000
930627900,9.65,9.6900002,9.3099998,9.4,1300500
930714300,9.8349998,9.8400002,9.5449997,9.6650002,779500
930800700,9.6,9.6199997,9.2,9.2650002,453500
930887100,9.3,9.5,9.2,9.3550003,1334000
931146300,9.6,10.1,9.6,9.8949997,1941000
