time,open,high,low,close,Volume
820467900,0.5625,0.5625,0.5625,0.5625,39998.0
820554300,0.51875,0.51875,0.51875,0.51875,79998.0
820640700,0.5375,0.5375,0.5375,0.5375,39998.0
820727100,0.5375,0.5375,0.5375,0.5375,239998.0
820813500,0.5375,0.5375,0.5375,0.5375,0.0
821072700,0.5375,0.5375,0.5375,0.5375,0.0
821159100,0.54125,0.54125,0.5375,0.5375,79998.0
821245500,0.5375,0.53825,0.5375,0.53825,119998.0
821331900,0.53825,0.54375,0.5325,0.5375,159998.0
821418300,0.5375,0.5375,0.5375,0.5375,39998.0
821677500,0.5375,0.5375,0.5375,0.5375,0.0
821763900,0.525,0.525,0.525,0.525,39998.0
821850300,0.525,0.525,0.525,0.525,0.0
821936700,0.525,0.535,0.525,0.535,39998.0
822023100,0.5275,0.5275,0.525,0.525,79998.0
822282300,0.5150625,0.535,0.5150625,0.535,199998.0
822368700,0.535,0.535,0.525,0.525,159998.0
822455100,0.52375,0.525,0.52375,0.525,79998.0
822541500,0.524375,0.525625,0.51875,0.525,1239998.0
822627900,0.525,0.525,0.525,0.525,0.0
822887100,0.51875,0.525625,0.51875,0.525,879998.0
822973500,0.525,0.525,0.5000625,0.5206875,239998.0
823059900,0.5206875,0.5206875,0.5206875,0.5206875,0.0
823146300,0.5206875,0.5206875,0.5206875,0.5206875,0.0
823232700,0.53125,0.5375,0.53125,0.5375,79998.0
823491900,0.5375,0.5375,0.5375,0.5375,0.0
823578300,0.525,0.525,0.525,0.525,159998.0
823664700,0.525,0.525,0.525,0.525,0.0
823751100,0.525,0.525,0.525,0.525,0.0
823837500,0.525,0.525,0.525,0.525,0.0
824096700,0.537375,0.537375,0.537375,0.537375,79998.0
824183100,0.537375,0.537375,0.537375,0.537375,0.0
824269500,0.537375,0.537375,0.537375,0.537375,0.0
824355900,0.537375,0.537375,0.537375,0.537375,0.0
824442300,0.5625,0.5625,0.5625,0.5625,119998.0
824701500,0.5625,0.5625,0.5625,0.5625,0.0
824787900,0.5625,0.5625,0.5625,0.5625,0.0
824874300,0.5625,0.5625,0.5625,0.5625,0.0
824960700,0.5625,0.5625,0.5625,0.5625,0.0
825047100,0.5625,0.5625,0.5625,0.5625,0.0
825306300,0.5625,0.5625,0.5625,0.5625,39998.0
825392700,0.55,0.55,0.54375,0.54375,79998.0
825479100,0.5500625,0.5625,0.5500625,0.5625,159998.0
825565500,0.5625,0.5625,0.5625,0.5625,0.0
825651900,0.5625,0.5625,0.5625,0.5625,39998.0
825911100,0.55,0.5625,0.55,0.5625,79998.0
825997500,0.5625,0.5625,0.5625,0.5625,0.0
826083900,0.5625,0.5625,0.5625,0.5625,0.0
826170300,0.5625,0.5625,0.5625,0.5625,0.0
826256700,0.55625,0.5625,0.55625,0.559375,79998.0
826515900,0.559375,0.559375,0.559375,0.559375,0.0
826602300,0.5625,0.5625,0.5625,0.5625,39998.0
826688700,0.5250625,0.5250625,0.5250625,0.5250625,799998.0
826775100,0.5250625,0.5250625,0.5250625,0.5250625,0.0
826861500,0.5375,0.5375,0.5325,0.5325,119998.0
827120700,0.54375,0.55,0.54375,0.55,119998.0
827207100,0.5625,0.5625,0.5500625,0.5500625,119998.0
827293500,0.5500625,0.5500625,0.5500625,0.5500625,0.0
827379900,0.5500625,0.5500625,0.5500625,0.5500625,0.0
827466300,0.5500625,0.5500625,0.5500625,0.5500625,0.0
827725500,0.5500625,0.5500625,0.5500625,0.5500625,0.0
827811900,0.55,0.55625,0.55,0.55625,79998.0
827898300,0.56125,0.56125,0.56125,0.56125,39998.0
827984700,0.56125,0.56125,0.56125,0.56125,0.0
828071100,0.55,0.55,0.55,0.55,39998.0
828330300,0.55,0.55,0.55,0.55,79998.0
828416700,0.55,0.555,0.54375,0.555,119998.0
828503100,0.55,0.55,0.55,0.55,799998.0
828589500,0.55,0.55,0.55,0.55,39998.0
828675900,0.55,0.55,0.55,0.55,0.0
828935100,0.55,0.55,0.55,0.55,39998.0
829021500,0.55,0.55,0.55,0.55,39998.0
829107900,0.5625,0.5625,0.5625,0.5625,39998.0
829194300,0.55,0.55,0.54875,0.55,359998.0
829280700,0.5525,0.5525,0.5500625,0.5500625,399998.0
829539900,0.5500625,0.5500625,0.5500625,0.5500625,319998.0
829626300,0.55125,0.55125,0.5475,0.5475,119998.0
829712700,0.55,0.55,0.55,0.55,39998.0
829799100,0.5625,0.5675,0.5625,0.5675,159998.0
829885500,0.5675,0.5675,0.5675,0.5675,0.0
830144700,0.5675,0.5675,0.5675,0.5675,0.0
830231100,0.6,0.6125,0.6,0.6125,119998.0
830317500,0.6525,0.66125,0.6525,0.66125,159998.0
830403900,0.675,0.675,0.6709375,0.6709375,239998.0
830490300,0.6575,0.66,0.6575,0.66,79998.0
830749500,0.70625,0.70625,0.70625,0.70625,39998.0
830835900,0.7125,0.7125,0.6625,0.6625,159998.0
830922300,0.6725,0.675,0.6725,0.675,79998.0
831008700,0.65125,0.67375,0.65125,0.67375,79998.0
831095100,0.655,0.655,0.65125,0.65125,79998.0
831354300,0.65,0.6625,0.65,0.65,119998.0
831440700,0.65125,0.65125,0.65125,0.65125,79998.0
831527100,0.65125,0.65125,0.65125,0.65125,0.0
831613500,0.65625,0.65625,0.65,0.65,119998.0
831699900,0.65,0.65,0.625,0.625,119998.0
831959100,0.625,0.625,0.625,0.625,0.0
832045500,0.6225,0.6225,0.6225,0.6225,79998.0
832131900,0.6225,0.6225,0.6225,0.6225,0.0
832218300,0.65375,0.65625,0.65375,0.65625,79998.0
832304700,0.65,0.65,0.65,0.65,39998.0
832563900,0.65,0.65,0.65,0.65,0.0
832650300,0.61875,0.648125,0.61875,0.648125,79998.0
832736700,0.6125,0.6125,0.6125,0.6125,39998.0
832823100,0.6125,0.6125,0.6125,0.6125,0.0
832909500,0.625,0.625,0.625,0.625,79998.0
833168700,0.625,0.625,0.625,0.625,0.0
833255100,0.625,0.625,0.56375,0.56375,159998.0
833341500,0.575,0.58125,0.575,0.575,759998.0
833427900,0.58125,0.58125,0.58125,0.58125,39998.0
833514300,0.575,0.585,0.575,0.58375,279998.0
833773500,0.58625,0.58625,0.5751875,0.5859375,359998.0
833859900,0.5875,0.5875,0.58125,0.5875,119998.0
833946300,0.5875,0.5875,0.5875,0.5875,0.0
834032700,0.6374375,0.6375,0.6374375,0.6375,79998.0
834119100,0.65,0.65,0.65,0.65,39998.0
834378300,0.65,0.65,0.65,0.65,0.0
834464700,0.6625,0.6675,0.6625,0.6625,239998.0
834551100,0.725,0.725,0.7136875,0.71375,119998.0
834637500,0.775,0.775,0.6775,0.6775,79998.0
834723900,0.6975,0.7,0.6975,0.6991875,159998.0
834983100,0.6936875,0.69375,0.6936875,0.69375,79998.0
835069500,0.69375,0.704375,0.69375,0.704375,279998.0
835155900,0.69375,0.71875,0.69375,0.7125,359998.0
835242300,0.7125,0.7125,0.7125,0.7125,0.0
835328700,0.68875,0.68875,0.68875,0.68875,79998.0
835587900,0.6775,0.6775,0.6775,0.6775,39998.0
835674300,0.6909375,0.6909375,0.68625,0.6874375,199998.0
835760700,0.675,0.675,0.66625,0.66625,79998.0
835847100,0.66125,0.66125,0.65,0.65,239998.0
835933500,0.6525,0.6621875,0.6525,0.6621875,279998.0
836192700,0.6375,0.6375,0.6375,0.6375,39998.0
836279100,0.6374375,0.65,0.6374375,0.64375,199998.0
